Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Navdeep Bains,Dianne Douglas,Jagdish Grewal,Heather Mercer,Naresh Tharani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35062,"Mississauga--Malton/Mississauga--Malton"," 25","Mississauga",128,26,45,1,0,0,200,499
35062,"Mississauga--Malton/Mississauga--Malton"," 26","Mississauga",132,34,48,2,1,3,220,528
35062,"Mississauga--Malton/Mississauga--Malton"," 27","Mississauga",113,28,43,5,0,2,191,575
35062,"Mississauga--Malton/Mississauga--Malton"," 28","Mississauga",146,27,35,2,1,1,212,525
35062,"Mississauga--Malton/Mississauga--Malton"," 29","Mississauga",146,30,25,1,1,0,203,405
35062,"Mississauga--Malton/Mississauga--Malton"," 30","Mississauga",159,24,25,1,2,1,212,485
35062,"Mississauga--Malton/Mississauga--Malton"," 31","Mississauga",149,49,52,4,1,1,256,434
35062,"Mississauga--Malton/Mississauga--Malton"," 32","Mississauga",142,29,44,4,1,2,222,535
35062,"Mississauga--Malton/Mississauga--Malton"," 33","Mississauga",84,36,36,4,0,0,160,333
35062,"Mississauga--Malton/Mississauga--Malton"," 34","Mississauga",90,17,26,1,1,0,135,404
35062,"Mississauga--Malton/Mississauga--Malton"," 35","Mississauga",134,36,35,3,1,1,210,525
35062,"Mississauga--Malton/Mississauga--Malton"," 36","Mississauga",137,51,44,3,0,1,236,481
35062,"Mississauga--Malton/Mississauga--Malton"," 37","Mississauga",63,13,35,0,0,0,111,321
35062,"Mississauga--Malton/Mississauga--Malton"," 38","Mississauga",127,30,34,3,1,1,196,458
35062,"Mississauga--Malton/Mississauga--Malton"," 39","Mississauga",121,20,49,2,1,0,193,438
35062,"Mississauga--Malton/Mississauga--Malton"," 40","Mississauga",97,34,37,1,0,1,170,377
35062,"Mississauga--Malton/Mississauga--Malton"," 41","Mississauga",98,42,42,4,1,2,189,454
35062,"Mississauga--Malton/Mississauga--Malton"," 42","Mississauga",100,23,33,2,0,3,161,389
35062,"Mississauga--Malton/Mississauga--Malton"," 43","Mississauga",76,21,52,1,2,0,152,323
35062,"Mississauga--Malton/Mississauga--Malton"," 44","Mississauga",111,19,25,0,0,0,155,331
35062,"Mississauga--Malton/Mississauga--Malton"," 45","Mississauga",79,19,35,1,0,0,134,307
35062,"Mississauga--Malton/Mississauga--Malton"," 46","Mississauga",136,41,52,7,1,2,239,479
35062,"Mississauga--Malton/Mississauga--Malton"," 47","Mississauga",154,46,70,6,0,9,285,505
35062,"Mississauga--Malton/Mississauga--Malton"," 48","Mississauga",147,42,58,3,0,1,251,475
35062,"Mississauga--Malton/Mississauga--Malton"," 49","Mississauga",118,31,50,5,0,0,204,421
35062,"Mississauga--Malton/Mississauga--Malton"," 50","Mississauga",108,31,34,3,0,4,180,432
35062,"Mississauga--Malton/Mississauga--Malton"," 51","Mississauga",78,12,44,4,0,0,138,304
35062,"Mississauga--Malton/Mississauga--Malton"," 52","Mississauga",99,19,72,5,0,1,196,410
35062,"Mississauga--Malton/Mississauga--Malton"," 53","Mississauga",144,22,79,7,2,4,258,555
35062,"Mississauga--Malton/Mississauga--Malton"," 54","Mississauga",95,15,64,4,0,1,179,449
35062,"Mississauga--Malton/Mississauga--Malton"," 55","Mississauga",107,28,83,4,0,1,223,504
35062,"Mississauga--Malton/Mississauga--Malton"," 56","Mississauga",138,27,75,4,1,1,246,538
35062,"Mississauga--Malton/Mississauga--Malton"," 57","Mississauga",100,20,47,2,1,0,170,429
35062,"Mississauga--Malton/Mississauga--Malton"," 58","Mississauga",77,13,53,4,1,1,149,440
35062,"Mississauga--Malton/Mississauga--Malton"," 59","Mississauga",62,10,48,3,1,2,126,306
35062,"Mississauga--Malton/Mississauga--Malton"," 60","Mississauga",91,19,44,2,2,0,158,356
35062,"Mississauga--Malton/Mississauga--Malton"," 61","Mississauga",97,13,30,2,0,0,142,346
35062,"Mississauga--Malton/Mississauga--Malton"," 62","Mississauga",123,22,60,5,3,1,214,517
35062,"Mississauga--Malton/Mississauga--Malton"," 63","Mississauga",109,31,75,5,0,1,221,468
35062,"Mississauga--Malton/Mississauga--Malton"," 64","Mississauga",114,12,77,3,1,0,207,403
35062,"Mississauga--Malton/Mississauga--Malton"," 65","Mississauga",139,24,92,3,0,0,258,525
35062,"Mississauga--Malton/Mississauga--Malton"," 66","Mississauga",67,13,57,5,0,0,142,292
35062,"Mississauga--Malton/Mississauga--Malton"," 67","Mississauga",108,23,57,3,1,0,192,419
35062,"Mississauga--Malton/Mississauga--Malton"," 68","Mississauga",113,21,45,1,2,1,183,387
35062,"Mississauga--Malton/Mississauga--Malton"," 69","Mississauga",126,34,59,4,0,2,225,490
35062,"Mississauga--Malton/Mississauga--Malton"," 70","Mississauga",127,15,54,3,2,0,201,371
35062,"Mississauga--Malton/Mississauga--Malton"," 71","Mississauga",90,14,76,1,1,1,183,413
35062,"Mississauga--Malton/Mississauga--Malton"," 72","Mississauga",115,27,49,5,1,1,198,517
35062,"Mississauga--Malton/Mississauga--Malton"," 73","Mississauga",105,31,36,3,2,2,179,380
35062,"Mississauga--Malton/Mississauga--Malton"," 74","Mississauga",77,9,33,0,1,0,120,313
35062,"Mississauga--Malton/Mississauga--Malton"," 75","Mississauga",106,13,56,3,0,0,178,415
35062,"Mississauga--Malton/Mississauga--Malton"," 76","Mississauga",76,27,34,4,1,2,144,333
35062,"Mississauga--Malton/Mississauga--Malton"," 77","Mississauga",111,42,70,4,2,1,230,531
35062,"Mississauga--Malton/Mississauga--Malton"," 78","Mississauga",85,25,55,5,0,1,171,401
35062,"Mississauga--Malton/Mississauga--Malton"," 79","Mississauga",122,18,48,10,0,0,198,424
35062,"Mississauga--Malton/Mississauga--Malton"," 80","Mississauga",97,19,69,4,0,0,189,407
35062,"Mississauga--Malton/Mississauga--Malton"," 81","Mississauga",124,25,64,2,1,0,216,398
35062,"Mississauga--Malton/Mississauga--Malton"," 82","Mississauga",66,14,45,1,3,0,129,297
35062,"Mississauga--Malton/Mississauga--Malton"," 83","Mississauga",81,17,78,3,2,5,186,401
35062,"Mississauga--Malton/Mississauga--Malton"," 84","Mississauga",108,26,68,6,0,1,209,413
35062,"Mississauga--Malton/Mississauga--Malton"," 85","Mississauga",103,17,61,3,1,0,185,379
35062,"Mississauga--Malton/Mississauga--Malton"," 86","Mississauga",103,18,53,2,3,0,179,433
35062,"Mississauga--Malton/Mississauga--Malton"," 87","Mississauga",204,39,73,6,1,0,323,746
35062,"Mississauga--Malton/Mississauga--Malton"," 88","Mississauga",165,30,81,8,3,4,291,719
35062,"Mississauga--Malton/Mississauga--Malton"," 89","Mississauga",108,15,69,4,0,3,199,504
35062,"Mississauga--Malton/Mississauga--Malton"," 90","Mississauga",129,18,76,7,2,13,245,452
35062,"Mississauga--Malton/Mississauga--Malton"," 91","Mississauga",109,16,38,3,0,1,167,335
35062,"Mississauga--Malton/Mississauga--Malton"," 92","Mississauga",85,20,43,4,0,3,155,344
35062,"Mississauga--Malton/Mississauga--Malton"," 93","Mississauga",117,22,69,2,1,0,211,372
35062,"Mississauga--Malton/Mississauga--Malton"," 94","Mississauga",118,21,53,9,1,2,204,435
35062,"Mississauga--Malton/Mississauga--Malton"," 95","Mississauga",210,35,85,5,2,0,337,786
35062,"Mississauga--Malton/Mississauga--Malton"," 96","Mississauga",141,31,75,5,2,1,255,470
35062,"Mississauga--Malton/Mississauga--Malton"," 97","Mississauga",138,18,69,4,0,1,230,435
35062,"Mississauga--Malton/Mississauga--Malton"," 98","Mississauga",130,16,88,1,0,0,235,466
35062,"Mississauga--Malton/Mississauga--Malton"," 99","Mississauga",136,12,75,5,3,0,231,537
35062,"Mississauga--Malton/Mississauga--Malton"," 100","Mississauga",129,17,45,6,2,2,201,460
35062,"Mississauga--Malton/Mississauga--Malton"," 101","Mississauga",157,31,90,4,4,3,289,487
35062,"Mississauga--Malton/Mississauga--Malton"," 102","Mississauga",124,29,55,4,1,1,214,530
35062,"Mississauga--Malton/Mississauga--Malton"," 103","Mississauga",163,29,58,1,0,1,252,471
35062,"Mississauga--Malton/Mississauga--Malton"," 104","Mississauga",125,18,51,2,1,0,197,491
35062,"Mississauga--Malton/Mississauga--Malton"," 105","Mississauga",114,25,55,2,0,1,197,474
35062,"Mississauga--Malton/Mississauga--Malton"," 106","Mississauga",128,19,56,2,7,1,213,490
35062,"Mississauga--Malton/Mississauga--Malton"," 107","Mississauga",179,25,90,4,1,0,299,592
35062,"Mississauga--Malton/Mississauga--Malton"," 108","Mississauga",123,20,40,1,1,0,185,356
35062,"Mississauga--Malton/Mississauga--Malton"," 109","Mississauga",153,53,50,1,0,0,257,498
35062,"Mississauga--Malton/Mississauga--Malton"," 110","Mississauga",125,23,47,1,0,0,196,377
35062,"Mississauga--Malton/Mississauga--Malton"," 111","Mississauga",113,32,57,6,1,0,209,410
35062,"Mississauga--Malton/Mississauga--Malton"," 112","Mississauga",175,30,47,6,0,1,259,450
35062,"Mississauga--Malton/Mississauga--Malton"," 113","Mississauga",130,29,51,3,2,0,215,400
35062,"Mississauga--Malton/Mississauga--Malton"," 114","Mississauga",135,32,52,4,1,2,226,435
35062,"Mississauga--Malton/Mississauga--Malton"," 115","Mississauga",130,16,22,1,0,2,171,341
35062,"Mississauga--Malton/Mississauga--Malton"," 116","Mississauga",113,24,35,2,2,2,178,467
35062,"Mississauga--Malton/Mississauga--Malton"," 117","Mississauga",99,26,43,3,0,1,172,399
35062,"Mississauga--Malton/Mississauga--Malton"," 118","Mississauga",109,22,61,1,1,1,195,497
35062,"Mississauga--Malton/Mississauga--Malton"," 119","Mississauga",135,25,68,7,2,2,239,471
35062,"Mississauga--Malton/Mississauga--Malton"," 120","Mississauga",129,21,60,6,0,1,217,509
35062,"Mississauga--Malton/Mississauga--Malton"," 121","Mississauga",133,16,68,2,0,0,219,496
35062,"Mississauga--Malton/Mississauga--Malton"," 122","Mississauga",87,19,45,2,0,0,153,440
35062,"Mississauga--Malton/Mississauga--Malton"," 123","Mississauga",110,21,62,10,2,2,207,454
35062,"Mississauga--Malton/Mississauga--Malton"," 124","Mississauga",126,12,78,7,3,0,226,425
35062,"Mississauga--Malton/Mississauga--Malton"," 125","Mississauga",145,13,100,8,1,0,267,509
35062,"Mississauga--Malton/Mississauga--Malton"," 126","Mississauga",109,18,39,3,2,1,172,448
35062,"Mississauga--Malton/Mississauga--Malton"," 127","Mississauga",117,21,59,4,0,2,203,506
35062,"Mississauga--Malton/Mississauga--Malton"," 128","Mississauga",106,19,49,3,3,1,181,425
35062,"Mississauga--Malton/Mississauga--Malton"," 129","Mississauga",109,20,51,2,2,1,185,432
35062,"Mississauga--Malton/Mississauga--Malton"," 130","Mississauga",143,21,69,4,2,1,240,551
35062,"Mississauga--Malton/Mississauga--Malton"," 131","Mississauga",105,30,63,1,1,0,200,503
35062,"Mississauga--Malton/Mississauga--Malton"," 132","Mississauga",152,19,58,2,1,1,233,478
35062,"Mississauga--Malton/Mississauga--Malton"," 133","Mississauga",138,17,64,5,1,0,225,407
35062,"Mississauga--Malton/Mississauga--Malton"," 134","Mississauga",110,43,48,1,0,0,202,485
35062,"Mississauga--Malton/Mississauga--Malton"," 135","Mississauga",90,25,66,3,3,0,187,436
35062,"Mississauga--Malton/Mississauga--Malton"," 136","Mississauga",80,8,52,3,2,0,145,462
35062,"Mississauga--Malton/Mississauga--Malton"," 137","Mississauga",73,5,26,1,0,0,105,278
35062,"Mississauga--Malton/Mississauga--Malton"," 138","Mississauga",79,9,33,0,1,1,123,433
35062,"Mississauga--Malton/Mississauga--Malton"," 139","Mississauga",107,26,61,5,2,1,202,477
35062,"Mississauga--Malton/Mississauga--Malton"," 140","Mississauga",105,23,75,1,0,1,205,474
35062,"Mississauga--Malton/Mississauga--Malton"," 141","Mississauga",129,18,50,2,0,0,199,498
35062,"Mississauga--Malton/Mississauga--Malton"," 142","Mississauga",132,22,81,5,2,0,242,532
35062,"Mississauga--Malton/Mississauga--Malton"," 143","Mississauga",164,24,47,0,1,1,237,541
35062,"Mississauga--Malton/Mississauga--Malton"," 144","Mississauga",104,10,25,6,0,1,146,417
35062,"Mississauga--Malton/Mississauga--Malton"," 145","Mississauga",77,13,28,2,0,0,120,368
35062,"Mississauga--Malton/Mississauga--Malton"," 146","Mississauga",85,18,48,1,0,0,152,441
35062,"Mississauga--Malton/Mississauga--Malton"," 147","Mississauga",92,24,35,5,2,4,162,449
35062,"Mississauga--Malton/Mississauga--Malton"," 148","Mississauga",116,34,13,4,1,1,169,439
35062,"Mississauga--Malton/Mississauga--Malton"," 149","Mississauga",151,22,71,7,1,3,255,513
35062,"Mississauga--Malton/Mississauga--Malton"," 150","Mississauga",97,10,40,4,0,0,151,345
35062,"Mississauga--Malton/Mississauga--Malton"," 151","Mississauga",113,19,65,2,0,0,199,440
35062,"Mississauga--Malton/Mississauga--Malton"," 152","Mississauga",101,13,70,3,1,1,189,422
35062,"Mississauga--Malton/Mississauga--Malton"," 153","Mississauga",62,8,30,1,0,1,102,287
35062,"Mississauga--Malton/Mississauga--Malton"," 154","Mississauga",134,24,88,12,2,0,260,515
35062,"Mississauga--Malton/Mississauga--Malton"," 155","Mississauga",126,22,71,4,0,2,225,474
35062,"Mississauga--Malton/Mississauga--Malton"," 156","Mississauga",68,12,39,1,0,0,120,257
35062,"Mississauga--Malton/Mississauga--Malton"," 157","Mississauga",82,20,38,7,0,0,147,318
35062,"Mississauga--Malton/Mississauga--Malton"," 158","Mississauga",76,23,66,1,0,1,167,399
35062,"Mississauga--Malton/Mississauga--Malton"," 159","Mississauga",145,40,54,5,0,0,244,485
35062,"Mississauga--Malton/Mississauga--Malton"," 160","Mississauga",156,30,115,6,0,0,307,627
35062,"Mississauga--Malton/Mississauga--Malton"," 161","Mississauga",147,27,60,5,0,1,240,504
35062,"Mississauga--Malton/Mississauga--Malton"," 162","Mississauga",122,19,84,3,3,1,232,465
35062,"Mississauga--Malton/Mississauga--Malton"," 163","Mississauga",116,27,88,6,4,0,241,482
35062,"Mississauga--Malton/Mississauga--Malton"," 164","Mississauga",148,32,58,6,2,2,248,518
35062,"Mississauga--Malton/Mississauga--Malton"," 165","Mississauga",123,27,70,3,2,0,225,507
35062,"Mississauga--Malton/Mississauga--Malton"," 166","Mississauga",106,20,69,0,1,0,196,491
35062,"Mississauga--Malton/Mississauga--Malton"," 167","Mississauga",81,15,59,4,0,1,160,361
35062,"Mississauga--Malton/Mississauga--Malton"," 168","Mississauga",74,16,51,3,0,1,145,283
35062,"Mississauga--Malton/Mississauga--Malton"," 400","Mississauga",101,16,49,8,0,2,176,280
35062,"Mississauga--Malton/Mississauga--Malton"," 401","Mississauga","Results combined with No./Résultats combinés au n°402",,,,,,,196
35062,"Mississauga--Malton/Mississauga--Malton"," 402","Mississauga",81,12,19,4,0,0,116,190
35062,"Mississauga--Malton/Mississauga--Malton"," 403","Mississauga",90,15,52,4,2,1,164,369
35062,"Mississauga--Malton/Mississauga--Malton"," 600","Mississauga",357,67,127,4,1,5,561,
35062,"Mississauga--Malton/Mississauga--Malton"," 601","Mississauga",548,153,195,10,9,11,926,
35062,"Mississauga--Malton/Mississauga--Malton"," 602","Mississauga",379,114,126,7,2,11,639,
35062,"Mississauga--Malton/Mississauga--Malton"," 603","Mississauga",524,110,336,22,7,3,1002,
35062,"Mississauga--Malton/Mississauga--Malton"," 604","Mississauga",364,101,223,13,3,2,706,
35062,"Mississauga--Malton/Mississauga--Malton"," 605","Mississauga",461,105,209,14,2,3,794,
35062,"Mississauga--Malton/Mississauga--Malton"," 606","Mississauga",381,81,153,3,1,5,624,
35062,"Mississauga--Malton/Mississauga--Malton"," 607","Mississauga",350,89,186,15,2,0,642,
35062,"Mississauga--Malton/Mississauga--Malton"," 608","Mississauga",595,91,266,9,5,0,966,
35062,"Mississauga--Malton/Mississauga--Malton"," 609","Mississauga",483,99,214,9,3,5,813,
35062,"Mississauga--Malton/Mississauga--Malton"," 610","Mississauga",687,144,244,11,2,1,1089,
35062,"Mississauga--Malton/Mississauga--Malton"," 611","Mississauga",416,117,187,13,2,0,735,
35062,"Mississauga--Malton/Mississauga--Malton",,"Group 1/Groupe 1",55,5,11,5,0,2,78,73
35062,"Mississauga--Malton/Mississauga--Malton",,"Group 2/Groupe 2",506,115,216,17,1,22,877,
