Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James David Friesen,Reagan Johnston,Saba Mossagizi,Dylan Thompson,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 1","Bistcho Lake",1,9,4,0,32,0,46,95
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 2","Habay",6,170,135,17,13,3,344,535
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 3","Meander River",1,72,46,5,3,0,127,152
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 4","High Level",3,24,27,2,35,0,91,279
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 5","Bushe River",7,62,75,5,118,1,268,533
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 6","High Level",3,54,31,5,99,0,192,411
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 7","High Level",2,46,27,1,94,0,170,332
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 8","High Level",8,50,35,1,93,1,188,408
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 9","High Level",2,36,19,3,100,0,160,304
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 10","High Level",5,24,31,2,67,0,129,323
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 11","High Level",3,28,13,2,100,1,147,297
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 12","High Level",1,17,21,1,27,0,67,103
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 13","Rainbow Lake",2,29,7,2,124,0,164,268
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 14","Rainbow Lake",2,18,5,0,95,2,122,265
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 15","Paddle Prairie",Void/Supprimé,,,,,,,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 16","Keg River",2,82,40,1,72,0,197,407
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 17","Worsley",3,10,9,3,158,1,184,424
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 18","Hotchkiss",4,5,7,1,92,1,110,175
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 19","Notikewin",3,13,7,2,137,0,162,316
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 20","North Star",5,9,15,1,142,0,172,323
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 21","Manning",9,19,11,4,138,0,181,272
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 22","Manning",1,13,5,1,95,0,115,215
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 23","North Star",4,19,9,3,143,0,178,346
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 24","Dixonville",10,15,22,1,131,0,179,284
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 25","Deadwood",4,12,15,1,120,2,154,318
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 26","Eureka River",8,6,10,1,169,0,194,299
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 27","Deer Hill",1,10,9,0,142,0,162,286
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 28","Hines Creek",5,19,17,1,167,0,209,391
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 29","Hines Creek",6,13,12,0,134,1,166,283
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 30","Fourth Creek",4,11,11,0,113,0,139,226
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 31","Cleardale",1,1,2,1,99,0,104,268
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 32","Bear Canyon",5,5,5,0,61,0,76,153
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 33","Silver Valley",6,4,11,3,96,1,121,168
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 34","Bay Tree",15,20,15,0,310,0,360,537
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 35","Gordondale",5,4,5,0,115,0,129,210
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 36","Blueberry Mountain",6,11,8,0,101,0,126,186
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 37","Spirit River Settlement",4,11,24,0,177,0,216,282
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 38","Spirit River",5,7,7,0,99,0,118,219
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 39","Spirit River Settlement",3,7,1,0,105,1,117,292
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 40","Spirit River",6,27,10,3,176,0,222,402
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 41","Rycroft",10,23,23,3,229,3,291,468
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 42","Rycroft",3,28,21,3,139,2,196,364
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 43","Woking",5,19,20,3,168,1,216,342
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 44","La Glace",8,31,13,6,251,0,309,481
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 45","Valhalla Centre",10,23,21,2,259,0,315,516
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 46","Demmitt",7,14,6,0,66,0,93,189
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 47","Lymburn",2,22,113,2,70,0,209,328
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 48","Hythe",13,34,13,3,233,0,296,505
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 49","Hythe",3,18,12,3,108,1,145,262
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 50","Goodfare",12,15,17,2,166,1,213,302
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 51","Rio Grande",1,4,5,0,66,0,76,179
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 52","Halcourt",Merged with No./Fusionné avec le n°53,,,,,,,216
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 53","Elmworth",17,14,16,6,270,0,323,324
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 54","Albright",11,16,13,1,169,1,211,324
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 55","Beaverlodge",10,18,16,0,146,1,191,412
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 56","Beaverlodge",6,11,10,2,90,0,119,214
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 57","Beaverlodge",7,26,10,2,160,0,205,362
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 58","Albright",6,26,17,4,210,1,264,451
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 59","Beaverlodge",11,32,8,3,196,0,250,529
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 60","Beaverlodge",7,13,10,0,123,0,153,326
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 61","Lake Saskatoon",10,21,16,1,175,1,224,347
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 62","Hermit Lake",8,37,7,3,249,1,305,836
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 63","Webster",17,45,23,11,379,0,475,711
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 64","Sexsmith",12,23,14,4,225,0,278,350
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 65","Niobe",9,26,15,2,340,0,392,332
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 66","Sexsmith",17,41,17,3,366,0,444,357
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 67","Sexsmith",Merged with No./Fusionné avec le n°66,,,,,,,549
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 68","Sexsmith",4,37,11,4,225,0,281,894
