Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lise Durand,Michel Filion,Réjean Léveillé,Ugo Ménard,Brigitte Sansoucy,René Vincelette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 1","Saint-Marcel-de-Richelieu",4,66,38,2,57,55,5,227,379
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 2","Saint-Louis",1,64,26,1,41,37,7,177,331
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 3","Saint-Louis",5,39,17,0,23,24,0,108,258
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 4","Saint-Hugues",7,49,39,1,51,68,5,220,338
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 5","Saint-Hugues",4,41,40,2,55,55,2,199,311
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 6","Saint-Hugues",0,75,39,2,65,74,6,261,363
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 7","Sainte-Hélène-de-Bagot",5,45,34,0,43,40,2,169,319
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 8","Sainte-Hélène-de-Bagot",7,45,23,3,78,59,7,222,372
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 9","Sainte-Hélène-de-Bagot",3,29,19,0,36,27,4,118,233
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 10","Sainte-Hélène-de-Bagot",1,61,34,2,50,57,6,211,345
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 11","Saint-Nazaire-d'Acton",2,46,31,0,62,43,1,185,331
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 12","Saint-Nazaire-d'Acton",5,58,41,0,62,55,8,229,369
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 13","Saint-Théodore-d'Acton",4,44,27,0,45,46,0,166,296
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 14","Saint-Théodore-d'Acton",3,52,35,1,36,47,7,181,320
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 15","Saint-Théodore-d'Acton",10,43,35,0,51,65,4,208,294
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 16","Saint-Théodore-d'Acton",3,47,27,0,42,40,3,162,256
