Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Cooper,Beatrice Ghettuba,Darlene Malayko,Andrea Oldham,Brent Rathgeber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 1","St-Albert",104,43,14,4,27,0,192,322
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 2","St-Albert",110,48,12,1,65,0,236,400
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 3","St-Albert",130,67,14,2,42,0,255,444
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 4","St-Albert",204,52,19,2,67,2,346,572
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 5","St-Albert",145,66,19,3,69,0,302,526
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 6","St-Albert",83,37,16,4,36,0,176,337
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 7","St-Albert",88,20,12,1,66,1,188,348
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 8","St-Albert",106,36,7,1,51,0,201,361
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 9","Sturgeon No. 90",177,78,53,15,4,0,327,609
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 10","St-Albert",Merged with No./Fusionné avec le n°29,,,,,,,7
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 11","St-Albert",92,42,23,1,73,0,231,420
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 12","St-Albert",83,27,9,2,62,1,184,329
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 13","St-Albert",153,47,18,1,59,0,278,501
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 14","St-Albert",111,32,17,3,57,0,220,378
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 15","St-Albert",59,13,4,3,30,0,109,297
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 16","St-Albert",130,37,14,2,44,1,228,429
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 17","St-Albert",114,46,15,4,51,0,230,362
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 18","St-Albert",103,46,17,2,69,0,237,408
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 19","St-Albert",Merged with No./Fusionné avec le n°29,,,,,,,8
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 20A","St-Albert",119,51,15,2,46,0,233,393
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 20B","St-Albert",138,35,11,0,46,1,231,390
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 21","St-Albert",112,42,27,4,60,1,246,435
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 22","St-Albert",184,64,19,2,72,0,341,523
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 23","St-Albert",136,61,27,1,80,1,306,493
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 24","St-Albert",128,69,19,1,58,1,276,504
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 25","St-Albert",119,32,23,2,54,0,230,416
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 26","St-Albert",116,30,8,2,77,0,233,425
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 27","St-Albert",136,56,9,0,57,0,258,493
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 28A","St-Albert",93,47,24,2,47,1,214,417
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 28B","St-Albert",86,63,17,2,30,0,198,437
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 29","St-Albert",128,58,23,4,36,2,251,395
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 30","St-Albert",126,51,19,6,61,2,265,429
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 31","St-Albert",91,49,24,0,75,0,239,395
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 32","St-Albert",102,47,17,5,62,0,233,376
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 33","St-Albert",87,41,16,1,35,0,180,398
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 34","St-Albert",65,37,14,1,37,0,154,310
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 35","St-Albert",97,31,17,4,45,1,195,401
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 36","St-Albert",97,46,15,0,77,0,235,415
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 37","St-Albert",95,43,16,2,72,0,228,390
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 38","St-Albert",109,38,31,4,71,0,253,475
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 39","St-Albert",139,39,12,2,70,0,262,468
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 40A","St-Albert",103,24,10,3,53,0,193,337
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 40B","St-Albert",103,10,6,4,41,0,164,333
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 41","St-Albert",146,30,17,2,67,0,262,472
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 42","St-Albert",95,41,11,3,50,0,200,413
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 43","St-Albert",82,36,18,2,63,1,202,358
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 44","St-Albert",132,47,28,3,73,2,285,439
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 45","St-Albert",114,61,24,6,70,1,276,520
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 46","St-Albert",95,32,24,2,64,0,217,453
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 47","St-Albert",108,40,26,3,84,0,261,420
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 48","St-Albert",98,48,24,6,51,1,228,381
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 49","St-Albert",124,44,25,4,78,0,275,454
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 50","St-Albert",93,44,17,7,62,1,224,389
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 51A","St-Albert",70,23,7,2,24,0,126,289
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 51B","St-Albert",69,34,6,1,32,0,142,211
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 52","St-Albert",45,43,20,4,24,0,136,378
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 53","St-Albert",98,41,27,2,50,0,218,415
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 54","St-Albert",102,36,16,8,85,0,247,518
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 55","St-Albert",84,30,12,3,52,0,181,425
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 56","St-Albert",99,33,12,3,48,0,195,276
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 57","St-Albert",116,27,11,3,34,0,191,379
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 58","St-Albert",124,35,11,1,69,0,240,420
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 59","St-Albert",107,44,10,3,59,0,223,371
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 60","St-Albert",77,33,16,3,80,1,210,379
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 61","St-Albert",81,47,37,1,60,0,226,372
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 62","St-Albert",97,30,23,3,69,0,222,351
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 63","St-Albert",92,58,22,4,74,0,250,415
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 64","St-Albert",98,57,30,4,100,0,289,442
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 65","St-Albert",90,41,11,4,68,0,214,327
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 66","St-Albert",100,50,16,10,78,0,254,481
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 67","St-Albert",104,58,15,3,69,0,249,448
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 68","St-Albert",78,49,21,2,70,0,220,360
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 69","St-Albert",96,74,57,7,67,0,301,504
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 70","St-Albert",97,48,30,4,74,0,253,441
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 71","St-Albert",66,38,11,4,60,0,179,335
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 72","St-Albert",98,30,19,1,94,3,245,369
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 73","St-Albert",75,42,19,8,43,0,187,355
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 74","St-Albert",107,69,31,1,75,0,283,511
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 75","St-Albert",100,54,34,4,87,0,279,446
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 76","St-Albert",182,30,16,7,48,0,283,463
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 77","St-Albert",148,46,15,2,71,0,282,506
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 78","St-Albert",139,44,11,3,62,1,260,440
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 79","St-Albert",132,59,11,4,92,0,298,459
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 80","St-Albert",118,50,22,1,90,0,281,487
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 81","St-Albert",104,53,26,4,84,1,272,440
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 82","St-Albert",39,9,6,1,24,0,79,183
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 83","St-Albert",105,59,27,0,55,3,249,436
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 84","St-Albert",114,57,30,3,61,0,265,432
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 85","St-Albert",96,56,34,6,38,0,230,480
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 86","St-Albert",91,40,27,4,54,0,216,426
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 87","St-Albert",145,48,36,8,67,1,305,481
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 88","St-Albert",95,53,19,4,50,0,221,423
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 89","St-Albert",112,39,33,3,57,2,246,425
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 90","St-Albert",88,39,33,4,49,0,213,367
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 91","St-Albert",69,37,22,3,67,0,198,368
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 92A","St-Albert",62,21,9,2,31,1,126,236
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 92B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,87
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 93","St-Albert",95,54,17,7,80,1,254,395
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 94","St-Albert",97,45,17,5,59,1,224,346
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 95","St-Albert",84,44,30,1,52,1,212,390
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 96","St-Albert",66,57,34,0,87,1,245,397
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 97","St-Albert",95,59,16,5,65,0,240,426
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 98","St-Albert",105,62,31,5,65,0,268,422
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 99","St-Albert",48,26,14,0,21,0,109,317
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 100","St-Albert",96,38,20,5,51,0,210,406
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 101","St-Albert",60,36,37,3,56,0,192,420
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 102","St-Albert",72,47,16,3,74,0,212,314
