Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ziad Aboultaif,Sukhdev Aujla,Mebreate Deres,Aaron Paquette,André Vachon,Chris Vallee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48016,"Edmonton Manning/Edmonton Manning"," 1","Edmonton",121,35,3,26,0,5,1,191,354
48016,"Edmonton Manning/Edmonton Manning"," 2A","Edmonton",94,55,1,77,0,8,2,237,625
48016,"Edmonton Manning/Edmonton Manning"," 2B","Edmonton",112,60,3,84,1,5,0,265,629
48016,"Edmonton Manning/Edmonton Manning"," 3","Edmonton",191,56,1,24,2,4,0,278,445
48016,"Edmonton Manning/Edmonton Manning"," 4","Edmonton",159,105,2,32,2,12,1,313,539
48016,"Edmonton Manning/Edmonton Manning"," 5","Edmonton",167,84,1,73,1,6,0,332,560
48016,"Edmonton Manning/Edmonton Manning"," 6","Edmonton",122,62,1,87,0,6,2,280,500
48016,"Edmonton Manning/Edmonton Manning"," 7","Edmonton",134,67,3,81,1,5,1,292,509
48016,"Edmonton Manning/Edmonton Manning"," 8","Edmonton",124,65,1,49,0,11,2,252,499
48016,"Edmonton Manning/Edmonton Manning"," 9","Edmonton",112,65,2,110,2,8,1,300,576
48016,"Edmonton Manning/Edmonton Manning"," 10","Edmonton",94,84,6,58,0,5,1,248,489
48016,"Edmonton Manning/Edmonton Manning"," 11","Edmonton",158,87,5,88,1,10,1,350,581
48016,"Edmonton Manning/Edmonton Manning"," 12","Edmonton",117,63,3,74,1,7,0,265,530
48016,"Edmonton Manning/Edmonton Manning"," 13","Edmonton",119,50,2,94,2,3,0,270,499
48016,"Edmonton Manning/Edmonton Manning"," 14","Edmonton",127,42,2,75,0,4,0,250,516
48016,"Edmonton Manning/Edmonton Manning"," 15","Edmonton",122,61,2,82,0,11,0,278,505
48016,"Edmonton Manning/Edmonton Manning"," 16","Edmonton",118,62,2,47,0,9,2,240,416
48016,"Edmonton Manning/Edmonton Manning"," 17","East Edmonton",Merged with No./Fusionné avec le n°19,,,,,,,,297
48016,"Edmonton Manning/Edmonton Manning"," 18","Edmonton",89,64,6,56,1,3,2,221,524
48016,"Edmonton Manning/Edmonton Manning"," 19","Edmonton",145,67,4,71,0,7,0,294,353
48016,"Edmonton Manning/Edmonton Manning"," 20","Edmonton",104,61,6,43,1,2,0,217,440
48016,"Edmonton Manning/Edmonton Manning"," 21","Edmonton",143,76,3,71,0,8,3,304,549
48016,"Edmonton Manning/Edmonton Manning"," 22","Edmonton",86,48,1,54,2,5,0,196,495
48016,"Edmonton Manning/Edmonton Manning"," 23","Edmonton",45,44,1,22,2,5,0,119,316
48016,"Edmonton Manning/Edmonton Manning"," 24","Edmonton",48,54,7,31,0,2,1,143,384
48016,"Edmonton Manning/Edmonton Manning"," 25","Edmonton",78,56,2,61,2,9,0,208,460
48016,"Edmonton Manning/Edmonton Manning"," 26","Edmonton",105,62,1,39,0,9,0,216,417
48016,"Edmonton Manning/Edmonton Manning"," 27","Edmonton",117,52,1,62,1,8,0,241,503
48016,"Edmonton Manning/Edmonton Manning"," 28","Edmonton",97,36,2,52,0,5,1,193,539
48016,"Edmonton Manning/Edmonton Manning"," 29","Edmonton",61,64,2,76,0,3,0,206,464
48016,"Edmonton Manning/Edmonton Manning"," 30","Edmonton",81,56,3,55,0,4,2,201,384
48016,"Edmonton Manning/Edmonton Manning"," 31","Edmonton",83,60,4,66,1,6,4,224,488
48016,"Edmonton Manning/Edmonton Manning"," 32","Edmonton",127,42,1,67,0,3,0,240,434
48016,"Edmonton Manning/Edmonton Manning"," 33","Edmonton",123,69,6,74,0,6,2,280,488
48016,"Edmonton Manning/Edmonton Manning"," 34","Edmonton",87,74,2,43,2,3,0,211,420
48016,"Edmonton Manning/Edmonton Manning"," 35","Edmonton",51,57,1,81,0,3,0,193,382
48016,"Edmonton Manning/Edmonton Manning"," 36","Edmonton",86,80,2,62,0,7,0,237,452
48016,"Edmonton Manning/Edmonton Manning"," 37","Edmonton",78,59,4,45,2,7,0,195,426
48016,"Edmonton Manning/Edmonton Manning"," 38","Edmonton",95,70,2,53,0,7,1,228,456
48016,"Edmonton Manning/Edmonton Manning"," 39","Edmonton",98,84,3,68,2,3,5,263,618
48016,"Edmonton Manning/Edmonton Manning"," 40","Edmonton",70,69,3,60,0,8,0,210,647
