Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laurent Aglat,Claude André,Alexandre Boulerice,Stéphane Chénier,Peter d'Entremont,Jeremy Dohan,Nadine Medawar,Sameer Muldeen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 1","Montréal",0,28,85,1,3,12,88,1,3,221,330
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 2","Montréal",0,22,51,0,1,8,26,4,2,114,176
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 3","Montréal",0,44,84,1,3,10,76,7,0,225,494
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 4","Montréal",0,45,82,1,1,20,52,10,3,214,475
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 5","Montréal",1,71,85,0,4,7,40,2,3,213,379
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 6","Montréal",0,50,91,0,1,5,59,6,4,216,418
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 7","Montréal",5,66,120,0,1,12,61,12,2,279,466
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 8","Montréal",4,41,87,1,0,13,40,4,0,190,387
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 9","Montréal",0,28,38,2,2,14,39,2,4,129,297
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 10","Montréal",1,67,94,0,1,8,35,8,0,214,412
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 11","Montréal",1,49,83,0,4,7,39,8,1,192,386
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 12","Montréal",0,70,97,0,1,15,43,11,0,237,446
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 13","Montréal",0,27,29,1,1,4,12,0,0,74,159
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 14","Montréal",1,40,90,0,3,11,57,6,3,211,429
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 15","Montréal",0,61,101,1,0,23,70,8,2,266,528
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 16","Montréal",2,52,83,2,1,12,42,4,4,202,455
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 17","Montréal",0,42,88,0,3,6,51,3,2,195,375
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 18","Montréal",1,36,94,0,3,15,33,5,4,191,366
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 19","Montréal",1,74,113,1,1,11,62,6,2,271,524
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 20","Montréal",1,45,56,0,4,18,76,4,4,208,350
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 21","Montréal",2,31,42,2,0,9,26,1,1,114,297
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 22","Montréal",1,29,81,0,0,11,29,7,3,161,298
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 23","Montréal",0,50,88,0,4,18,60,7,5,232,377
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 24","Montréal",0,33,96,2,1,10,61,5,0,208,388
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 25","Montréal",0,43,103,1,1,12,51,9,0,220,391
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 26","Montréal",2,36,78,1,1,9,50,5,3,185,349
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 27","Montréal",1,30,55,0,1,10,32,1,2,132,267
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 28","Montréal",2,48,81,0,0,6,51,4,5,197,447
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 29","Montréal",0,45,90,0,0,12,44,6,0,197,383
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 30","Montréal",2,48,100,1,0,12,36,3,3,205,431
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 31","Montréal",2,44,91,0,0,10,28,8,0,183,331
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 32","Montréal",2,50,85,0,2,4,33,8,3,187,342
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 33","Montréal",4,51,90,0,2,6,48,3,2,206,346
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 34","Montréal",2,73,115,2,3,6,44,9,3,257,439
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 35","Montréal",2,57,111,0,1,4,25,4,1,205,342
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 36","Montréal",0,30,49,0,1,5,28,2,3,118,280
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 37","Montréal",0,59,125,0,3,21,49,6,4,267,498
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 38","Montréal",5,48,111,2,1,14,34,8,1,224,424
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 39","Montréal",2,35,75,2,10,18,87,4,12,245,420
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 40","Montréal",1,42,77,0,0,9,35,2,39,205,357
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 41","Montréal",2,62,133,0,0,12,40,9,4,262,464
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 42","Montréal",1,23,29,0,0,12,59,5,2,131,304
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 43","Montréal",0,23,48,2,1,10,37,5,1,127,272
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 44","Montréal",1,39,67,3,1,6,42,3,3,165,347
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 45","Montréal",0,44,88,0,2,9,61,4,4,212,357
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 46","Montréal",1,33,71,0,5,12,59,6,4,191,323
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 47","Montréal",2,49,95,0,2,15,60,3,4,230,456
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 48A","Montréal",1,25,47,1,1,11,46,5,2,139,313
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 48B","Montréal",1,29,47,1,1,7,44,1,2,133,284
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 49","Montréal",1,60,94,2,2,11,50,6,5,231,386
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 50","Montréal",1,33,68,1,1,10,55,6,4,179,338
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 51","Montréal",1,47,63,1,1,8,50,7,7,185,380
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 52","Montréal",2,55,105,1,2,13,46,13,3,240,424
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 53","Montréal",2,66,124,0,2,11,53,7,5,270,471
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 54","Montréal",3,42,54,1,1,7,23,4,2,137,299
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 55","Montréal",8,42,120,0,1,3,40,6,1,221,352
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 56","Montréal",2,57,100,3,2,2,37,7,3,213,339
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 57","Montréal",1,64,108,1,1,2,28,9,5,219,369
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 58","Montréal",4,46,93,1,1,3,32,6,4,190,324
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 59","Montréal",0,34,75,0,2,10,67,6,3,197,319
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 60","Montréal",0,43,67,0,0,9,44,4,7,174,327
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 61","Montréal",0,44,101,0,2,12,55,6,3,223,470
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 62","Montréal",4,98,163,1,2,5,61,2,9,345,517
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 63","Montréal",1,51,109,0,1,5,36,7,2,212,368
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 64","Montréal",3,51,99,0,2,13,52,9,4,233,458
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 65","Montréal",4,83,151,2,1,10,46,9,6,312,464
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 66A","Montréal",1,49,91,0,0,7,41,5,1,195,304
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 66B","Montréal",0,24,81,0,3,6,32,3,1,150,297
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 67","Montréal",1,49,76,2,0,1,32,7,0,168,291
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 68A","Montréal",1,48,124,1,0,8,66,2,3,253,439
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 68B","Montréal",1,53,118,0,1,5,50,6,1,235,407
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 69","Montréal",1,40,54,0,2,18,64,2,4,185,459
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 70","Montréal",6,45,83,0,3,8,36,7,0,188,315
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 71","Montréal",1,43,112,0,0,8,26,14,4,208,332
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 72","Montréal",1,58,93,0,0,3,22,8,4,189,314
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 73","Montréal",3,60,162,0,4,8,45,8,0,290,467
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 74","Montréal",2,60,113,0,3,4,37,9,1,229,386
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 75","Montréal",0,50,111,1,0,4,22,7,1,196,344
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 76","Montréal",0,75,119,0,2,13,36,8,4,257,404
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 77","Montréal",2,66,95,1,2,3,29,8,1,207,379
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 78","Montréal",0,36,97,1,1,5,25,4,1,170,296
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 79","Montréal",2,42,91,0,3,8,47,3,5,201,418
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 80","Montréal",0,43,86,0,0,12,25,6,1,173,339
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 81","Montréal",1,25,75,0,2,3,47,7,3,163,297
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 82","Montréal",4,41,98,0,1,5,43,7,2,201,356
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 83","Montréal",2,42,109,0,0,3,37,5,2,200,331
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 84","Montréal",0,53,107,0,1,2,26,5,2,196,315
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 85","Montréal",3,63,116,1,0,2,38,5,0,228,411
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 86","Montréal",4,56,120,0,3,2,47,7,2,241,419
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 87","Montréal",1,55,123,1,0,6,51,8,6,251,524
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 88","Montréal",1,65,129,0,1,14,47,12,8,277,537
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 89","Montréal",1,43,68,1,2,34,67,0,2,218,412
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 90","Montréal",5,70,143,2,1,6,40,10,5,282,487
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 91","Montréal",0,46,99,1,2,8,36,5,4,201,367
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 92","Montréal",2,64,118,1,0,9,32,9,5,240,443
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 93","Montréal",1,45,83,0,1,4,41,3,3,181,388
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 94","Montréal",2,55,95,2,2,11,51,7,1,226,441
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 95","Montréal",0,41,70,0,0,8,35,6,4,164,355
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 96","Montréal",1,43,130,3,2,1,35,10,3,228,406
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 97","Montréal",4,73,114,0,1,5,41,6,4,248,442
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 98","Montréal",2,45,104,0,1,8,19,2,0,181,294
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 99","Montréal",0,68,122,0,0,10,47,5,4,256,416
