Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob D'Eith,Mike Murray,Steve Ranta,Dan Ruimy,Peter Tam,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 602","Pitt Meadows",317,355,4,258,30,2,966,
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 603","Maple Ridge",277,252,1,217,27,2,776,
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 604","Maple Ridge",285,262,7,217,28,2,801,
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 605","Maple Ridge",253,275,9,209,35,0,781,
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 606","Maple Ridge",210,211,5,198,31,1,656,
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 607","Maple Ridge",242,270,4,215,31,2,764,
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 608","Maple Ridge",233,321,2,260,36,1,853,
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 609","Maple Ridge",195,239,2,206,25,1,668,
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 610","Maple Ridge",259,281,0,214,28,0,782,
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge",,"Group 1/Groupe 1",17,21,1,52,5,3,99,75
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge",,"Group 2/Groupe 2",721,745,19,460,75,13,2033,
