Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Chisholm,Jason Cole,Darren Fisher,Brynn Nheiley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 1","Halifax",47,63,202,2,0,314,467
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 2","Halifax",43,40,174,5,0,262,483
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 3","Halifax",56,38,169,6,0,269,431
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 4","Halifax",56,28,161,6,0,251,433
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 5","Halifax",52,48,166,12,2,280,480
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 6","Halifax",29,30,173,6,0,238,419
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 7","Halifax",33,42,163,5,0,243,439
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 8","Halifax",19,29,138,3,0,189,382
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 9","Halifax",22,33,151,4,1,211,404
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 10","Halifax",43,25,154,9,0,231,412
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 11","Halifax",44,30,186,11,1,272,462
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 12","Halifax",54,14,85,8,0,161,358
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 13","Halifax",24,7,43,4,0,78,388
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 14","Halifax",32,7,78,4,0,121,365
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 15","Halifax",31,18,114,3,0,166,369
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 16","Halifax",48,17,104,7,0,176,451
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 17A","Halifax",46,22,113,7,1,189,399
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 17B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,34
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 18","Halifax",65,29,143,5,0,242,408
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 19","Halifax",49,23,143,5,1,221,427
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 20","Halifax",30,19,119,5,0,173,351
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 21","Halifax",36,20,91,6,1,154,312
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 22","Halifax",38,35,103,8,2,186,364
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 23","Halifax",47,33,109,10,1,200,379
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 24","Halifax",48,20,107,8,0,183,348
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 25","Halifax",31,16,91,6,0,144,324
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 26","Halifax",44,38,116,3,2,203,379
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 27","Halifax",54,37,114,3,0,208,358
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 28","Halifax",49,24,95,6,0,174,339
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 29","Halifax",52,17,109,3,1,182,351
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 30","Halifax",42,32,97,2,1,174,350
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 31","Halifax",51,22,82,9,1,165,350
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 32","Halifax",37,24,92,7,0,160,337
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 33","Halifax",46,28,106,0,1,181,389
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 34","Halifax",44,22,112,8,0,186,384
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 35","Halifax",43,26,105,2,1,177,381
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 36","Halifax",66,25,103,3,0,197,349
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 37","Halifax",60,25,108,9,1,203,369
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 38","Halifax",47,28,111,3,1,190,334
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 39","Halifax",55,23,87,5,1,171,324
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 40","Halifax",40,18,124,4,0,186,343
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 41","Halifax",43,24,136,10,0,213,389
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 42","Halifax",44,25,126,4,1,200,353
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 43","Halifax",60,40,119,5,0,224,448
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 44","Halifax",49,22,135,10,0,216,441
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 45","Halifax",53,30,149,4,0,236,419
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 46","Halifax",52,36,162,8,0,258,455
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 47","Halifax",54,23,129,10,0,216,403
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 48","Halifax",53,27,113,5,0,198,345
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 49","Halifax",35,24,122,1,1,183,375
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 50","Halifax",44,33,137,4,1,219,365
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 51","Halifax",37,29,104,6,1,177,389
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 52","Halifax",73,36,140,6,0,255,468
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 53","Halifax",58,44,144,5,2,253,484
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 54","Halifax",38,44,116,3,0,201,426
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 55","Halifax",44,38,141,8,1,232,463
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 56","Halifax",57,21,98,4,0,180,397
