Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Bebbington,Bob Deptuck,Robert Gordon Kitchen,Vicky O'Dell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 43A","Handsworth",7,5,94,3,0,109,151
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 43B","Handsworth",15,1,8,55,0,79,91
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 44","Windthorst",33,4,156,25,1,219,332
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 45","Kenosee Park",46,13,214,25,2,300,408
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 46","Kennedy",34,6,124,8,0,172,282
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 47","Wawota",27,7,126,16,0,176,312
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 48","Wawota",23,10,179,19,0,231,353
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 49","Fairlight",8,4,113,8,0,133,222
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 50","Fleming",18,1,62,12,0,93,149
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 51","Maryfield",34,4,210,23,0,271,369
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 52","Wauchope",22,6,160,9,1,198,322
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 53","Antler",10,5,101,4,1,121,177
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 54","Wauchope",29,3,169,17,0,218,337
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 55","Redvers",38,7,222,19,0,286,469
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 56","Manor",23,6,188,14,0,231,375
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 57","White Bear 70",60,2,34,54,0,150,243
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 58","Carlyle",9,4,141,14,0,168,257
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 59","Carlyle",20,3,131,16,0,170,286
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 60","Carlyle",38,7,169,18,0,232,396
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 61","Carlyle",56,9,185,52,0,302,657
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 62","Arcola",20,6,141,16,0,183,291
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 63","Arcola",20,8,124,33,1,186,267
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 64","Kisbey",34,10,118,26,0,188,300
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 65","Stoughton",36,4,208,35,0,283,469
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 66","Heward",22,7,189,31,1,250,362
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 67","Griffin",9,7,135,30,0,181,268
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 68","McTaggart",14,4,152,26,0,196,338
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 69A","North Weyburn",17,3,234,45,0,299,474
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 69B","Weyburn",Merged with No./Fusionné avec le n°149,,,,,,17
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 70","Weyburn",32,5,130,43,1,211,364
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 71","Weyburn",28,6,178,46,2,260,436
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 72","Weyburn",32,10,152,34,0,228,410
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 73","Weyburn",31,4,121,49,1,206,347
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 74","Weyburn",38,7,95,39,0,179,332
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 75","Weyburn",60,15,208,66,0,349,645
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 76","Weyburn",39,9,129,44,1,222,369
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 77","Weyburn",38,4,114,66,0,222,382
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 78","Weyburn",25,4,131,36,0,196,334
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 79","Weyburn",24,8,167,42,1,242,468
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 80","Weyburn",30,6,142,47,1,226,426
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 81","Yellow Grass",34,3,227,37,0,301,447
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 82","Khedive",12,9,128,26,0,175,250
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 83","Pangman",34,6,106,50,0,196,273
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 84","Kayville",9,3,26,8,0,46,105
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 85","Viceroy",19,5,79,9,2,114,212
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 86","Ogema",39,8,204,47,1,299,430
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 87","Ceylon",15,1,146,22,0,184,252
