Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Maloney,Janice Murray,Angela Salewsky,Phil Trotter,Bernard Trottier,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 1A","Etobicoke",159,1,8,21,110,2,0,301,384
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 1B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92F,,,,,,,,70
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 2","Etobicoke",86,0,4,10,107,1,0,208,415
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 3","Etobicoke",97,0,2,10,102,0,0,211,411
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 4","Etobicoke",84,0,5,8,114,0,0,211,407
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 5","Etobicoke",106,0,1,8,101,2,0,218,483
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 6","Etobicoke",82,0,5,12,94,0,0,193,416
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 7","Etobicoke",107,0,6,14,62,0,1,190,421
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 8","Etobicoke",150,1,6,33,76,1,0,267,550
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 9","Etobicoke",125,1,3,19,135,0,0,283,386
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 10","Etobicoke",137,0,5,25,118,1,4,290,408
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 11","Etobicoke",61,0,3,8,85,0,1,158,365
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 12","Etobicoke",117,0,1,8,74,1,0,201,371
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 13","Etobicoke",98,0,3,11,76,0,0,188,395
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 14","Etobicoke",98,0,5,12,102,1,0,218,425
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 15","Etobicoke",117,0,5,8,102,0,0,232,428
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 16","Etobicoke",123,1,4,13,85,1,0,227,499
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 17","Etobicoke",102,0,3,8,97,0,2,212,446
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 18A","Etobicoke",Merged with No./Fusionné avec le n°16,,,,,,,,0
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 18B","Etobicoke",126,0,5,14,143,1,1,290,431
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 19","Etobicoke",125,0,12,25,76,0,0,238,313
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 20A","Etobicoke",166,0,6,23,29,0,0,224,279
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 20B","Etobicoke",Merged with No./Fusionné avec le n°422,,,,,,,,192
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 20C","Etobicoke",111,0,4,22,42,1,2,182,289
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 21A","Etobicoke",85,0,2,12,43,0,0,142,271
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 21B","Etobicoke",74,0,1,21,40,0,0,136,247
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 21C","Etobicoke",Merged with No./Fusionné avec le n°424,,,,,,,,188
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 22","Etobicoke",140,0,7,13,96,1,0,257,469
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 23","Etobicoke",155,1,4,26,134,0,1,321,467
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 24","Etobicoke",94,1,7,20,82,0,1,205,480
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 25A","Etobicoke",Merged with No./Fusionné avec le n°37,,,,,,,,75
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 25B","Etobicoke",120,0,2,31,48,0,2,203,366
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 26","Etobicoke",97,0,3,23,73,2,2,200,430
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 27","Etobicoke",114,1,7,24,75,1,2,224,373
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 28","Etobicoke",119,0,7,26,79,2,2,235,409
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 29","Etobicoke",73,1,9,14,86,1,1,185,385
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 30","Etobicoke",98,1,9,11,99,1,2,221,394
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 31","Etobicoke",94,1,2,23,84,0,0,204,374
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 32","Etobicoke",101,0,8,16,98,0,0,223,458
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 33","Etobicoke",123,0,5,11,70,1,1,211,416
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 34","Etobicoke",107,0,1,12,84,1,1,206,398
