Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raheem Aman,Shaun Burt,Andrew James Caton,Scott Duvall,Jim Enos,Al Miles,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35037,"Hamilton Mountain/Hamilton Mountain"," 1","Hamilton ",7,79,0,61,2,46,0,195,342
35037,"Hamilton Mountain/Hamilton Mountain"," 2","Hamilton ",8,58,2,84,1,43,1,197,376
35037,"Hamilton Mountain/Hamilton Mountain"," 3","Hamilton ",4,77,7,117,0,47,1,253,415
35037,"Hamilton Mountain/Hamilton Mountain"," 4","Hamilton ",9,76,2,98,0,48,2,235,458
35037,"Hamilton Mountain/Hamilton Mountain"," 5","Hamilton ",7,60,1,101,1,51,0,221,449
35037,"Hamilton Mountain/Hamilton Mountain"," 6","Hamilton ",8,71,0,76,4,53,3,215,386
35037,"Hamilton Mountain/Hamilton Mountain"," 7","Hamilton ",13,72,0,87,5,45,2,224,386
35037,"Hamilton Mountain/Hamilton Mountain"," 8","Hamilton ",16,73,2,95,0,66,2,254,404
35037,"Hamilton Mountain/Hamilton Mountain"," 9","Hamilton ",4,86,2,85,2,39,0,218,404
35037,"Hamilton Mountain/Hamilton Mountain"," 10","Hamilton ",6,98,1,68,2,52,2,229,390
35037,"Hamilton Mountain/Hamilton Mountain"," 11","Hamilton ",12,86,4,78,0,64,0,244,438
35037,"Hamilton Mountain/Hamilton Mountain"," 12","Hamilton ",1,84,2,86,1,46,0,220,354
35037,"Hamilton Mountain/Hamilton Mountain"," 13","Hamilton ",9,56,2,79,2,48,0,196,379
35037,"Hamilton Mountain/Hamilton Mountain"," 14","Hamilton ",5,64,2,68,0,45,1,185,358
35037,"Hamilton Mountain/Hamilton Mountain"," 15","Hamilton ",10,105,2,86,3,52,0,258,499
35037,"Hamilton Mountain/Hamilton Mountain"," 16","Hamilton ",11,104,0,73,2,33,3,226,420
35037,"Hamilton Mountain/Hamilton Mountain"," 17","Hamilton ",6,73,2,75,2,47,0,205,410
35037,"Hamilton Mountain/Hamilton Mountain"," 18","Hamilton ",3,70,2,59,2,29,2,167,343
35037,"Hamilton Mountain/Hamilton Mountain"," 19","Hamilton ",5,85,5,67,2,48,0,212,394
35037,"Hamilton Mountain/Hamilton Mountain"," 20","Hamilton ",8,85,10,55,4,63,2,227,394
35037,"Hamilton Mountain/Hamilton Mountain"," 21","Hamilton ",9,76,3,88,1,61,0,238,358
35037,"Hamilton Mountain/Hamilton Mountain"," 22","Hamilton ",4,84,2,66,2,50,6,214,403
35037,"Hamilton Mountain/Hamilton Mountain"," 23","Hamilton ",1,70,2,59,0,52,3,187,360
35037,"Hamilton Mountain/Hamilton Mountain"," 24","Hamilton ",4,64,0,105,0,54,0,227,443
35037,"Hamilton Mountain/Hamilton Mountain"," 25","Hamilton ",5,80,8,92,2,49,2,238,469
35037,"Hamilton Mountain/Hamilton Mountain"," 26","Hamilton ",6,67,4,65,2,45,1,190,408
35037,"Hamilton Mountain/Hamilton Mountain"," 27","Hamilton ",6,50,3,70,2,37,0,168,391
35037,"Hamilton Mountain/Hamilton Mountain"," 28","Hamilton ",9,82,1,77,0,42,0,211,368
35037,"Hamilton Mountain/Hamilton Mountain"," 29","Hamilton ",6,86,5,111,1,40,0,249,423
35037,"Hamilton Mountain/Hamilton Mountain"," 30","Hamilton ",7,59,3,106,2,38,2,217,396
35037,"Hamilton Mountain/Hamilton Mountain"," 31","Hamilton ",9,66,2,78,1,47,1,204,410
35037,"Hamilton Mountain/Hamilton Mountain"," 32","Hamilton ",7,43,3,100,1,30,0,184,396
35037,"Hamilton Mountain/Hamilton Mountain"," 33","Hamilton ",7,44,4,99,2,57,1,214,449
35037,"Hamilton Mountain/Hamilton Mountain"," 34","Hamilton ",4,46,3,73,1,31,0,158,436
35037,"Hamilton Mountain/Hamilton Mountain"," 35","Hamilton ",8,55,0,86,1,39,0,189,402
35037,"Hamilton Mountain/Hamilton Mountain"," 36","Hamilton ",5,45,4,62,2,28,2,148,359
35037,"Hamilton Mountain/Hamilton Mountain"," 37","Hamilton ",4,30,2,73,0,42,1,152,385
35037,"Hamilton Mountain/Hamilton Mountain"," 38","Hamilton ",7,68,0,84,1,55,0,215,359
35037,"Hamilton Mountain/Hamilton Mountain"," 39","Hamilton ",6,67,3,79,1,32,0,188,421
35037,"Hamilton Mountain/Hamilton Mountain"," 40","Hamilton ",8,62,2,122,0,42,2,238,430
35037,"Hamilton Mountain/Hamilton Mountain"," 41","Hamilton ",6,85,4,130,1,52,2,280,452
35037,"Hamilton Mountain/Hamilton Mountain"," 42","Hamilton ",6,64,2,99,3,44,2,220,451
35037,"Hamilton Mountain/Hamilton Mountain"," 43","Hamilton ",5,60,4,104,0,62,3,238,383
35037,"Hamilton Mountain/Hamilton Mountain"," 44","Hamilton ",8,53,3,85,1,73,0,223,354
35037,"Hamilton Mountain/Hamilton Mountain"," 45","Hamilton ",9,71,0,83,0,47,0,210,342
35037,"Hamilton Mountain/Hamilton Mountain"," 46","Hamilton ",3,73,4,104,3,55,0,242,380
35037,"Hamilton Mountain/Hamilton Mountain"," 47","Hamilton ",3,64,2,93,5,57,0,224,369
35037,"Hamilton Mountain/Hamilton Mountain"," 48","Hamilton ",10,89,3,95,1,60,1,259,379
35037,"Hamilton Mountain/Hamilton Mountain"," 49","Hamilton ",7,35,1,104,1,49,0,197,353
35037,"Hamilton Mountain/Hamilton Mountain"," 50","Hamilton ",11,74,2,84,2,39,1,213,353
35037,"Hamilton Mountain/Hamilton Mountain"," 51","Hamilton ",3,47,1,96,2,51,0,200,384
35037,"Hamilton Mountain/Hamilton Mountain"," 52","Hamilton ",6,56,6,91,1,57,0,217,377
35037,"Hamilton Mountain/Hamilton Mountain"," 53","Hamilton ",3,50,3,98,3,60,1,218,389
35037,"Hamilton Mountain/Hamilton Mountain"," 54","Hamilton ",6,62,6,91,2,41,2,210,400
35037,"Hamilton Mountain/Hamilton Mountain"," 55","Hamilton ",7,71,6,118,4,51,2,259,438
35037,"Hamilton Mountain/Hamilton Mountain"," 56","Hamilton ",4,60,4,103,1,51,1,224,433
35037,"Hamilton Mountain/Hamilton Mountain"," 57","Hamilton ",7,108,4,83,2,60,1,265,489
35037,"Hamilton Mountain/Hamilton Mountain"," 58","Hamilton ",11,62,2,102,3,53,3,236,420
35037,"Hamilton Mountain/Hamilton Mountain"," 59","Hamilton ",3,54,2,52,0,50,2,163,320
35037,"Hamilton Mountain/Hamilton Mountain"," 60","Hamilton ",3,40,3,64,1,45,0,156,324
