Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Bratina,Diane Bubanko,Erin Davis,Wendell Fields,Bob Mann,Wayne Marston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 47","Hamilton ",101,45,2,1,2,72,3,226,368
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 48","Stoney Creek",77,71,9,0,0,79,2,238,423
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 49","Stoney Creek",103,103,6,0,0,88,3,303,428
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 50","Stoney Creek",83,64,9,0,0,60,0,216,406
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 51","Stoney Creek",49,81,5,0,0,49,0,184,378
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 52","Stoney Creek",96,51,6,1,1,59,1,215,405
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 53","Stoney Creek",74,48,1,0,0,57,3,183,402
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 54","Stoney Creek",71,50,8,0,0,47,0,176,340
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 55","Stoney Creek",123,62,4,1,2,65,3,260,427
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 56","Stoney Creek",77,44,1,0,1,44,3,170,303
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 57","Stoney Creek",94,72,4,2,0,76,1,249,396
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 58","Stoney Creek",117,100,6,0,1,91,1,316,442
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 59","Stoney Creek",77,51,2,1,0,82,2,215,380
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 60","Stoney Creek",82,40,3,0,0,77,1,203,368
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 61","Stoney Creek",89,40,5,0,0,73,4,211,365
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 62","Stoney Creek",95,72,6,0,1,30,1,205,322
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 63","Stoney Creek",78,48,4,0,2,37,0,169,315
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 64","Stoney Creek",174,73,10,0,2,76,2,337,563
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 65","Stoney Creek",73,54,6,1,0,57,0,191,398
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 66","Stoney Creek",57,45,5,0,1,62,0,170,302
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 67","Stoney Creek",80,59,5,0,0,68,0,212,425
