Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aline Bégin,Benoit Fortin,Pascal Le Fou Gélinas,Christine Moore,Yvon Moreau,Claude Thibault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 1","Saint-Lambert",0,4,2,37,25,7,2,77,164
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 2","La Reine",0,20,1,68,20,49,1,159,269
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 3","Clerval",1,7,1,74,31,30,2,146,259
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 4","Roquemaure",3,12,3,85,43,49,0,195,312
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 5","Rapide-Danseur",5,4,2,51,32,29,0,123,248
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 6","Gallichan",5,14,3,67,42,53,0,184,374
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 7","Sainte-Hélène-de-Mancebourg",1,11,2,105,35,38,2,194,312
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 8","Dupuy",1,8,2,120,52,38,4,225,389
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 9","Dupuy",1,12,3,100,25,56,6,203,346
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 10","Normétal",3,17,2,65,45,42,2,176,366
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 11","Normétal",2,13,1,52,40,25,2,135,298
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 12","Saint-Vital-de-Clermont",3,10,2,73,13,46,2,149,273
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 13","La Sarre",3,19,1,82,36,41,3,185,409
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 14","La Sarre",0,7,0,82,39,47,6,181,391
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 15","La Sarre",3,6,2,45,30,34,4,124,287
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 16","La Sarre",1,3,0,50,17,26,1,98,255
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 17","La Sarre",1,6,1,46,28,33,1,116,328
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 18","La Sarre",3,5,1,58,28,30,2,127,347
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 19","La Sarre",1,4,1,62,34,38,6,146,372
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 20","La Sarre",0,16,1,80,47,46,2,192,369
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 21","La Sarre",1,13,4,93,62,35,5,213,489
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 22","La Sarre",2,7,0,72,24,45,2,152,362
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 23","La Sarre",4,10,1,98,29,53,5,200,441
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 24","La Sarre",2,16,2,100,57,54,3,234,486
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 25","La Sarre",4,9,1,90,45,58,2,209,503
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 26","La Sarre",0,3,0,32,34,35,5,109,331
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 27","La Sarre",2,14,3,95,61,85,1,261,486
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 28","Colombourg",1,5,0,43,22,16,0,87,174
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 29","Colombourg",2,3,1,51,16,27,0,100,200
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 30","Macamic",2,11,2,80,37,39,4,175,470
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 31","Macamic",2,5,0,43,22,33,1,106,273
