Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claude DeBellefeuille,Albert De Martin,Patricia Domingos,Sylvain Larocque,Anne Minh-Thu Quach,Robert Sauvé,Nicola-Silverado Socrates,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 1","Très-Saint-Rédempteur",53,18,0,0,54,57,6,4,192,302
24071,"Salaberry--Suroît/Salaberry--Suroît"," 2","Très-Saint-Rédempteur",63,24,2,4,58,80,7,4,242,407
24071,"Salaberry--Suroît/Salaberry--Suroît"," 3","Sainte-Marthe",59,41,0,0,68,90,5,7,270,455
24071,"Salaberry--Suroît/Salaberry--Suroît"," 4","Sainte-Marthe",48,27,1,0,58,98,3,4,239,430
24071,"Salaberry--Suroît/Salaberry--Suroît"," 5","Saint-Clet",60,22,0,2,66,72,6,10,238,308
24071,"Salaberry--Suroît/Salaberry--Suroît"," 6","Saint-Clet",86,39,2,1,55,93,2,1,279,397
24071,"Salaberry--Suroît/Salaberry--Suroît"," 7","Saint-Clet",47,23,0,0,37,66,8,5,186,298
24071,"Salaberry--Suroît/Salaberry--Suroît"," 8","Saint-Clet",94,21,2,0,56,47,6,7,233,385
24071,"Salaberry--Suroît/Salaberry--Suroît"," 9","Sainte-Justine-de-Newton",73,38,12,2,49,78,5,1,258,426
24071,"Salaberry--Suroît/Salaberry--Suroît"," 10","Sainte-Justine-de-Newton",50,23,9,1,42,78,7,5,215,358
24071,"Salaberry--Suroît/Salaberry--Suroît"," 11","Saint-Polycarpe",67,26,1,0,67,86,7,6,260,464
24071,"Salaberry--Suroît/Salaberry--Suroît"," 12","Saint-Polycarpe",54,21,2,1,58,63,9,3,211,421
24071,"Salaberry--Suroît/Salaberry--Suroît"," 13","Saint-Polycarpe",55,14,4,0,57,66,20,4,220,365
24071,"Salaberry--Suroît/Salaberry--Suroît"," 14","Saint-Polycarpe",102,26,4,2,57,76,2,3,272,542
24071,"Salaberry--Suroît/Salaberry--Suroît"," 15","Coteau-du-Lac",61,27,1,1,80,68,2,7,247,467
24071,"Salaberry--Suroît/Salaberry--Suroît"," 16","Coteau-du-Lac",57,21,0,1,53,61,4,5,202,378
