Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kenny Chiu,Joe Peschisolido,Laura-Leah Shaw,Scott Stewart,Matthew Swanston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 1A","Richmond",44,113,13,28,1,1,200,378
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 1B","Richmond",47,75,10,16,1,1,150,282
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 2","Richmond",53,86,4,12,1,1,157,289
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 3","Richmond",86,124,4,17,1,2,234,471
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 4","Richmond",40,99,5,11,2,4,161,371
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 5","Richmond",75,86,6,20,1,0,188,359
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 6","Richmond",45,52,4,21,1,3,126,302
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 7","Richmond",32,71,4,23,1,2,133,300
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 8","Richmond",53,99,22,7,1,1,183,348
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 9","Richmond",72,65,4,23,2,1,167,364
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 10","Richmond",66,72,3,10,0,0,151,359
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 11","Richmond",58,89,3,25,0,4,179,415
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 12","Richmond",28,111,4,33,3,4,183,441
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 13","Richmond",60,68,2,22,1,2,155,416
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 14","Richmond",74,87,6,17,2,2,188,475
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 15","Richmond",43,103,2,28,1,2,179,415
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 16","Richmond",24,152,2,30,0,4,212,443
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 17","Richmond",47,111,7,18,2,4,189,393
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 18","Richmond",89,53,2,5,1,1,151,471
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 19","Richmond",81,73,4,13,0,0,171,512
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 20","Richmond",47,73,7,17,1,0,145,338
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 21","Richmond",50,104,6,24,2,1,187,349
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 22","Richmond",84,106,7,28,1,0,226,448
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 23","Richmond",63,78,9,42,0,1,193,439
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 24","Richmond",53,77,3,28,1,0,162,379
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 25","Richmond",60,100,12,21,1,2,196,396
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 26","Richmond",49,105,9,24,1,3,191,393
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 27","Richmond",63,102,9,21,3,1,199,437
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 28","Richmond",54,77,4,41,2,0,178,343
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 29","Richmond",53,93,6,29,0,3,184,363
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 30","Richmond",68,82,9,29,0,0,188,373
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 31","Richmond",56,82,5,13,1,2,159,406
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 32","Richmond",96,82,2,7,1,0,188,509
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 33A","Richmond",50,58,3,10,0,0,121,469
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 33B","Richmond",52,56,5,10,0,0,123,357
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 34","Richmond",67,79,5,9,3,1,164,538
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 35","Richmond",76,79,9,15,2,0,181,488
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 36","Richmond",90,75,7,10,4,0,186,470
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 37","Richmond",50,88,6,27,1,2,174,507
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 38","Richmond",62,66,5,21,0,0,154,430
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 39","Richmond",61,52,2,15,2,0,132,490
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 40","Richmond",60,41,1,10,1,0,113,489
