Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Allan Bezanson,Irvine Carvery,Andy Fillmore,Megan Leslie,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax/Halifax"," 1","Halifax","Electors voted by special ballot in Group 2",,,,,,,0
12005,"Halifax/Halifax"," 2","Fergusons Cove",0,27,152,49,8,0,236,450
12005,"Halifax/Halifax"," 3","Halifax",0,9,86,29,6,0,130,288
12005,"Halifax/Halifax"," 4","Halifax",2,21,100,36,7,0,166,357
12005,"Halifax/Halifax"," 5","Halifax",0,18,93,52,5,1,169,351
12005,"Halifax/Halifax"," 6","Halifax",0,25,164,62,6,1,258,455
12005,"Halifax/Halifax"," 7","Halifax",0,9,74,59,4,0,146,346
12005,"Halifax/Halifax"," 8","Halifax",0,4,116,70,13,1,204,419
12005,"Halifax/Halifax"," 9","Halifax",1,8,93,67,9,2,180,377
12005,"Halifax/Halifax"," 10","Halifax",2,15,115,87,13,0,232,486
12005,"Halifax/Halifax"," 11","Halifax",0,31,134,79,9,0,253,466
12005,"Halifax/Halifax"," 12","Halifax",0,36,96,36,5,0,173,413
12005,"Halifax/Halifax"," 13","Halifax",1,24,123,65,5,2,220,471
12005,"Halifax/Halifax"," 14","Halifax",0,24,152,62,7,1,246,499
12005,"Halifax/Halifax"," 15","Halifax",2,18,136,74,10,0,240,466
12005,"Halifax/Halifax"," 16","Halifax",0,7,109,68,5,0,189,447
12005,"Halifax/Halifax"," 17","Halifax",0,16,82,65,5,0,168,395
12005,"Halifax/Halifax"," 18","Halifax",0,18,134,69,11,1,233,551
12005,"Halifax/Halifax"," 19","Halifax",0,14,60,60,8,0,142,427
12005,"Halifax/Halifax"," 20","Halifax",0,12,99,58,7,0,176,377
12005,"Halifax/Halifax"," 21","Halifax",1,3,58,52,7,0,121,397
12005,"Halifax/Halifax"," 22","Halifax",2,6,52,103,5,0,168,435
12005,"Halifax/Halifax"," 23","Halifax",0,1,72,142,11,1,227,379
12005,"Halifax/Halifax"," 24","Halifax",0,9,75,112,13,1,210,368
12005,"Halifax/Halifax"," 25","Halifax",0,11,130,73,9,0,223,412
12005,"Halifax/Halifax"," 26","Halifax",2,11,106,110,6,0,235,398
12005,"Halifax/Halifax"," 27","Halifax",1,11,74,88,7,2,183,398
12005,"Halifax/Halifax"," 28","Halifax",0,7,87,79,6,1,180,413
12005,"Halifax/Halifax"," 29","Halifax",0,17,97,116,6,0,236,393
12005,"Halifax/Halifax"," 30","Halifax",0,10,82,71,4,5,172,481
12005,"Halifax/Halifax"," 31","Halifax",0,12,91,109,7,0,219,412
12005,"Halifax/Halifax"," 32","Halifax",0,18,117,101,10,1,247,459
12005,"Halifax/Halifax"," 33","Halifax",0,12,152,59,7,2,232,475
12005,"Halifax/Halifax"," 34","Halifax",0,18,122,72,12,0,224,504
12005,"Halifax/Halifax"," 35","Halifax",1,7,68,61,4,1,142,341
12005,"Halifax/Halifax"," 36","Halifax",1,11,88,66,2,1,169,370
12005,"Halifax/Halifax"," 37","Halifax",0,7,94,43,9,1,154,329
12005,"Halifax/Halifax"," 38","Halifax",0,19,111,65,3,1,199,386
12005,"Halifax/Halifax"," 39","Halifax",0,25,127,74,10,1,237,440
12005,"Halifax/Halifax"," 40","Halifax",1,10,109,67,3,0,190,412
12005,"Halifax/Halifax"," 41","Halifax",0,20,115,72,4,2,213,407
12005,"Halifax/Halifax"," 42","Halifax",0,16,92,92,5,2,207,377
12005,"Halifax/Halifax"," 43","Halifax",1,10,101,85,11,1,209,384
12005,"Halifax/Halifax"," 44","Halifax",0,10,94,92,5,1,202,356
12005,"Halifax/Halifax"," 45","Halifax",1,24,140,89,14,0,268,493
12005,"Halifax/Halifax"," 46","Halifax",4,26,112,79,7,2,230,478
12005,"Halifax/Halifax"," 47","Halifax",1,17,125,90,11,3,247,441
12005,"Halifax/Halifax"," 48","Halifax",0,26,123,108,10,0,267,453
12005,"Halifax/Halifax"," 49","Halifax",0,14,94,103,8,0,219,500
12005,"Halifax/Halifax"," 50","Halifax",1,17,123,80,6,1,228,394
12005,"Halifax/Halifax"," 51","Halifax",0,11,117,145,11,0,284,499
12005,"Halifax/Halifax"," 52","Halifax",1,19,114,115,10,0,259,453
12005,"Halifax/Halifax"," 53","Halifax",3,15,89,89,4,2,202,422
12005,"Halifax/Halifax"," 54","Halifax",1,18,106,89,7,0,221,355
12005,"Halifax/Halifax"," 55","Halifax",2,15,118,84,7,0,226,436
12005,"Halifax/Halifax"," 56","Halifax",0,10,132,93,12,0,247,415
12005,"Halifax/Halifax"," 57","Halifax",1,14,121,89,5,0,230,397
12005,"Halifax/Halifax"," 58","Halifax",0,6,111,81,6,0,204,413
12005,"Halifax/Halifax"," 59","Halifax",1,17,171,78,4,0,271,447
12005,"Halifax/Halifax"," 60","Halifax",1,5,71,117,17,1,212,439
12005,"Halifax/Halifax"," 61","Halifax",2,8,101,138,13,2,264,443
12005,"Halifax/Halifax"," 62","Halifax",1,11,99,112,8,0,231,499
12005,"Halifax/Halifax"," 63","Halifax",0,8,96,114,12,2,232,456
12005,"Halifax/Halifax"," 64","Halifax",0,15,61,107,4,2,189,392
12005,"Halifax/Halifax"," 65","Halifax",0,10,118,127,6,0,261,466
12005,"Halifax/Halifax"," 66","Halifax",0,10,109,110,12,4,245,437
12005,"Halifax/Halifax"," 67","Halifax",0,6,77,80,7,0,170,356
12005,"Halifax/Halifax"," 68","Halifax",2,8,59,124,4,0,197,359
12005,"Halifax/Halifax"," 69","Halifax",1,6,88,107,7,1,210,287
12005,"Halifax/Halifax"," 70","Halifax",0,3,65,65,7,0,140,275
12005,"Halifax/Halifax"," 71","Halifax",0,10,86,79,8,2,185,287
12005,"Halifax/Halifax"," 72","Halifax",1,12,147,107,12,1,280,519
12005,"Halifax/Halifax"," 73","Halifax",0,11,109,58,17,1,196,474
12005,"Halifax/Halifax"," 74","Halifax",0,9,122,61,5,1,198,387
12005,"Halifax/Halifax"," 75","Halifax",0,14,122,63,6,0,205,441
12005,"Halifax/Halifax"," 76","Halifax",1,22,124,37,7,0,191,409
12005,"Halifax/Halifax"," 77","Halifax",0,25,95,55,4,3,182,376
12005,"Halifax/Halifax"," 78","Halifax",1,40,152,67,10,0,270,510
12005,"Halifax/Halifax"," 79","Halifax",0,20,104,59,3,0,186,418
12005,"Halifax/Halifax"," 80","Halifax",1,21,109,59,3,1,194,356
12005,"Halifax/Halifax"," 81","Halifax",1,14,95,72,8,0,190,327
12005,"Halifax/Halifax"," 82A","Halifax",0,0,34,13,0,0,47,97
12005,"Halifax/Halifax"," 82B","Halifax",1,10,49,45,2,1,108,161
12005,"Halifax/Halifax"," 83","Halifax",0,5,85,54,6,0,150,306
12005,"Halifax/Halifax"," 84A","Halifax",1,17,67,52,3,2,142,291
12005,"Halifax/Halifax"," 84B","Halifax",1,15,47,24,1,2,90,125
12005,"Halifax/Halifax"," 85","Halifax",1,9,57,37,6,0,110,261
12005,"Halifax/Halifax"," 86","Halifax",0,11,86,84,10,3,194,380
12005,"Halifax/Halifax"," 87A","Halifax",0,13,119,46,11,1,190,467
12005,"Halifax/Halifax"," 87B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,119
12005,"Halifax/Halifax"," 88","Halifax",0,25,124,49,3,0,201,417
12005,"Halifax/Halifax"," 89","Halifax",0,12,98,62,5,1,178,364
12005,"Halifax/Halifax"," 90","Halifax",0,19,81,55,5,1,161,352
12005,"Halifax/Halifax"," 91","Halifax",2,17,95,36,5,0,155,350
12005,"Halifax/Halifax"," 92","Halifax",0,27,94,49,9,0,179,316
12005,"Halifax/Halifax"," 93","Halifax",1,16,132,71,13,1,234,483
12005,"Halifax/Halifax"," 94","Halifax",0,12,75,41,2,0,130,274
12005,"Halifax/Halifax"," 95","Halifax",1,18,80,88,10,0,197,402
12005,"Halifax/Halifax"," 96","Halifax",0,11,112,41,5,1,170,352
12005,"Halifax/Halifax"," 97","Halifax",0,19,125,39,7,0,190,423
12005,"Halifax/Halifax"," 98","Halifax",1,14,180,48,4,2,249,447
12005,"Halifax/Halifax"," 99","Halifax",0,17,134,73,7,3,234,468
12005,"Halifax/Halifax"," 100","Halifax",0,20,145,89,8,2,264,475
12005,"Halifax/Halifax"," 101","Halifax",0,21,134,78,7,2,242,457
12005,"Halifax/Halifax"," 102","Halifax",0,15,129,48,3,1,196,349
12005,"Halifax/Halifax"," 103","Halifax",0,17,138,52,6,1,214,358
12005,"Halifax/Halifax"," 104","Halifax",0,10,68,51,2,0,131,280
12005,"Halifax/Halifax"," 105","Halifax",0,11,78,54,5,2,150,327
12005,"Halifax/Halifax"," 106","Halifax",0,6,98,89,7,3,203,381
12005,"Halifax/Halifax"," 107","Halifax",0,23,89,58,6,1,177,307
12005,"Halifax/Halifax"," 108","Halifax",0,12,62,39,3,0,116,257
12005,"Halifax/Halifax"," 109","Halifax",0,19,132,75,4,0,230,408
12005,"Halifax/Halifax"," 110","Halifax",0,3,87,46,3,0,139,342
12005,"Halifax/Halifax"," 111","Halifax",0,18,129,24,7,1,179,387
12005,"Halifax/Halifax"," 112","Halifax",1,22,110,55,7,0,195,353
12005,"Halifax/Halifax"," 113","Halifax",1,32,168,36,13,0,250,442
12005,"Halifax/Halifax"," 114","Halifax",0,17,102,64,6,0,189,349
12005,"Halifax/Halifax"," 115","Halifax",1,19,106,60,11,1,198,395
12005,"Halifax/Halifax"," 116","Halifax",0,22,63,37,4,3,129,295
12005,"Halifax/Halifax"," 117","Halifax",2,40,139,47,4,1,233,339
12005,"Halifax/Halifax"," 118","Halifax",1,40,137,31,4,1,214,384
12005,"Halifax/Halifax"," 119","Halifax",0,47,151,40,5,0,243,392
12005,"Halifax/Halifax"," 120","Halifax",0,28,148,64,7,0,247,473
12005,"Halifax/Halifax"," 121","Halifax",0,12,124,40,3,0,179,398
12005,"Halifax/Halifax"," 122","Halifax",1,14,90,25,1,0,131,362
12005,"Halifax/Halifax"," 123","Halifax",2,51,164,47,4,1,269,570
12005,"Halifax/Halifax"," 124","Halifax",0,22,129,58,10,0,219,430
12005,"Halifax/Halifax"," 125","Halifax",2,25,109,61,5,1,203,357
12005,"Halifax/Halifax"," 126","Halifax",0,19,145,64,4,1,233,453
12005,"Halifax/Halifax"," 127","Halifax",0,33,134,54,2,0,223,415
12005,"Halifax/Halifax"," 128","Halifax",2,41,117,69,6,0,235,405
12005,"Halifax/Halifax"," 129","Halifax",0,34,101,61,10,0,206,362
12005,"Halifax/Halifax"," 130","Halifax",0,17,88,49,4,1,159,342
12005,"Halifax/Halifax"," 131","Halifax",2,16,99,54,1,0,172,408
12005,"Halifax/Halifax"," 132","Halifax",0,17,137,79,3,0,236,466
12005,"Halifax/Halifax"," 133","Halifax",0,27,119,39,3,3,191,420
12005,"Halifax/Halifax"," 134","Halifax",0,39,121,34,5,1,200,386
12005,"Halifax/Halifax"," 135","Halifax",0,16,122,47,11,0,196,375
12005,"Halifax/Halifax"," 136","Halifax",0,42,119,42,6,1,210,370
12005,"Halifax/Halifax"," 137","Halifax",0,23,116,72,8,0,219,428
12005,"Halifax/Halifax"," 138","Halifax",2,32,133,51,6,1,225,475
12005,"Halifax/Halifax"," 139","Halifax",0,22,191,76,8,3,300,558
12005,"Halifax/Halifax"," 140","Halifax",0,25,156,53,7,1,242,386
12005,"Halifax/Halifax"," 141","Halifax",0,34,144,51,5,3,237,381
12005,"Halifax/Halifax"," 142","Halifax",0,26,76,31,5,1,139,315
12005,"Halifax/Halifax"," 143","Halifax",1,29,111,47,9,3,200,389
12005,"Halifax/Halifax"," 144","Halifax",1,5,127,67,5,1,206,393
12005,"Halifax/Halifax"," 145","Halifax",0,14,109,53,5,1,182,371
12005,"Halifax/Halifax"," 146","Halifax",0,14,99,36,1,0,150,259
12005,"Halifax/Halifax"," 147","Halifax",2,12,86,45,3,0,148,353
12005,"Halifax/Halifax"," 148","Halifax",0,15,77,37,4,1,134,283
12005,"Halifax/Halifax"," 149","Halifax",0,20,111,83,10,0,224,376
12005,"Halifax/Halifax"," 150","Halifax",0,30,147,58,9,0,244,455
12005,"Halifax/Halifax"," 151","Halifax",0,17,170,71,10,3,271,475
12005,"Halifax/Halifax"," 152","Halifax",1,20,100,61,9,16,207,442
12005,"Halifax/Halifax"," 153","Halifax",1,17,140,71,11,1,241,483
12005,"Halifax/Halifax"," 154","Halifax",2,19,100,54,5,2,182,462
12005,"Halifax/Halifax"," 155","Halifax",2,11,67,54,2,0,136,387
12005,"Halifax/Halifax"," 156","Halifax",2,10,95,42,6,1,156,416
12005,"Halifax/Halifax"," 157","Halifax",0,9,88,53,1,1,152,463
12005,"Halifax/Halifax"," 158","Halifax",0,10,90,42,4,0,146,283
12005,"Halifax/Halifax"," 159","Halifax",1,16,92,36,2,0,147,325
12005,"Halifax/Halifax"," 160","Halifax",1,19,87,44,3,3,157,470
12005,"Halifax/Halifax"," 161","Halifax",0,12,146,47,5,1,211,408
12005,"Halifax/Halifax"," 162","Halifax",0,21,140,44,9,3,217,385
12005,"Halifax/Halifax"," 163","Halifax",0,34,120,41,5,0,200,392
12005,"Halifax/Halifax"," 164","Halifax",1,11,49,46,3,0,110,276
12005,"Halifax/Halifax"," 165","Halifax",0,16,103,40,10,0,169,342
12005,"Halifax/Halifax"," 166","Halifax",2,19,87,50,6,1,165,388
12005,"Halifax/Halifax"," 167A","Harrietsfield",0,22,91,40,3,0,156,343
12005,"Halifax/Halifax"," 167B","Harrietsfield",1,30,84,33,4,0,152,355
12005,"Halifax/Halifax"," 168","Harrietsfield",Void/Supprimé,,,,,,,
12005,"Halifax/Halifax"," 169","Goodwood",0,20,90,40,5,1,156,317
12005,"Halifax/Halifax"," 170","Harrietsfield",2,30,88,47,5,1,173,333
12005,"Halifax/Halifax"," 171","Halifax",0,19,91,55,9,1,175,308
12005,"Halifax/Halifax"," 172","Williamswood",0,23,97,48,3,2,173,335
12005,"Halifax/Halifax"," 173","Portuguese Cove",0,12,107,45,6,0,170,266
12005,"Halifax/Halifax"," 174","Ketch Harbour",0,16,135,94,4,0,249,419
12005,"Halifax/Halifax"," 175","Sambro",1,19,98,42,8,0,168,284
12005,"Halifax/Halifax"," 176","East Pennant",1,23,73,61,9,0,167,298
12005,"Halifax/Halifax"," 177","East Pennant",0,12,73,43,4,0,132,226
12005,"Halifax/Halifax"," 178","Halifax",0,22,134,193,9,0,358,637
12005,"Halifax/Halifax"," 179","Halifax",5,26,100,93,4,0,228,474
12005,"Halifax/Halifax"," 400","Halifax",0,1,58,27,9,0,95,191
12005,"Halifax/Halifax"," 401","Halifax",0,17,34,30,5,2,88,122
12005,"Halifax/Halifax"," 402","Halifax",3,13,52,65,6,2,141,208
12005,"Halifax/Halifax"," 403","Halifax",0,2,61,49,2,2,116,151
12005,"Halifax/Halifax"," 404","Halifax",0,17,55,31,3,1,107,152
12005,"Halifax/Halifax"," 405","Halifax",0,6,36,20,2,0,64,138
12005,"Halifax/Halifax"," 406","Halifax",0,11,97,43,2,2,155,259
12005,"Halifax/Halifax"," 407","Halifax",1,14,54,29,6,0,104,131
12005,"Halifax/Halifax"," 408","Halifax",0,6,79,35,9,3,132,179
12005,"Halifax/Halifax"," 409","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,192
12005,"Halifax/Halifax"," 410","Halifax",0,4,71,26,4,0,105,157
