Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvain Chicoine,Jency Mercier,Brenda Shanahan,Sophie Stanké,Philippe St-Pierre,Linda Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 1","Châteauguay",27,4,81,58,12,0,4,186,410
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 2","Châteauguay",52,3,71,72,7,1,2,208,373
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 3","Châteauguay",51,2,123,36,31,0,0,243,431
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 4","Châteauguay",40,4,128,48,25,0,0,245,418
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 5","Châteauguay",35,2,103,35,28,0,3,206,375
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 6","Châteauguay",49,3,113,64,17,0,4,250,412
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 7","Châteauguay",42,6,112,32,17,1,4,214,407
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 8","Châteauguay",56,3,112,46,21,1,2,241,437
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 9","Châteauguay",33,2,122,25,18,1,2,203,382
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 10","Châteauguay",47,3,101,37,28,1,1,218,424
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 11","Châteauguay",54,4,143,37,31,2,1,272,475
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 12","Châteauguay",35,5,132,19,16,1,2,210,362
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 13","Châteauguay",39,3,112,38,20,0,1,213,413
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 14","Châteauguay",50,10,127,43,26,0,1,257,456
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 15","Châteauguay",55,5,162,39,25,0,11,297,486
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 16","Châteauguay",38,9,96,41,20,0,2,206,361
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 17","Châteauguay",57,4,93,55,18,1,3,231,445
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 18","Châteauguay",51,3,91,24,13,1,0,183,336
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 19","Châteauguay",31,8,125,30,24,0,1,219,378
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 20","Châteauguay",16,1,51,13,3,1,1,86,234
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 21","Châteauguay",42,5,89,36,16,0,1,189,383
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 22","Châteauguay",30,6,137,46,15,0,3,237,452
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 23","Châteauguay",48,2,115,32,26,1,1,225,394
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 24","Châteauguay",55,4,114,38,16,1,3,231,432
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 25","Châteauguay",33,1,90,42,20,1,3,190,465
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 26","Châteauguay",38,2,70,29,18,2,1,160,307
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 27","Châteauguay",29,4,102,36,21,0,4,196,340
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 28","Châteauguay",27,3,55,44,10,0,1,140,349
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 29","Châteauguay",33,1,114,33,21,0,4,206,380
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 30","Châteauguay",25,6,66,20,14,0,1,132,366
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 31","Châteauguay",16,2,99,47,14,1,2,181,379
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 32","Châteauguay",36,3,83,36,16,1,7,182,462
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 33","Châteauguay",37,0,87,34,17,0,2,177,394
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 34","Châteauguay",37,3,58,32,18,0,0,148,314
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 35","Châteauguay",39,2,95,64,20,1,1,222,384
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 36","Châteauguay",34,3,59,46,25,0,5,172,349
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 37","Châteauguay",62,11,186,77,35,0,10,381,750
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 38","Châteauguay",48,4,74,28,13,2,5,174,366
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 39","Châteauguay",38,2,83,40,21,0,3,187,385
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 40","Châteauguay",44,4,128,36,42,2,6,262,437
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 41","Châteauguay",50,4,145,37,27,1,1,265,455
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 42","Châteauguay",37,2,125,49,35,2,4,254,443
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 43","Châteauguay",65,7,142,55,42,1,5,317,479
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 44","Châteauguay",54,3,146,49,35,0,2,289,522
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 45","Châteauguay",44,3,81,43,20,0,1,192,364
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 46","Mercier",72,6,72,59,22,1,6,238,433
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 47","Châteauguay",48,3,95,35,14,0,2,197,381
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 48","Châteauguay",47,5,88,45,29,1,2,217,391
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 49","Châteauguay",57,4,92,39,23,1,2,218,422
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 50","Châteauguay",24,5,81,25,30,2,1,168,346
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 51","Châteauguay",55,7,130,49,25,0,5,271,499
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 52","Châteauguay",54,7,119,53,27,1,5,266,430
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 53","Châteauguay",44,4,120,40,22,0,3,233,400
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 54","Châteauguay",72,4,139,60,32,0,2,309,504
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 55","Châteauguay",68,10,106,59,24,0,1,268,438
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 56","Châteauguay",51,3,127,53,24,0,2,260,502
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 57","Châteauguay",48,3,111,64,34,0,0,260,454
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 58","Châteauguay",56,5,101,47,22,1,4,236,422
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 59","Châteauguay",68,4,144,64,28,0,3,311,522
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 60","Châteauguay",43,3,149,52,33,1,5,286,451
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 61","Châteauguay",54,6,107,30,28,2,4,231,381
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 62","Châteauguay",58,5,99,47,25,0,3,237,428
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 63","Châteauguay",44,2,91,40,8,1,2,188,364
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 64","Châteauguay",32,5,90,35,12,0,2,176,403
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 65A","Châteauguay",53,2,132,57,15,0,4,263,531
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 65B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,,,55
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 66","Châteauguay",37,4,110,27,25,4,5,212,406
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 67","St. Isidore",37,1,30,49,17,0,4,138,284
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 68","St. Isidore",45,3,61,48,12,0,8,177,354
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 69","St. Isidore",47,8,48,56,14,1,2,176,359
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 70","St. Isidore",52,9,47,68,16,0,5,197,348
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 71","St. Isidore",73,3,53,67,19,3,1,219,361
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 72","St. Isidore",57,8,74,63,15,1,6,224,370
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 73","Mercier",52,5,53,75,28,1,5,219,357
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 74","Mercier",86,5,120,90,53,1,7,362,610
