Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lisa Abbott,Sheri Benson,Randy Donauer,Bronek Hart,Lois Carol Mitchell,Jim Pankiw,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Saskatoon West/Saskatoon-Ouest"," 1","Saskatoon",60,78,88,2,4,0,1,233,546
47012,"Saskatoon West/Saskatoon-Ouest"," 2","Saskatoon",68,95,120,2,1,0,0,286,594
47012,"Saskatoon West/Saskatoon-Ouest"," 3","Saskatoon",84,95,132,0,8,1,1,321,664
47012,"Saskatoon West/Saskatoon-Ouest"," 4A","Saskatoon",59,61,87,0,3,1,2,213,383
47012,"Saskatoon West/Saskatoon-Ouest"," 4B","Saskatoon",64,57,87,0,2,0,0,210,410
47012,"Saskatoon West/Saskatoon-Ouest"," 5","Saskatoon",51,64,47,1,5,1,0,169,402
47012,"Saskatoon West/Saskatoon-Ouest"," 6","Saskatoon",104,104,130,0,4,6,1,349,610
47012,"Saskatoon West/Saskatoon-Ouest"," 7","Saskatoon",88,95,147,1,4,2,0,337,556
47012,"Saskatoon West/Saskatoon-Ouest"," 8","Saskatoon",65,80,123,3,5,2,0,278,452
47012,"Saskatoon West/Saskatoon-Ouest"," 9","Saskatoon",59,75,103,5,1,3,0,246,424
47012,"Saskatoon West/Saskatoon-Ouest"," 10","Saskatoon",58,55,139,2,4,4,0,262,431
47012,"Saskatoon West/Saskatoon-Ouest"," 11","Saskatoon",49,70,74,3,5,2,2,205,379
47012,"Saskatoon West/Saskatoon-Ouest"," 12","Saskatoon",54,78,84,2,5,3,0,226,422
47012,"Saskatoon West/Saskatoon-Ouest"," 13","Saskatoon",85,62,93,2,1,3,0,246,472
47012,"Saskatoon West/Saskatoon-Ouest"," 14","Saskatoon",58,82,100,1,3,0,0,244,426
47012,"Saskatoon West/Saskatoon-Ouest"," 15","Saskatoon",42,41,95,2,1,3,3,187,352
47012,"Saskatoon West/Saskatoon-Ouest"," 16","Saskatoon",54,92,92,4,8,3,0,253,439
47012,"Saskatoon West/Saskatoon-Ouest"," 17","Saskatoon",62,88,39,2,4,0,0,195,389
47012,"Saskatoon West/Saskatoon-Ouest"," 18","Saskatoon",48,86,83,3,1,1,2,224,444
47012,"Saskatoon West/Saskatoon-Ouest"," 19","Saskatoon",34,59,91,3,3,0,0,190,341
47012,"Saskatoon West/Saskatoon-Ouest"," 20","Saskatoon",77,58,92,1,4,2,0,234,397
47012,"Saskatoon West/Saskatoon-Ouest"," 21","Saskatoon",51,86,55,1,2,1,1,197,456
47012,"Saskatoon West/Saskatoon-Ouest"," 22","Saskatoon",42,76,89,1,1,2,1,212,390
47012,"Saskatoon West/Saskatoon-Ouest"," 23","Saskatoon",51,102,55,2,4,0,0,214,393
47012,"Saskatoon West/Saskatoon-Ouest"," 24","Saskatoon",46,81,86,2,3,0,0,218,397
47012,"Saskatoon West/Saskatoon-Ouest"," 25","Saskatoon",51,78,49,2,2,2,3,187,444
