Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elaine Allan,Constance Barnes,Lisa Barrett,John Clarke,Hedy Fry,Michael Hill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59034,"Vancouver Centre/Vancouver-Centre"," 1","Vancouver",42,29,13,1,101,0,0,186,430
59034,"Vancouver Centre/Vancouver-Centre"," 2","Vancouver",29,53,23,1,117,1,0,224,500
59034,"Vancouver Centre/Vancouver-Centre"," 3","Vancouver",45,42,17,3,108,0,0,215,429
59034,"Vancouver Centre/Vancouver-Centre"," 4","Vancouver",16,40,19,1,109,0,0,185,410
59034,"Vancouver Centre/Vancouver-Centre"," 5","Vancouver",42,70,23,2,152,1,1,291,374
59034,"Vancouver Centre/Vancouver-Centre"," 6","Vancouver",15,40,18,1,117,1,1,193,436
59034,"Vancouver Centre/Vancouver-Centre"," 7","Vancouver",25,37,14,0,116,0,1,193,420
59034,"Vancouver Centre/Vancouver-Centre"," 8","Vancouver",47,31,30,0,141,1,1,251,528
59034,"Vancouver Centre/Vancouver-Centre"," 9","Vancouver",42,81,24,3,156,0,1,307,586
59034,"Vancouver Centre/Vancouver-Centre"," 10","Vancouver",27,55,22,4,103,0,1,212,431
59034,"Vancouver Centre/Vancouver-Centre"," 11","Vancouver",15,43,13,1,116,0,0,188,368
59034,"Vancouver Centre/Vancouver-Centre"," 12","Vancouver",37,45,11,1,104,0,1,199,377
59034,"Vancouver Centre/Vancouver-Centre"," 13","Vancouver",23,45,15,3,127,0,0,213,442
59034,"Vancouver Centre/Vancouver-Centre"," 14","Vancouver",36,52,14,6,143,0,2,253,507
59034,"Vancouver Centre/Vancouver-Centre"," 15","Vancouver",26,33,27,3,113,0,0,202,358
59034,"Vancouver Centre/Vancouver-Centre"," 16","Vancouver",28,38,16,0,133,0,0,215,474
59034,"Vancouver Centre/Vancouver-Centre"," 17","Vancouver",23,19,11,0,80,0,1,134,286
59034,"Vancouver Centre/Vancouver-Centre"," 18","Vancouver",16,64,17,1,97,0,0,195,397
59034,"Vancouver Centre/Vancouver-Centre"," 19","Vancouver",30,68,25,4,154,2,2,285,543
59034,"Vancouver Centre/Vancouver-Centre"," 20","Vancouver",Merged with No./Fusionné avec le n°5,,,,,,,,293
59034,"Vancouver Centre/Vancouver-Centre"," 21","Vancouver",28,37,22,2,111,0,0,200,359
59034,"Vancouver Centre/Vancouver-Centre"," 22","Vancouver",14,50,14,1,96,0,0,175,363
59034,"Vancouver Centre/Vancouver-Centre"," 23","Vancouver",23,46,18,2,120,0,0,209,421
59034,"Vancouver Centre/Vancouver-Centre"," 24","Vancouver",39,30,12,3,94,0,0,178,439
59034,"Vancouver Centre/Vancouver-Centre"," 25","Vancouver",21,37,18,3,84,0,1,164,345
59034,"Vancouver Centre/Vancouver-Centre"," 26","Vancouver",36,69,10,1,104,1,1,222,435
59034,"Vancouver Centre/Vancouver-Centre"," 27","Vancouver",18,66,12,0,106,1,1,204,388
59034,"Vancouver Centre/Vancouver-Centre"," 28","Vancouver",20,63,18,1,122,2,0,226,432
