Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joanne Hussey,Michael McGinnis,Geoff Regan,Richard Henryk Zurawski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Halifax West/Halifax-Ouest"," 1","Lucasville",21,43,149,9,0,222,366
12006,"Halifax West/Halifax-Ouest"," 1-1","Lucasville",24,40,144,8,0,216,366
12006,"Halifax West/Halifax-Ouest"," 2","Lucasville",28,34,121,6,0,189,409
12006,"Halifax West/Halifax-Ouest"," 3","White Hills",20,51,104,9,0,184,372
12006,"Halifax West/Halifax-Ouest"," 4","Glen Arbour",12,38,112,4,1,167,335
12006,"Halifax West/Halifax-Ouest"," 5","Pockwock",8,41,100,1,1,151,341
12006,"Halifax West/Halifax-Ouest"," 5-1","Pockwock",19,16,94,7,0,136,323
12006,"Halifax West/Halifax-Ouest"," 6A","English Corner",15,27,80,8,0,130,299
12006,"Halifax West/Halifax-Ouest"," 6B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,57
12006,"Halifax West/Halifax-Ouest"," 7","English Corner",15,31,137,11,0,194,412
12006,"Halifax West/Halifax-Ouest"," 8","Glen Arbour",1,33,62,2,0,98,258
12006,"Halifax West/Halifax-Ouest"," 9","English Corner",17,27,110,8,0,162,316
12006,"Halifax West/Halifax-Ouest"," 10","Hammond Plains",12,37,95,1,0,145,340
12006,"Halifax West/Halifax-Ouest"," 10-1","Hammond Plains",3,31,58,4,0,96,248
12006,"Halifax West/Halifax-Ouest"," 11","Kingswood",24,40,153,7,0,224,400
12006,"Halifax West/Halifax-Ouest"," 12","Hammond Plains",13,41,104,6,2,166,372
12006,"Halifax West/Halifax-Ouest"," 13","Kingswood",16,27,118,9,0,170,350
12006,"Halifax West/Halifax-Ouest"," 14A","Kingswood",6,20,82,8,0,116,234
12006,"Halifax West/Halifax-Ouest"," 14B","Kingswood",9,23,66,0,0,98,217
12006,"Halifax West/Halifax-Ouest"," 15","Kingswood",6,22,57,4,0,89,180
12006,"Halifax West/Halifax-Ouest"," 16A","Sandy Lake",15,21,86,5,1,128,256
12006,"Halifax West/Halifax-Ouest"," 16B","Sandy Lake",9,15,74,4,0,102,201
12006,"Halifax West/Halifax-Ouest"," 17A","Kingswood",4,12,85,4,0,105,219
12006,"Halifax West/Halifax-Ouest"," 17B","Kingswood",5,20,62,1,0,88,193
12006,"Halifax West/Halifax-Ouest"," 18A","Sandy Lake",11,27,86,1,0,125,246
12006,"Halifax West/Halifax-Ouest"," 18B","Sandy Lake",8,39,70,3,0,120,224
12006,"Halifax West/Halifax-Ouest"," 19A","Sandy Lake",11,24,113,7,0,155,301
12006,"Halifax West/Halifax-Ouest"," 19B","Sandy Lake",10,42,134,6,0,192,321
12006,"Halifax West/Halifax-Ouest"," 19-1A","Halifax",5,21,94,5,0,125,230
12006,"Halifax West/Halifax-Ouest"," 19-1B","Halifax",9,27,107,9,0,152,240
12006,"Halifax West/Halifax-Ouest"," 20A","Bedford",10,8,69,5,0,92,241
12006,"Halifax West/Halifax-Ouest"," 20B","Bedford",17,14,68,4,0,103,215
12006,"Halifax West/Halifax-Ouest"," 21","Bedford",7,43,133,15,0,198,368
12006,"Halifax West/Halifax-Ouest"," 22","Bedford",18,22,137,9,1,187,433
12006,"Halifax West/Halifax-Ouest"," 23","Bedford",17,25,124,12,2,180,378
12006,"Halifax West/Halifax-Ouest"," 24","Bedford",5,21,115,6,2,149,318
12006,"Halifax West/Halifax-Ouest"," 25","Bedford",3,35,104,2,0,144,299
12006,"Halifax West/Halifax-Ouest"," 26","Bedford",7,21,113,11,0,152,325
12006,"Halifax West/Halifax-Ouest"," 27","Bedford",14,23,143,9,1,190,358
12006,"Halifax West/Halifax-Ouest"," 28A","Bedford",6,24,86,4,0,120,274
12006,"Halifax West/Halifax-Ouest"," 28B","Bedford",4,26,90,7,1,128,246
12006,"Halifax West/Halifax-Ouest"," 29A","Bedford",10,16,96,3,0,125,258
12006,"Halifax West/Halifax-Ouest"," 29B","Bedford",10,22,80,5,0,117,243
12006,"Halifax West/Halifax-Ouest"," 30","Bedford",8,18,91,3,0,120,289
12006,"Halifax West/Halifax-Ouest"," 31","Bedford",9,33,155,10,0,207,388
12006,"Halifax West/Halifax-Ouest"," 32A","Bedford",10,16,79,7,0,112,200
12006,"Halifax West/Halifax-Ouest"," 32B","Bedford",2,15,74,4,2,97,209
12006,"Halifax West/Halifax-Ouest"," 33","Bedford",15,13,106,5,1,140,309
12006,"Halifax West/Halifax-Ouest"," 33-1","Halifax",24,17,121,4,0,166,347
12006,"Halifax West/Halifax-Ouest"," 34","Bedford",15,12,119,11,0,157,358
12006,"Halifax West/Halifax-Ouest"," 35","Bedford",15,36,130,13,0,194,396
