Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ed Fast,Stephen Fowler,David MacKay,Jen Martel,Peter Njenga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford/Abbotsford"," 67","Abbotsford",108,15,0,39,83,0,245,455
59001,"Abbotsford/Abbotsford"," 68","Abbotsford",143,19,0,31,65,0,258,419
59001,"Abbotsford/Abbotsford"," 69","Abbotsford",120,22,0,36,76,0,254,469
59001,"Abbotsford/Abbotsford"," 70","Abbotsford",166,10,0,14,76,0,266,512
59001,"Abbotsford/Abbotsford"," 71","Abbotsford",176,11,0,19,82,2,290,483
59001,"Abbotsford/Abbotsford"," 72","Abbotsford",99,22,0,43,73,1,238,380
59001,"Abbotsford/Abbotsford"," 73","Abbotsford",59,11,0,28,78,1,177,392
59001,"Abbotsford/Abbotsford"," 74","Abbotsford",98,23,1,50,93,0,265,526
59001,"Abbotsford/Abbotsford"," 75","Abbotsford",133,15,0,36,72,1,257,442
59001,"Abbotsford/Abbotsford"," 76","Abbotsford",109,18,0,32,97,0,256,443
59001,"Abbotsford/Abbotsford"," 77","Abbotsford",110,6,0,29,49,0,194,335
59001,"Abbotsford/Abbotsford"," 78","Abbotsford",79,8,0,22,47,1,157,330
59001,"Abbotsford/Abbotsford"," 79","Abbotsford",87,18,4,44,81,0,234,448
59001,"Abbotsford/Abbotsford"," 80","Abbotsford",94,19,0,29,68,0,210,394
59001,"Abbotsford/Abbotsford"," 81","Abbotsford",83,29,0,41,86,1,240,397
59001,"Abbotsford/Abbotsford"," 82","Abbotsford",88,10,0,63,80,0,241,415
59001,"Abbotsford/Abbotsford"," 83","Abbotsford",67,21,0,46,68,0,202,406
59001,"Abbotsford/Abbotsford"," 84","Abbotsford",65,11,0,26,51,0,153,342
59001,"Abbotsford/Abbotsford"," 85","Abbotsford",102,17,0,31,81,0,231,500
59001,"Abbotsford/Abbotsford"," 86","Abbotsford",117,5,0,34,52,0,208,409
59001,"Abbotsford/Abbotsford"," 87","Abbotsford",87,12,1,49,90,1,240,497
59001,"Abbotsford/Abbotsford"," 88","Abbotsford",60,21,1,36,79,0,197,456
59001,"Abbotsford/Abbotsford"," 89","Abbotsford",79,10,0,26,39,2,156,295
59001,"Abbotsford/Abbotsford"," 90","Abbotsford",34,6,0,24,88,2,154,337
59001,"Abbotsford/Abbotsford"," 91","Abbotsford",132,16,1,12,77,0,238,493
59001,"Abbotsford/Abbotsford"," 92","Abbotsford",107,5,0,16,26,0,154,329
59001,"Abbotsford/Abbotsford"," 93","Abbotsford",58,8,0,14,45,0,125,293
59001,"Abbotsford/Abbotsford"," 94","Abbotsford",64,6,0,24,62,0,156,330
59001,"Abbotsford/Abbotsford"," 95","Abbotsford",74,13,0,18,56,1,162,380
59001,"Abbotsford/Abbotsford"," 96","Abbotsford",61,7,0,19,92,4,183,402
59001,"Abbotsford/Abbotsford"," 97","Abbotsford",56,5,0,28,65,1,155,334
59001,"Abbotsford/Abbotsford"," 98","Abbotsford",76,5,1,24,59,0,165,404
59001,"Abbotsford/Abbotsford"," 99","Abbotsford",89,8,0,25,80,0,202,424
59001,"Abbotsford/Abbotsford"," 100","Abbotsford",86,6,0,18,77,0,187,407
59001,"Abbotsford/Abbotsford"," 101","Abbotsford",86,9,2,30,79,1,207,423
59001,"Abbotsford/Abbotsford"," 102","Abbotsford",85,18,1,32,82,1,219,407
59001,"Abbotsford/Abbotsford"," 103","Abbotsford",111,9,0,48,73,1,242,482
59001,"Abbotsford/Abbotsford"," 104","Abbotsford",107,7,1,29,88,1,233,455
59001,"Abbotsford/Abbotsford"," 105","Abbotsford",76,14,0,31,76,4,201,441
59001,"Abbotsford/Abbotsford"," 106","Abbotsford",94,17,1,29,76,1,218,401
59001,"Abbotsford/Abbotsford"," 107","Abbotsford",63,3,1,31,109,1,208,466
59001,"Abbotsford/Abbotsford"," 108","Abbotsford",78,10,0,32,88,0,208,386
59001,"Abbotsford/Abbotsford"," 109","Abbotsford",110,17,0,45,58,0,230,426
59001,"Abbotsford/Abbotsford"," 110","Abbotsford",58,2,1,19,51,0,131,283
59001,"Abbotsford/Abbotsford"," 111","Abbotsford",102,11,0,49,72,1,235,547
59001,"Abbotsford/Abbotsford"," 112","Abbotsford",92,8,0,21,54,1,176,349
59001,"Abbotsford/Abbotsford"," 113A","Abbotsford",74,9,0,18,61,0,162,355
59001,"Abbotsford/Abbotsford"," 113B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,61
59001,"Abbotsford/Abbotsford"," 114","Abbotsford",54,7,0,33,69,1,164,334
59001,"Abbotsford/Abbotsford"," 115","Abbotsford",70,8,1,37,58,0,174,318
59001,"Abbotsford/Abbotsford"," 116","Abbotsford",89,12,3,16,79,0,199,359
59001,"Abbotsford/Abbotsford"," 117","Abbotsford",77,11,0,15,130,5,238,404
59001,"Abbotsford/Abbotsford"," 118","Abbotsford",88,19,0,38,107,1,253,408
59001,"Abbotsford/Abbotsford"," 119","Abbotsford",124,3,2,13,75,0,217,377
59001,"Abbotsford/Abbotsford"," 120","Abbotsford",88,7,0,16,93,0,204,430
59001,"Abbotsford/Abbotsford"," 121","Abbotsford",57,4,0,38,90,0,189,454
59001,"Abbotsford/Abbotsford"," 122","Abbotsford",39,12,0,36,59,1,147,322
59001,"Abbotsford/Abbotsford"," 123","Abbotsford",54,7,0,40,68,0,169,397
59001,"Abbotsford/Abbotsford"," 124","Abbotsford",60,20,0,34,51,0,165,391
59001,"Abbotsford/Abbotsford"," 125","Abbotsford",57,4,1,27,77,2,168,413
59001,"Abbotsford/Abbotsford"," 126","Abbotsford",85,15,0,17,73,1,191,383
59001,"Abbotsford/Abbotsford"," 127","Abbotsford",39,6,0,17,115,1,178,396
59001,"Abbotsford/Abbotsford"," 128","Abbotsford",99,6,0,25,43,1,174,376
59001,"Abbotsford/Abbotsford"," 129","Abbotsford",107,16,2,37,81,0,243,438
59001,"Abbotsford/Abbotsford"," 130","Abbotsford",57,6,0,32,97,0,192,446
59001,"Abbotsford/Abbotsford"," 131","Abbotsford",88,10,0,19,75,2,194,355
59001,"Abbotsford/Abbotsford"," 132","Abbotsford",96,16,0,37,85,0,234,427
59001,"Abbotsford/Abbotsford"," 133","Abbotsford",112,11,0,51,106,0,280,486
59001,"Abbotsford/Abbotsford"," 134","Abbotsford",132,11,0,23,50,0,216,385
59001,"Abbotsford/Abbotsford"," 135","Abbotsford",110,11,0,25,72,0,218,377
59001,"Abbotsford/Abbotsford"," 136","Abbotsford",151,13,0,38,102,0,304,525
59001,"Abbotsford/Abbotsford"," 137","Abbotsford",120,12,0,22,62,0,216,407
59001,"Abbotsford/Abbotsford"," 138","Abbotsford",144,6,0,14,69,0,233,444
59001,"Abbotsford/Abbotsford"," 139","Abbotsford",106,11,2,30,85,1,235,491
59001,"Abbotsford/Abbotsford"," 140","Abbotsford",115,9,0,28,79,1,232,396
59001,"Abbotsford/Abbotsford"," 141A","Abbotsford",116,10,0,34,58,0,218,371
59001,"Abbotsford/Abbotsford"," 141B","Abbotsford",102,9,1,25,60,0,197,363
59001,"Abbotsford/Abbotsford"," 142","Abbotsford",91,8,1,34,90,0,224,403
59001,"Abbotsford/Abbotsford"," 143","Abbotsford",105,25,0,55,117,0,302,508
59001,"Abbotsford/Abbotsford"," 144","Abbotsford",99,8,0,32,58,1,198,312
59001,"Abbotsford/Abbotsford"," 145","Abbotsford",108,6,0,21,70,1,206,389
59001,"Abbotsford/Abbotsford"," 146","Abbotsford",124,18,0,22,78,0,242,423
59001,"Abbotsford/Abbotsford"," 147","Abbotsford",99,7,0,22,47,0,175,338
59001,"Abbotsford/Abbotsford"," 148","Abbotsford",108,9,0,23,64,0,204,414
59001,"Abbotsford/Abbotsford"," 149","Abbotsford",154,7,0,27,68,2,258,442
59001,"Abbotsford/Abbotsford"," 150","Abbotsford",128,9,0,27,96,0,260,549
59001,"Abbotsford/Abbotsford"," 151","Abbotsford",139,14,1,55,82,1,292,491
59001,"Abbotsford/Abbotsford"," 152","Abbotsford",99,7,0,17,54,0,177,308
59001,"Abbotsford/Abbotsford"," 153","Abbotsford",128,8,0,31,97,3,267,514
59001,"Abbotsford/Abbotsford"," 154","Abbotsford",147,12,2,18,98,2,279,484
59001,"Abbotsford/Abbotsford"," 155","Abbotsford",176,15,1,25,74,2,293,454
59001,"Abbotsford/Abbotsford"," 156","Abbotsford",159,21,1,29,82,0,292,473
59001,"Abbotsford/Abbotsford"," 157","Abbotsford",242,17,0,12,77,0,348,486
59001,"Abbotsford/Abbotsford"," 158","Abbotsford",129,8,0,12,75,0,224,362
59001,"Abbotsford/Abbotsford"," 159","Abbotsford",131,9,1,4,56,1,202,339
59001,"Abbotsford/Abbotsford"," 160","Abbotsford",133,10,0,21,68,1,233,360
59001,"Abbotsford/Abbotsford"," 400","Abbotsford",175,3,1,12,34,0,225,286
59001,"Abbotsford/Abbotsford"," 500","Mobile poll/Bureau itinérant",72,8,0,11,13,0,104,117
59001,"Abbotsford/Abbotsford"," 501","Mobile poll/Bureau itinérant",127,5,1,5,10,2,150,204
59001,"Abbotsford/Abbotsford"," 502A","Mobile poll/Bureau itinérant",55,9,3,8,16,3,94,75
59001,"Abbotsford/Abbotsford"," 502B","Abbotsford",Merged with No./Fusionné avec le n°93,,,,,,,14
59001,"Abbotsford/Abbotsford"," 502C","Abbotsford",Merged with No./Fusionné avec le n°158,,,,,,,27
59001,"Abbotsford/Abbotsford"," 503","Mobile poll/Bureau itinérant",103,1,2,9,24,1,140,172
59001,"Abbotsford/Abbotsford"," 504","Mobile poll/Bureau itinérant",45,4,0,8,20,1,78,177
59001,"Abbotsford/Abbotsford"," 505","Mobile poll/Bureau itinérant",67,2,0,10,22,3,104,129
59001,"Abbotsford/Abbotsford"," 506","Mobile poll/Bureau itinérant",84,5,0,3,10,1,103,134
59001,"Abbotsford/Abbotsford"," 600","Abbotsford",338,38,5,126,558,9,1074,
59001,"Abbotsford/Abbotsford"," 601","Abbotsford",551,41,1,159,343,5,1100,
59001,"Abbotsford/Abbotsford"," 602","Abbotsford",421,44,2,180,252,10,909,
59001,"Abbotsford/Abbotsford"," 603","Abbotsford",474,42,3,144,238,7,908,
59001,"Abbotsford/Abbotsford"," 604","Abbotsford",482,51,6,156,253,1,949,
59001,"Abbotsford/Abbotsford"," 605","Abbotsford",420,34,4,150,376,5,989,
59001,"Abbotsford/Abbotsford"," 606","Abbotsford",359,40,2,120,168,0,689,
59001,"Abbotsford/Abbotsford"," 607","Abbotsford",461,44,1,127,215,3,851,
59001,"Abbotsford/Abbotsford"," 608","Abbotsford",480,46,0,93,209,0,828,
59001,"Abbotsford/Abbotsford"," 609","Abbotsford",553,42,1,145,258,4,1003,
59001,"Abbotsford/Abbotsford"," 610","Abbotsford",460,38,2,104,164,1,769,
59001,"Abbotsford/Abbotsford",,"Group 1/Groupe 1",29,3,0,25,75,5,137,117
59001,"Abbotsford/Abbotsford",,"Group 2/Groupe 2",634,63,6,185,249,18,1155,
