Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ram Faerber,Marty Lancaster,Alex Nuttall,Darren Roskam,Brian Tamblyn,Ellen White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 1","Oro-Medonte",3,19,98,1,77,21,0,219,365
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 2","Oro-Medonte",0,9,109,2,78,25,1,224,381
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 3","Oro-Medonte",2,11,71,0,46,15,1,146,271
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 4","Oro-Medonte",1,14,114,1,70,12,0,212,384
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 5","Oro-Medonte",1,14,68,2,101,23,1,210,402
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 6","Springwater",0,11,42,0,48,13,1,115,285
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 7","Springwater",1,2,59,3,53,19,0,137,311
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 8","Springwater",0,6,68,0,77,24,1,176,297
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 9","Springwater",0,6,86,0,66,19,0,177,298
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 10","Oro-Medonte",0,10,57,0,47,15,1,130,255
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 11","Oro-Medonte",0,8,50,1,40,10,1,110,271
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 12","Oro-Medonte",0,19,97,3,109,20,0,248,466
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 13","Oro-Medonte",1,14,98,1,58,18,1,191,437
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 14","Oro-Medonte",1,21,68,2,139,20,1,252,442
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 15","Oro-Medonte",1,8,65,1,52,8,0,135,281
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 16","Oro-Medonte",0,21,75,0,65,7,0,168,330
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 17","Oro-Medonte",0,4,66,1,80,11,1,163,292
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 18","Oro-Medonte",1,9,108,1,91,10,0,220,376
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 19","Oro-Medonte",0,11,74,1,70,11,0,167,338
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 20","Oro-Medonte",0,11,94,2,57,8,0,172,376
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 21","Oro-Medonte",0,3,67,2,85,15,0,172,347
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 22","Oro-Medonte",2,9,68,1,47,12,0,139,302
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 23","Oro-Medonte",1,9,85,0,52,14,0,161,320
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 24","Oro-Medonte",0,7,110,3,67,18,0,205,396
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 25","Oro-Medonte",1,19,99,1,83,17,0,220,450
