Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ryan Barry,Richard Biggar,Trevor Bruhm,Richard Clark,Alex Godbold,Bernadette Jordan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 1","Stillwater Lake",0,11,1,57,33,159,1,262,454
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 2","Stillwater Lake",0,4,0,66,33,164,2,269,427
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 3","Tantallon North",1,6,0,45,44,168,0,264,423
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 4","Upper Tantallon",0,1,0,38,18,101,0,158,261
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 5","Masons Point",0,5,2,32,41,87,0,167,349
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 6","Allen Heights",0,6,0,30,22,104,0,162,342
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 7","Masons Point",0,2,2,30,40,97,1,172,315
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 8","Black Point",0,9,1,16,35,115,1,177,301
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 9","Black Point",1,10,0,28,35,124,0,198,344
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 10","Boutiliers Point",0,5,0,22,55,136,0,218,364
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 11","Boutiliers Point",0,5,0,24,37,94,1,161,354
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 12","Whynachts Point",0,5,0,52,39,133,4,233,375
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 13","Tantallon",1,6,1,38,20,103,0,169,284
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 14","Glen Haven",1,2,1,38,24,125,0,191,350
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 15","Glen Haven",0,5,2,46,33,113,0,199,330
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 16","Lewis Lake",1,7,0,33,22,152,0,215,347
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 17","Lewis Lake",0,5,2,22,38,113,0,180,388
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 18","Five Island Lake",0,3,0,19,40,131,2,195,397
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 19","Hubley",0,5,0,28,41,128,1,203,372
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 20","Hubley",0,5,3,36,28,101,0,173,323
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 21","Hubley",0,6,0,41,22,137,1,207,441
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 22","Sheldrake Lake",0,1,0,29,28,111,1,170,278
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 23","Goodwood",0,11,0,29,27,111,2,180,323
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 24","Hatchet Lake",0,6,2,36,26,138,0,208,389
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 25","Brookside",1,1,0,27,31,135,1,196,374
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 26","Brookside",0,7,0,53,37,132,0,229,394
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 27","Brookside",0,5,0,46,41,151,3,246,447
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 28","Whites Lake",1,7,0,36,43,140,1,228,433
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 29","Whites Lake",1,10,3,34,30,121,0,199,378
