Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jade Bossé Bélanger,Anthony Housefather,Diane Johnston,Timothy Landry,Robert Libman,Mario Jacinto Rimbao,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24052,"Mount Royal/Mont-Royal"," 1","Mont-Royal",8,103,0,1,24,8,1,145,359
24052,"Mount Royal/Mont-Royal"," 2","Mont-Royal",14,134,0,4,38,13,0,203,426
24052,"Mount Royal/Mont-Royal"," 3","Mont-Royal",10,101,1,3,53,17,2,187,388
24052,"Mount Royal/Mont-Royal"," 4","Mont-Royal",1,84,0,4,31,21,1,142,445
24052,"Mount Royal/Mont-Royal"," 5","Mont-Royal",4,106,0,1,33,19,4,167,376
24052,"Mount Royal/Mont-Royal"," 6","Mont-Royal",8,106,0,15,33,12,0,174,353
24052,"Mount Royal/Mont-Royal"," 7","Mont-Royal",2,119,0,1,60,11,1,194,412
24052,"Mount Royal/Mont-Royal"," 8","Mont-Royal",10,133,1,2,48,10,2,206,421
24052,"Mount Royal/Mont-Royal"," 9","Mont-Royal",16,131,0,7,21,28,0,203,388
24052,"Mount Royal/Mont-Royal"," 10","Mont-Royal",21,128,2,6,30,26,1,214,413
24052,"Mount Royal/Mont-Royal"," 11","Mont-Royal",3,107,0,7,57,19,0,193,415
24052,"Mount Royal/Mont-Royal"," 12","Mont-Royal",11,106,0,3,34,16,3,173,380
24052,"Mount Royal/Mont-Royal"," 13","Mont-Royal",13,121,1,8,21,27,0,191,370
24052,"Mount Royal/Mont-Royal"," 14","Mont-Royal",9,114,0,8,28,29,2,190,370
24052,"Mount Royal/Mont-Royal"," 15","Mont-Royal",8,118,0,5,41,26,2,200,410
24052,"Mount Royal/Mont-Royal"," 16","Mont-Royal",18,125,0,7,52,38,0,240,470
24052,"Mount Royal/Mont-Royal"," 17","Montréal",11,130,0,5,40,17,0,203,382
24052,"Mount Royal/Mont-Royal"," 18","Mont-Royal",14,110,0,11,32,18,2,187,369
24052,"Mount Royal/Mont-Royal"," 19","Mont-Royal",16,109,2,3,27,16,2,175,374
24052,"Mount Royal/Mont-Royal"," 20","Mont-Royal",13,111,1,2,13,27,0,167,321
24052,"Mount Royal/Mont-Royal"," 21","Mont-Royal",8,188,0,8,55,31,2,292,568
24052,"Mount Royal/Mont-Royal"," 22","Mont-Royal",8,102,0,3,30,8,1,152,385
24052,"Mount Royal/Mont-Royal"," 23","Mont-Royal",6,124,0,8,23,25,2,188,445
24052,"Mount Royal/Mont-Royal"," 24","Mont-Royal",7,160,0,8,41,17,2,235,416
24052,"Mount Royal/Mont-Royal"," 25","Mont-Royal",4,110,2,5,45,16,1,183,414
24052,"Mount Royal/Mont-Royal"," 26","Mont-Royal",6,87,0,3,32,12,0,140,391
24052,"Mount Royal/Mont-Royal"," 27","Mont-Royal",5,89,2,7,28,14,2,147,348
24052,"Mount Royal/Mont-Royal"," 28","Mont-Royal",10,169,1,3,82,19,1,285,491
24052,"Mount Royal/Mont-Royal"," 29","Mont-Royal",13,149,0,7,54,26,0,249,464
24052,"Mount Royal/Mont-Royal"," 30","Montréal",5,115,0,9,34,24,0,187,421
24052,"Mount Royal/Mont-Royal"," 31","Mont-Royal",7,123,1,13,36,19,2,201,464
24052,"Mount Royal/Mont-Royal"," 32","Mont-Royal",7,140,2,9,33,28,3,222,492
