Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Chicoine,Normand Chouinard,Yves Perras,Christian Picard,Jean-Claude Poissant,Joanne Tomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"La Prairie/La Prairie"," 1","La Prairie",65,0,52,51,123,6,5,302,547
24034,"La Prairie/La Prairie"," 2","La Prairie",48,2,21,55,80,5,3,214,392
24034,"La Prairie/La Prairie"," 3","La Prairie",53,1,15,65,92,6,5,237,482
24034,"La Prairie/La Prairie"," 4","La Prairie",38,1,11,49,68,7,3,177,412
24034,"La Prairie/La Prairie"," 5","La Prairie",38,0,23,64,101,5,3,234,516
24034,"La Prairie/La Prairie"," 6","La Prairie",59,1,24,58,138,10,3,293,558
24034,"La Prairie/La Prairie"," 7","La Prairie",55,0,30,47,95,5,4,236,404
24034,"La Prairie/La Prairie"," 8","La Prairie",48,0,18,34,92,3,1,196,360
24034,"La Prairie/La Prairie"," 9","La Prairie",15,0,18,58,43,3,2,139,350
24034,"La Prairie/La Prairie"," 10","La Prairie",34,2,6,49,50,9,5,155,350
24034,"La Prairie/La Prairie"," 11","La Prairie",34,0,31,41,85,2,2,195,335
24034,"La Prairie/La Prairie"," 12","La Prairie",37,1,18,62,66,11,0,195,413
24034,"La Prairie/La Prairie"," 13","La Prairie",49,0,16,60,68,5,1,199,417
24034,"La Prairie/La Prairie"," 14","La Prairie",39,1,31,48,77,10,3,209,428
24034,"La Prairie/La Prairie"," 15","La Prairie",46,1,12,45,82,5,2,193,402
24034,"La Prairie/La Prairie"," 16","La Prairie",26,2,14,44,67,4,4,161,416
24034,"La Prairie/La Prairie"," 17","La Prairie",38,1,21,53,63,5,3,184,416
24034,"La Prairie/La Prairie"," 18","La Prairie",40,0,11,38,45,2,4,140,403
24034,"La Prairie/La Prairie"," 19","La Prairie",32,2,10,55,42,8,4,153,384
24034,"La Prairie/La Prairie"," 20","La Prairie",37,1,22,50,60,4,1,175,320
24034,"La Prairie/La Prairie"," 21","La Prairie",21,1,17,35,46,7,4,131,255
24034,"La Prairie/La Prairie"," 22","La Prairie",76,1,42,60,142,4,5,330,527
24034,"La Prairie/La Prairie"," 23","La Prairie",75,0,46,61,157,5,3,347,559
24034,"La Prairie/La Prairie"," 24","La Prairie",56,0,32,48,106,5,2,249,414
24034,"La Prairie/La Prairie"," 25","La Prairie",59,0,56,55,145,6,3,324,504
24034,"La Prairie/La Prairie"," 26","La Prairie",73,0,37,38,112,5,2,267,420
24034,"La Prairie/La Prairie"," 27","La Prairie",62,1,41,58,120,4,6,292,455
24034,"La Prairie/La Prairie"," 28","La Prairie",41,0,14,37,97,6,2,197,325
24034,"La Prairie/La Prairie"," 29","La Prairie",46,0,25,47,65,5,2,190,278
24034,"La Prairie/La Prairie"," 30","La Prairie",74,1,28,49,135,10,3,300,507
24034,"La Prairie/La Prairie"," 31","La Prairie",72,0,16,49,105,5,1,248,442
24034,"La Prairie/La Prairie"," 32","La Prairie",76,0,17,56,84,4,1,238,401
24034,"La Prairie/La Prairie"," 33","La Prairie",51,2,18,63,71,4,5,214,350
24034,"La Prairie/La Prairie"," 34","La Prairie",58,0,13,56,83,9,1,220,387
24034,"La Prairie/La Prairie"," 35","La Prairie",52,0,30,53,84,4,6,229,419
24034,"La Prairie/La Prairie"," 36","La Prairie",61,0,25,66,108,8,2,270,467
24034,"La Prairie/La Prairie"," 37","La Prairie",81,1,16,61,114,6,4,283,467
24034,"La Prairie/La Prairie"," 38","La Prairie",44,2,21,50,77,5,5,204,400
24034,"La Prairie/La Prairie"," 39","La Prairie",25,1,14,51,59,3,7,160,376
24034,"La Prairie/La Prairie"," 40","La Prairie",20,1,13,61,64,4,6,169,411
24034,"La Prairie/La Prairie"," 41","La Prairie",54,0,31,51,108,7,4,255,409
24034,"La Prairie/La Prairie"," 42","La Prairie",59,2,19,50,99,7,2,238,386
24034,"La Prairie/La Prairie"," 43","La Prairie",52,0,30,52,107,3,5,249,430
24034,"La Prairie/La Prairie"," 44","La Prairie",41,0,20,37,76,4,3,181,310
24034,"La Prairie/La Prairie"," 45","Saint-Philippe",52,0,23,61,71,6,6,219,479
24034,"La Prairie/La Prairie"," 46","Saint-Philippe",56,4,26,68,65,3,5,227,449
24034,"La Prairie/La Prairie"," 47","Saint-Philippe",26,1,13,29,54,7,2,132,241
24034,"La Prairie/La Prairie"," 48","Saint-Philippe",45,1,28,58,59,6,7,204,361
24034,"La Prairie/La Prairie"," 49","Saint-Philippe",38,1,31,59,50,3,2,184,369
