Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Block,Lynn Wesley Oliphant,Alexander Slusar,Glenn Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 1","Mullingar",68,3,6,14,0,91,156
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 2","Struan",79,0,11,18,0,108,176
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 3","Pebble Baye",22,1,12,14,0,49,57
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 4A","Leask",102,4,32,32,1,171,319
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 4B","Leask",82,3,20,29,0,134,390
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 5","Parkside",106,5,16,17,0,144,222
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 6","Muskeg Lake Cree Nation 102R",33,7,47,61,2,150,180
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 7","Marcelin",63,1,32,23,0,119,267
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 8","Carlton",65,4,12,32,2,115,121
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 9","Macdowall",Void/Supprimé,,,,,,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 10","Laird",188,5,34,48,0,275,419
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 11","Blaine Lake",113,10,38,41,0,202,468
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 12","Blaine Lake",67,2,9,20,0,98,169
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 13","Hafford",78,3,18,25,1,125,250
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 14","Hafford",82,5,22,24,0,133,278
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 15","Speers",90,8,18,35,0,151,298
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 16","Maymont",126,5,32,32,0,195,294
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 17","Radisson",121,2,13,38,1,175,272
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 18","Radisson",123,8,32,40,0,203,347
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 19","Borden",200,10,50,84,0,344,465
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 20","Langham",97,3,28,44,0,172,276
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 21","Langham",138,7,42,37,0,224,348
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 22","Langham",221,10,56,78,0,365,518
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 23","Langham",25,2,0,4,0,31,65
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 24","Waldheim",211,4,21,18,0,254,338
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 25","Waldheim",173,9,16,28,0,226,335
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 26","Waldheim",175,2,16,19,0,212,341
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 27","Rosthern",138,5,32,52,0,227,569
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 28A","Vade",120,3,16,30,0,169,268
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 28B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,3
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 29","Rosthern",89,3,37,63,0,192,322
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 30","Rosthern",62,4,32,34,0,132,242
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 31","Rosthern",64,3,32,42,1,142,268
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 32","Beardy 97 and Okemasis 96",6,3,144,324,3,480,478
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 33","Duck Lake",55,5,30,33,1,124,248
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 34A","Duck Lake",32,1,29,54,0,116,303
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 34B","Duck Lake",18,0,35,44,2,99,292
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 35","Sokal",Merged with No./Fusionné avec le n°36,,,,,,4
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 36","Sokal",39,0,20,11,0,70,128
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 37","Wakaw",85,8,41,21,1,156,276
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 38","Bonne Madone",82,1,20,21,1,125,209
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 39","Wakaw",69,3,19,26,0,117,248
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 40","Wakaw",88,2,37,27,0,154,338
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 41","Smuts",80,6,21,28,0,135,232
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 42","Hague",235,1,18,6,0,260,371
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 43","Hague",179,4,15,14,0,212,305
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 44","Hague",197,0,23,8,1,229,313
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 45","Hepburn",149,5,16,6,0,176,253
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 46","Hepburn",243,10,32,35,0,320,461
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 47","Dalmeny",100,2,1,2,0,105,190
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 48","Dalmeny",118,6,20,37,0,181,281
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 49","Dalmeny",90,5,25,37,0,157,301
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 50","Dalmeny",122,1,41,51,0,215,358
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 51","Dalmeny",199,7,40,60,0,306,570
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 52","Osler",227,1,3,11,0,242,393
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 53","Osler",283,9,26,17,0,335,607
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 54","Osler",220,1,31,29,0,281,389
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 55","Osler",230,7,31,27,1,296,467
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 56","Osler",129,1,11,18,2,161,188
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 57","Warman",100,3,14,23,0,140,188
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 58","Warman",247,3,64,43,1,358,654
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 59A","Warman",190,1,29,35,0,255,453
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 59B","Warman",193,5,27,30,1,256,452
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 60","Warman",171,7,28,26,1,233,324
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 61","Warman",109,1,33,32,0,175,312
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 62","Warman",236,6,52,41,8,343,558
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 63","Warman",174,6,31,40,1,252,471
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 64","Warman",180,2,34,36,0,252,482
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 65","Warman",95,6,27,32,1,161,330
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 66","Warman",104,6,30,47,0,187,332
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 67","Warman",248,10,80,55,0,393,690
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 68","Warman",241,11,42,41,2,337,646
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 69","Warman",149,1,24,36,2,212,388
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 70","Warman",100,5,32,27,2,166,311
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 71","Warman",124,2,27,39,0,192,357
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 72","Warman",70,0,19,9,1,99,210
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 73","Aberdeen",202,6,60,67,0,335,521
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 74","Aberdeen",139,5,37,34,0,215,354
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 75","Vonda",155,17,52,40,0,264,469
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 76","Prud'homme",78,3,24,24,1,130,213
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 77","Cudworth",82,0,15,8,0,105,149
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 78","McGee",98,4,30,18,0,150,217
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 79","Sovereign",136,1,49,39,1,226,381
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 80","St. Benedict",105,3,11,12,0,131,217
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 81A","Middle Lake",72,2,14,8,0,96,216
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 81B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,49
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 82","Middle Lake",73,1,17,16,0,107,233
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 83","Fulda",82,3,12,10,0,107,175
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 84","Lake Lenore",132,5,15,30,14,196,300
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 85","Annaheim",124,2,26,28,0,180,239
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 86","Dixon",106,1,12,29,2,150,225
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 87","Dixon",161,3,49,27,0,240,453
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 88","Humboldt",60,7,23,40,0,130,340
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 89","Humboldt",110,6,22,31,0,169,419
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 90","Humboldt",184,5,34,44,1,268,500
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 91","Dana",116,2,21,25,0,164,295
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 92","Bruno",133,4,33,41,0,211,339
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 93","Bruno",71,3,17,28,0,119,158
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 94","Peterson",61,3,12,19,0,95,153
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 95","Humboldt",210,6,54,53,0,323,589
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 96","Humboldt",178,6,60,39,0,283,511
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 97","Humboldt",170,4,43,27,1,245,426
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 98","Humboldt",131,13,44,51,3,242,469
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 99A","Humboldt",117,12,34,30,0,193,369
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 99B","Humboldt",147,4,32,33,1,217,412
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 100","Muenster",156,9,53,55,0,273,461
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 101","St. Gregor",101,4,16,18,0,139,208
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 102","Englefeld",145,3,22,27,0,197,263
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 103","Bergheim",212,10,50,50,1,323,505
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 104","Martensville",185,3,45,47,0,280,517
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 105","Martensville",184,5,46,54,0,289,525
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 106","Martensville",170,4,28,44,0,246,459
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 107","Martensville",134,2,34,37,0,207,383
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 108","Martensville",152,5,25,59,0,241,452
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 109","Martensville",192,8,33,48,0,281,578
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 110","Martensville",159,13,40,20,0,232,408
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 111","Martensville",155,1,63,61,0,280,551
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 112","Martensville",127,6,38,49,0,220,441
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 113","Martensville",129,7,33,28,0,197,341
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 114","Martensville",207,7,70,48,0,332,598
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 115","Martensville",137,9,35,53,0,234,417
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 116","Martensville",137,4,39,29,0,209,432
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 117","Martensville",186,2,60,45,1,294,523
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 118","Saskatoon",126,6,38,24,0,194,327
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 119","Langham",173,8,42,48,0,271,389
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 120","Asquith",81,1,25,26,0,133,196
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 121","Asquith",116,3,38,51,0,208,369
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 122","Dunfermline",179,7,56,73,1,316,526
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 123","Asquith",189,5,59,94,0,347,571
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 124","Struan",67,3,14,13,0,97,227
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 125","Lizard Lake",52,4,3,9,0,68,150
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 126","Monarchvale",129,7,28,51,1,216,402
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 127","Biggar",52,0,10,18,0,80,219
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 128","Sokal",56,1,14,21,0,92,216
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 129A","Bonne Madone",45,1,18,20,0,84,212
