Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pat Kelly,Stephanie Kot,Nirmala Naidoo,Catriona Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 1","Calgary",104,1,52,5,0,162,460
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 2","Calgary",125,11,35,3,0,174,399
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 3","Calgary",142,14,64,5,1,226,403
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 4","Calgary",143,15,67,1,0,226,425
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 5","Calgary",165,11,69,2,0,247,480
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 6","Calgary",153,15,65,2,0,235,481
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 7","Calgary",132,11,53,8,1,205,399
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 8A","Calgary",92,3,44,2,0,141,340
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 8B","Calgary",77,3,67,0,0,147,349
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 9A","Calgary",108,5,90,3,0,206,433
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 9B","Calgary",108,10,67,1,0,186,398
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 10A","Calgary",91,8,65,1,0,165,336
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 10B","Calgary",86,11,62,0,2,161,346
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 11","Calgary",135,6,75,2,0,218,472
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 12","Calgary",172,14,90,3,0,279,577
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 13","Calgary",86,6,48,0,1,141,369
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 14A","Calgary",88,10,63,5,1,167,353
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 14B","Calgary",109,18,63,6,0,196,385
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 15A","Calgary",87,10,63,5,0,165,371
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 15B","Calgary",105,16,53,2,1,177,366
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 16","Calgary",189,23,79,3,2,296,567
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 17","Calgary",141,10,77,5,0,233,509
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 18","Calgary",117,3,60,5,1,186,358
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 19","Calgary",149,9,98,2,0,258,457
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 20","Calgary",170,9,65,4,1,249,477
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 21","Calgary",128,15,77,5,1,226,385
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 22","Calgary",158,9,79,5,0,251,451
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 23","Calgary",208,17,78,8,2,313,526
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 24A","Calgary",113,7,56,3,0,179,453
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 24B","Calgary",111,8,67,2,1,189,455
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 24C","Calgary",119,4,48,4,1,176,446
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 24D","Calgary",136,5,53,2,0,196,430
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 25A","Calgary",121,6,67,2,0,196,413
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 25B","Calgary",95,9,55,2,0,161,410
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 25C","Calgary",93,10,55,2,0,160,408
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 26A","Calgary",102,16,67,1,0,186,339
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 26B","Calgary",90,10,56,10,0,166,343
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 27","Calgary",157,15,87,1,0,260,448
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 28","Calgary",92,10,68,1,0,171,452
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 29","Calgary",123,3,47,1,0,174,428
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 30","Calgary",94,7,59,5,0,165,463
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 31","Calgary",128,9,53,0,1,191,438
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 32","Calgary",90,9,49,0,0,148,418
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 33","Calgary",121,10,56,3,0,190,476
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 34","Calgary",75,12,56,2,0,145,387
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 35A","Calgary",107,8,87,1,1,204,493
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 35B","Calgary",101,11,69,2,1,184,489
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 36","Calgary",73,4,57,2,0,136,420
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 37A","Calgary",67,14,58,1,1,141,430
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 37B","Calgary",73,7,67,3,0,150,423
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 38","Calgary",75,6,61,1,1,144,393
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 39","Calgary",126,15,110,4,0,255,418
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 40","Calgary",177,20,82,5,1,285,476
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 41","Calgary",118,6,52,6,1,183,315
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 42","Calgary",120,17,82,4,0,223,396
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 43","Calgary",160,9,65,1,0,235,391
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 44","Calgary",121,10,54,5,0,190,326
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 45","Calgary",147,14,68,3,0,232,440
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 46","Calgary",150,24,115,6,1,296,481
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 47","Calgary",123,36,76,4,0,239,436
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 48","Calgary",122,29,104,8,1,264,446
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 49","Calgary",187,14,88,2,0,291,474
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 50","Calgary",174,14,79,1,0,268,452
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 51","Calgary",173,13,85,3,0,274,459
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 52","Calgary",164,19,98,9,2,292,507
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 53","Calgary",160,32,102,12,0,306,517
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 54","Calgary",168,15,68,1,0,252,483
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 55","Calgary",119,9,73,6,0,207,367
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 56","Calgary",122,16,81,10,0,229,399
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 57","Calgary",129,8,70,1,0,208,421
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 58","Calgary",170,22,68,1,1,262,486
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 59","Calgary",172,8,78,8,2,268,449
