Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,AJ Griffin,Wayne Long,Sharon Murphy,Rodney Weston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13009,"Saint John--Rothesay/Saint John--Rothesay"," 1","Rothesay",32,112,6,63,1,214,357
13009,"Saint John--Rothesay/Saint John--Rothesay"," 2","Rothesay",42,160,9,120,1,332,565
13009,"Saint John--Rothesay/Saint John--Rothesay"," 3","Rothesay",20,103,3,66,0,192,341
13009,"Saint John--Rothesay/Saint John--Rothesay"," 4","Rothesay",35,112,7,57,1,212,364
13009,"Saint John--Rothesay/Saint John--Rothesay"," 5","Rothesay",14,104,7,94,0,219,375
13009,"Saint John--Rothesay/Saint John--Rothesay"," 6","Rothesay",28,88,9,43,1,169,339
13009,"Saint John--Rothesay/Saint John--Rothesay"," 7","Rothesay",27,69,5,54,1,156,319
13009,"Saint John--Rothesay/Saint John--Rothesay"," 8","Rothesay",16,82,5,64,0,167,289
13009,"Saint John--Rothesay/Saint John--Rothesay"," 9","Rothesay",23,95,2,51,0,171,354
13009,"Saint John--Rothesay/Saint John--Rothesay"," 10","Rothesay",28,97,4,47,1,177,299
13009,"Saint John--Rothesay/Saint John--Rothesay"," 11","Rothesay",34,91,8,76,2,211,422
13009,"Saint John--Rothesay/Saint John--Rothesay"," 12","Rothesay",16,123,4,78,0,221,459
13009,"Saint John--Rothesay/Saint John--Rothesay"," 13","Rothesay",10,111,2,82,0,205,384
13009,"Saint John--Rothesay/Saint John--Rothesay"," 14","Rothesay",14,110,8,114,0,246,443
13009,"Saint John--Rothesay/Saint John--Rothesay"," 15","Rothesay",55,100,4,70,0,229,436
13009,"Saint John--Rothesay/Saint John--Rothesay"," 16","Rothesay",36,100,8,95,0,239,432
13009,"Saint John--Rothesay/Saint John--Rothesay"," 17","Rothesay",32,101,4,55,1,193,408
13009,"Saint John--Rothesay/Saint John--Rothesay"," 18","Rothesay",42,100,6,79,2,229,463
13009,"Saint John--Rothesay/Saint John--Rothesay"," 19","Saint John",21,78,1,65,1,166,377
