Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sean Burton,Jack Harris,David Anthony Peters,Deanne Stapleton,Nick Whalen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East /St. John's-Est"," 1","Pouch Cove",0,109,2,11,90,0,212,388
10006,"St. John's East /St. John's-Est"," 2","Pouch Cove",2,109,0,7,95,1,214,444
10006,"St. John's East /St. John's-Est"," 3","Pouch Cove",0,77,1,3,46,4,131,233
10006,"St. John's East /St. John's-Est"," 4","Pouch Cove",1,168,0,5,97,0,271,528
10006,"St. John's East /St. John's-Est"," 5","Flatrock",1,155,1,4,88,0,249,390
10006,"St. John's East /St. John's-Est"," 6","Flatrock",1,144,1,8,135,0,289,507
10006,"St. John's East /St. John's-Est"," 7","Flatrock",0,141,1,17,79,1,239,386
10006,"St. John's East /St. John's-Est"," 8","Torbay",0,88,2,6,80,0,176,330
10006,"St. John's East /St. John's-Est"," 9","Torbay",0,122,1,14,102,1,240,455
10006,"St. John's East /St. John's-Est"," 10","Torbay",0,98,0,13,108,0,219,434
10006,"St. John's East /St. John's-Est"," 11","Torbay",0,123,2,7,98,1,231,430
10006,"St. John's East /St. John's-Est"," 12","Torbay",1,109,1,15,108,2,236,455
10006,"St. John's East /St. John's-Est"," 13","Torbay",0,114,7,17,109,0,247,439
10006,"St. John's East /St. John's-Est"," 14","Logy Bay-Middle Cove-Outer Cove",0,145,1,22,108,1,277,445
10006,"St. John's East /St. John's-Est"," 15","Logy Bay-Middle Cove-Outer Cove",1,108,4,13,92,1,219,401
10006,"St. John's East /St. John's-Est"," 16","Logy Bay-Middle Cove-Outer Cove",1,141,2,6,112,0,262,425
10006,"St. John's East /St. John's-Est"," 17","Logy Bay-Middle Cove-Outer Cove",0,77,1,13,81,0,172,290
10006,"St. John's East /St. John's-Est"," 18","Logy Bay-Middle Cove-Outer Cove",0,146,1,10,82,1,240,367
10006,"St. John's East /St. John's-Est"," 19","Torbay",1,118,0,11,123,0,253,488
10006,"St. John's East /St. John's-Est"," 20","Torbay",1,75,4,18,139,0,237,442
10006,"St. John's East /St. John's-Est"," 21","Torbay",0,104,2,16,113,2,237,443
10006,"St. John's East /St. John's-Est"," 22","Torbay",0,111,4,14,106,0,235,458
10006,"St. John's East /St. John's-Est"," 23","Torbay",0,124,4,13,107,0,248,444
10006,"St. John's East /St. John's-Est"," 24","Torbay",0,85,0,25,111,0,221,445
10006,"St. John's East /St. John's-Est"," 25","Torbay",0,105,2,13,128,0,248,499
10006,"St. John's East /St. John's-Est"," 26A","Bauline",0,89,1,8,77,0,175,298
10006,"St. John's East /St. John's-Est"," 26B","Bauline",1,89,2,11,80,0,183,307
10006,"St. John's East /St. John's-Est"," 27","Bauline",1,90,2,9,106,1,209,361
10006,"St. John's East /St. John's-Est"," 28","St. John's",0,98,4,33,200,2,337,514
10006,"St. John's East /St. John's-Est"," 29A","St. John's",0,33,1,25,125,1,185,292
10006,"St. John's East /St. John's-Est"," 29B","St. John's",0,56,2,12,116,0,186,303
10006,"St. John's East /St. John's-Est"," 30","St. John's",1,63,0,20,112,1,197,326
10006,"St. John's East /St. John's-Est"," 31","St. John's",0,81,2,15,127,1,226,421
10006,"St. John's East /St. John's-Est"," 32","St. John's",0,71,0,24,134,0,229,342
10006,"St. John's East /St. John's-Est"," 33","St. John's",0,69,1,21,126,0,217,357
10006,"St. John's East /St. John's-Est"," 34","St. John's",0,98,5,15,122,0,240,430
10006,"St. John's East /St. John's-Est"," 35","St. John's",0,143,2,11,205,1,362,553
10006,"St. John's East /St. John's-Est"," 36","St. John's",1,115,1,17,196,0,330,531
10006,"St. John's East /St. John's-Est"," 37","St. John's",0,87,1,13,105,0,206,347
10006,"St. John's East /St. John's-Est"," 38","St. John's",0,92,1,16,126,1,236,446
10006,"St. John's East /St. John's-Est"," 39","St. John's",0,134,3,28,134,0,299,444
10006,"St. John's East /St. John's-Est"," 40","St. John's",0,66,1,8,74,2,151,321
10006,"St. John's East /St. John's-Est"," 41","St. John's",0,87,2,8,78,0,175,267
10006,"St. John's East /St. John's-Est"," 42","St. John's",5,150,1,8,82,0,246,458
10006,"St. John's East /St. John's-Est"," 43","St. John's",1,86,0,6,89,0,182,445
10006,"St. John's East /St. John's-Est"," 44","St. John's",1,39,0,14,89,1,144,281
