Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,Allan de Roo,Sid Frere,Harold Jonker,Nameer Rahman,Phil Rose,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Niagara West/Niagara-Ouest"," 1","St. Catharines",154,6,6,1,16,64,0,247,455
35068,"Niagara West/Niagara-Ouest"," 2","St. Catharines",150,4,5,3,23,54,3,242,435
35068,"Niagara West/Niagara-Ouest"," 3","Lincoln",171,8,0,7,32,64,1,283,480
35068,"Niagara West/Niagara-Ouest"," 4","Lincoln",182,7,3,15,23,59,2,291,462
35068,"Niagara West/Niagara-Ouest"," 5","Lincoln",187,6,5,11,22,58,1,290,443
35068,"Niagara West/Niagara-Ouest"," 6","Lincoln",167,5,15,17,15,83,1,303,497
35068,"Niagara West/Niagara-Ouest"," 7","Lincoln",152,7,11,9,25,76,1,281,473
35068,"Niagara West/Niagara-Ouest"," 8","St. Catharines",121,6,4,0,31,73,1,236,415
35068,"Niagara West/Niagara-Ouest"," 9","Lincoln",173,5,5,13,22,105,2,325,553
35068,"Niagara West/Niagara-Ouest"," 10","Lincoln",124,5,8,4,13,56,0,210,383
35068,"Niagara West/Niagara-Ouest"," 11","Lincoln",89,3,6,2,23,93,0,216,364
35068,"Niagara West/Niagara-Ouest"," 12","Lincoln",148,6,10,0,29,83,1,277,426
35068,"Niagara West/Niagara-Ouest"," 13","Lincoln",149,10,14,4,52,162,4,395,624
35068,"Niagara West/Niagara-Ouest"," 14","Lincoln",121,4,7,6,44,117,3,302,478
35068,"Niagara West/Niagara-Ouest"," 15","Grimsby",78,5,8,2,31,94,0,218,381
35068,"Niagara West/Niagara-Ouest"," 16","Grimsby",102,2,2,5,20,114,3,248,407
35068,"Niagara West/Niagara-Ouest"," 17","Grimsby",119,5,12,9,29,95,0,269,435
35068,"Niagara West/Niagara-Ouest"," 18","Grimsby",116,1,5,2,15,87,0,226,491
35068,"Niagara West/Niagara-Ouest"," 19","Grimsby",120,6,7,2,12,131,2,280,462
35068,"Niagara West/Niagara-Ouest"," 20","Grimsby",95,7,9,6,31,96,2,246,408
35068,"Niagara West/Niagara-Ouest"," 21","Grimsby",140,3,9,6,35,97,0,290,501
35068,"Niagara West/Niagara-Ouest"," 22","Grimsby",88,1,4,3,36,66,0,198,330
35068,"Niagara West/Niagara-Ouest"," 23","Grimsby",72,2,5,0,31,67,0,177,327
35068,"Niagara West/Niagara-Ouest"," 24","Grimsby",82,0,6,1,51,79,0,219,353
35068,"Niagara West/Niagara-Ouest"," 25","Grimsby",115,4,4,2,22,98,3,248,384
35068,"Niagara West/Niagara-Ouest"," 26","Grimsby",123,2,7,0,37,104,1,274,427
35068,"Niagara West/Niagara-Ouest"," 27","Grimsby",112,2,5,0,60,113,1,293,458
35068,"Niagara West/Niagara-Ouest"," 28A","Grimsby",147,12,10,0,24,124,1,318,532
35068,"Niagara West/Niagara-Ouest"," 28B","Grimsby",97,4,11,1,34,119,1,267,536
35068,"Niagara West/Niagara-Ouest"," 29","Grimsby",109,4,9,8,38,107,0,275,455
35068,"Niagara West/Niagara-Ouest"," 30","Grimsby",103,5,12,4,37,82,2,245,444
35068,"Niagara West/Niagara-Ouest"," 31","Grimsby",114,10,3,4,53,117,0,301,478
35068,"Niagara West/Niagara-Ouest"," 32","Grimsby",116,1,9,0,23,106,3,258,459
35068,"Niagara West/Niagara-Ouest"," 33","Grimsby",98,4,4,1,22,103,1,233,438
35068,"Niagara West/Niagara-Ouest"," 34","Grimsby",104,8,2,2,27,103,2,248,449
35068,"Niagara West/Niagara-Ouest"," 35","Grimsby",128,2,6,1,29,94,3,263,468
35068,"Niagara West/Niagara-Ouest"," 36","Grimsby",97,5,6,0,28,106,1,243,437
35068,"Niagara West/Niagara-Ouest"," 37","Grimsby",120,3,3,3,41,89,2,261,468
