Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,Céline Brown MacDonald,Daniel Royer,Stéphane Trudel,Adam Veilleux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauce/Beauce"," 49","Sainte-Marie",113,3,13,12,30,7,178,404
24007,"Beauce/Beauce"," 50","Sainte-Marie",101,3,23,7,38,0,172,375
24007,"Beauce/Beauce"," 51","Sainte-Marie",94,6,27,17,27,4,175,407
24007,"Beauce/Beauce"," 52","Sainte-Marie",144,8,23,15,31,1,222,487
24007,"Beauce/Beauce"," 53","Sainte-Marie",98,2,16,3,45,3,167,374
24007,"Beauce/Beauce"," 54","Saint-Bernard",136,5,21,16,45,3,226,403
24007,"Beauce/Beauce"," 55","Saint-Bernard",158,2,19,13,26,1,219,368
24007,"Beauce/Beauce"," 56","Saint-Bernard",209,7,31,19,52,4,322,542
24007,"Beauce/Beauce"," 57","Saint-Bernard",127,4,22,15,41,3,212,395
24007,"Beauce/Beauce"," 58","Saint-Elzéar",119,1,19,23,36,1,199,326
24007,"Beauce/Beauce"," 59","Saint-Elzéar",108,0,14,12,42,2,178,303
24007,"Beauce/Beauce"," 60","Saint-Elzéar",99,3,27,10,47,3,189,323
24007,"Beauce/Beauce"," 61","Saint-Elzéar",194,4,35,25,41,3,302,436
24007,"Beauce/Beauce"," 62","Saint-Elzéar",157,2,18,11,39,1,228,373
24007,"Beauce/Beauce"," 63","Saint-Séverin",91,4,9,21,20,2,147,213
24007,"Beauce/Beauce"," 64","Saint-Frédéric",122,2,15,10,27,1,177,291
24007,"Beauce/Beauce"," 65","Saint-Frédéric",60,5,20,12,23,4,124,200
24007,"Beauce/Beauce"," 66","Saint-Frédéric",104,1,16,13,51,1,186,263
24007,"Beauce/Beauce"," 67","Saint-Joseph-de-Beauce",86,1,20,4,24,1,136,307
24007,"Beauce/Beauce"," 68","Saint-Joseph-de-Beauce",111,6,19,16,38,2,192,470
24007,"Beauce/Beauce"," 69","Saint-Joseph-de-Beauce",133,4,6,6,23,0,172,316
24007,"Beauce/Beauce"," 70","Saint-Joseph-de-Beauce",103,1,17,14,45,0,180,362
24007,"Beauce/Beauce"," 71A","Saint-Joseph-de-Beauce",75,5,16,9,18,0,123,293
24007,"Beauce/Beauce"," 71B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,46
24007,"Beauce/Beauce"," 72","Saint-Joseph-de-Beauce",61,4,15,12,25,3,120,345
24007,"Beauce/Beauce"," 73A","Saint-Joseph-de-Beauce",84,2,9,11,22,1,129,291
24007,"Beauce/Beauce"," 73B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,16
24007,"Beauce/Beauce"," 74","Saint-Joseph-de-Beauce",118,7,13,17,28,0,183,395
24007,"Beauce/Beauce"," 75","Saint-Joseph-de-Beauce",182,6,19,11,43,5,266,493
24007,"Beauce/Beauce"," 76","Saint-Joseph-de-Beauce",76,4,10,8,27,0,125,332
24007,"Beauce/Beauce"," 77","Saint-Joseph-des-Érables",111,2,13,18,21,0,165,328
24007,"Beauce/Beauce"," 78","Saint-Odilon-de-Cranbourne",116,2,21,22,32,2,195,321
24007,"Beauce/Beauce"," 79","Saint-Odilon-de-Cranbourne",110,4,13,17,38,1,183,295
24007,"Beauce/Beauce"," 80","Saint-Odilon-de-Cranbourne",149,5,33,13,65,3,268,442
24007,"Beauce/Beauce"," 81","Saint-Benjamin",92,6,21,15,48,0,182,362
24007,"Beauce/Beauce"," 82","Saint-Benjamin",113,3,27,16,50,3,212,392
24007,"Beauce/Beauce"," 83","Saint-Prosper",104,6,17,15,32,3,177,362
24007,"Beauce/Beauce"," 84","Saint-Prosper",61,1,11,5,28,2,108,260
24007,"Beauce/Beauce"," 85","Saint-Prosper",36,3,5,8,18,3,73,246
24007,"Beauce/Beauce"," 86","Saint-Prosper",87,8,13,7,37,2,154,351
24007,"Beauce/Beauce"," 87","Saint-Prosper",54,4,11,2,39,1,111,269
24007,"Beauce/Beauce"," 88","Saint-Prosper",76,1,12,14,40,3,146,297
24007,"Beauce/Beauce"," 89","Saint-Prosper",80,6,14,8,40,1,149,359
24007,"Beauce/Beauce"," 90","Saint-Prosper",64,5,13,14,25,1,122,320
24007,"Beauce/Beauce"," 91","Saint-Prosper",76,1,10,9,30,8,134,347
24007,"Beauce/Beauce"," 92","Sainte-Aurélie",112,10,17,5,35,14,193,348
24007,"Beauce/Beauce"," 93","Sainte-Aurélie",131,5,13,12,34,3,198,338
24007,"Beauce/Beauce"," 94","Saint-Zacharie",144,4,19,19,32,2,220,355
24007,"Beauce/Beauce"," 95","Saint-Zacharie",101,1,11,11,31,2,157,300
24007,"Beauce/Beauce"," 96","Saint-Zacharie",115,0,12,14,53,1,195,356
24007,"Beauce/Beauce"," 97","Saint-Zacharie",139,6,11,9,20,7,192,375
24007,"Beauce/Beauce"," 98","Saint-Côme-Linière",98,4,21,7,30,3,163,353
24007,"Beauce/Beauce"," 99","Saint-Côme-Linière",133,8,22,13,39,2,217,390
24007,"Beauce/Beauce"," 100","Saint-Côme-Linière",95,3,8,5,48,1,160,302
24007,"Beauce/Beauce"," 101","Saint-Côme-Linière",119,7,8,7,38,1,180,330
24007,"Beauce/Beauce"," 102","Saint-Côme-Linière",128,5,14,16,41,0,204,398
24007,"Beauce/Beauce"," 103","Saint-Côme-Linière",97,5,20,7,34,3,166,315
24007,"Beauce/Beauce"," 104","Saint-Côme-Linière",93,5,15,9,59,4,185,357
24007,"Beauce/Beauce"," 105","Saint-Philibert",86,7,25,15,49,1,183,296
24007,"Beauce/Beauce"," 106","Saint-Georges",134,3,25,16,40,4,222,498
24007,"Beauce/Beauce"," 107","Saint-Georges",95,5,14,18,51,0,183,396
24007,"Beauce/Beauce"," 108","Saint-Georges",127,3,16,12,43,0,201,427
24007,"Beauce/Beauce"," 109","Saint-Georges",149,2,13,8,54,1,227,454
24007,"Beauce/Beauce"," 110","Saint-Georges",104,2,25,22,53,4,210,484
24007,"Beauce/Beauce"," 111","Saint-Georges",48,0,12,12,13,2,87,269
24007,"Beauce/Beauce"," 112","Saint-Georges",79,4,19,25,46,4,177,446
24007,"Beauce/Beauce"," 113","Saint-Georges",64,4,14,17,39,4,142,390
24007,"Beauce/Beauce"," 114","Saint-Georges",104,5,14,8,46,3,180,432
24007,"Beauce/Beauce"," 115","Saint-Georges",95,2,14,18,37,0,166,382
24007,"Beauce/Beauce"," 116","Saint-Georges",85,4,18,12,44,0,163,365
24007,"Beauce/Beauce"," 117","Saint-Georges",156,2,25,19,46,0,248,535
24007,"Beauce/Beauce"," 118","Saint-Simon-les-Mines",145,3,19,13,61,3,244,371
24007,"Beauce/Beauce"," 119","Beauceville",105,3,16,14,35,2,175,423
24007,"Beauce/Beauce"," 120","Beauceville",104,2,11,7,32,2,158,367
24007,"Beauce/Beauce"," 121","Beauceville",109,3,14,12,53,2,193,416
24007,"Beauce/Beauce"," 122A","Beauceville",82,2,10,7,41,1,143,331
24007,"Beauce/Beauce"," 122B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,11
24007,"Beauce/Beauce"," 123","Beauceville",108,1,17,10,26,1,163,393
24007,"Beauce/Beauce"," 124","Beauceville",82,1,18,12,49,3,165,447
24007,"Beauce/Beauce"," 125","Beauceville",79,1,11,11,46,1,149,397
24007,"Beauce/Beauce"," 126","Notre-Dame-des-Pins",114,1,17,8,30,1,171,327
24007,"Beauce/Beauce"," 127","Notre-Dame-des-Pins",156,3,34,21,70,2,286,497
24007,"Beauce/Beauce"," 128","Notre-Dame-des-Pins",91,1,21,19,46,1,179,300
24007,"Beauce/Beauce"," 129","Beauceville",84,2,16,20,40,0,162,373
24007,"Beauce/Beauce"," 130","Beauceville",59,2,12,11,28,2,114,433
24007,"Beauce/Beauce"," 131","Beauceville",111,4,29,11,29,0,184,417
24007,"Beauce/Beauce"," 132","Beauceville",104,3,17,10,39,0,173,365
24007,"Beauce/Beauce"," 133","Beauceville",81,4,24,20,56,1,186,464
24007,"Beauce/Beauce"," 134","Saint-Jules-de-Beauce",201,4,25,12,43,0,285,389
24007,"Beauce/Beauce"," 135","Tring-Jonction",138,1,18,8,45,2,212,333
24007,"Beauce/Beauce"," 136","Tring-Jonction",166,2,20,18,51,1,258,389
24007,"Beauce/Beauce"," 137","Tring-Jonction",191,1,25,12,43,2,274,399
24007,"Beauce/Beauce"," 138","Saint-Victor-Station",107,0,7,13,64,0,191,388
24007,"Beauce/Beauce"," 139","Saint-Victor-Station",85,5,12,11,31,1,145,283
24007,"Beauce/Beauce"," 140","Saint-Victor",81,1,23,13,56,4,178,316
24007,"Beauce/Beauce"," 141","Saint-Victor",80,2,10,7,39,4,142,314
24007,"Beauce/Beauce"," 142","Saint-Victor",89,2,11,12,35,2,151,315
24007,"Beauce/Beauce"," 143","Saint-Victor",55,3,11,9,26,1,105,215
24007,"Beauce/Beauce"," 144","Saint-Alfred",143,1,19,20,56,3,242,361
24007,"Beauce/Beauce"," 145","Saint-Benoît-Labre",85,3,10,9,44,3,154,269
24007,"Beauce/Beauce"," 146","Saint-Benoît-Labre",114,4,17,18,71,1,225,388
24007,"Beauce/Beauce"," 147","Saint-Benoît-Labre",118,4,17,16,45,5,205,350
24007,"Beauce/Beauce"," 148","Saint-Benoît-Labre",113,4,18,21,48,7,211,362
24007,"Beauce/Beauce"," 149","Saint-Georges",97,4,29,15,39,4,188,424
24007,"Beauce/Beauce"," 150","Saint-Georges",69,1,19,18,37,2,146,356
24007,"Beauce/Beauce"," 151","Saint-Georges",82,7,17,20,59,3,188,418
24007,"Beauce/Beauce"," 152","Saint-Georges",55,12,7,14,33,1,122,369
24007,"Beauce/Beauce"," 153","Saint-Georges",72,4,19,16,44,1,156,398
24007,"Beauce/Beauce"," 154","Saint-Georges",65,2,19,15,35,9,145,430
24007,"Beauce/Beauce"," 155","Saint-Georges",74,5,13,24,54,5,175,438
24007,"Beauce/Beauce"," 156","Saint-Georges",83,0,20,14,27,1,145,416
24007,"Beauce/Beauce"," 157","Saint-Georges",139,4,25,21,57,1,247,493
24007,"Beauce/Beauce"," 158","Saint-Georges",98,3,24,16,54,3,198,462
24007,"Beauce/Beauce"," 159","Saint-Georges",117,2,15,15,37,3,189,431
24007,"Beauce/Beauce"," 160","Saint-Georges",108,2,8,9,34,0,161,383
24007,"Beauce/Beauce"," 161","Saint-Georges",89,2,21,9,55,2,178,405
24007,"Beauce/Beauce"," 162","Saint-Georges",60,2,12,14,39,1,128,310
24007,"Beauce/Beauce"," 163","Saint-Georges",60,0,6,5,31,1,103,283
24007,"Beauce/Beauce"," 164","Saint-Georges",60,4,14,16,47,0,141,413
24007,"Beauce/Beauce"," 165","Saint-Georges",60,0,14,24,30,0,128,361
24007,"Beauce/Beauce"," 166","Saint-Georges",45,3,6,11,30,1,96,390
24007,"Beauce/Beauce"," 167A","Saint-Georges",40,3,4,13,30,2,92,351
24007,"Beauce/Beauce"," 167B","Saint-Georges",Merged with No./Fusionné avec le n°402,,,,,,,62
24007,"Beauce/Beauce"," 168","Saint-Georges",25,1,8,8,26,2,70,283
24007,"Beauce/Beauce"," 169","Saint-Georges",72,4,11,15,52,2,156,433
24007,"Beauce/Beauce"," 170","Saint-Georges",82,5,19,19,44,4,173,446
24007,"Beauce/Beauce"," 171","Saint-Georges",61,7,11,15,43,2,139,482
24007,"Beauce/Beauce"," 172","Saint-Georges",111,7,28,28,77,2,253,578
24007,"Beauce/Beauce"," 173","Saint-Georges",103,4,16,17,65,1,206,472
24007,"Beauce/Beauce"," 174","Saint-Georges",97,3,24,15,66,3,208,481
