Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tariq Chaudary,Brian Fleck,Matt Jeneroux,Valerie Kennedy,Steven Lack,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton Riverbend/Edmonton Riverbend"," 47","Edmonton",53,83,120,3,4,0,263,431
48018,"Edmonton Riverbend/Edmonton Riverbend"," 48","Edmonton",92,78,134,12,0,1,317,483
48018,"Edmonton Riverbend/Edmonton Riverbend"," 49","Edmonton",86,60,134,12,2,1,295,516
48018,"Edmonton Riverbend/Edmonton Riverbend"," 50","Edmonton",79,57,137,12,2,1,288,473
48018,"Edmonton Riverbend/Edmonton Riverbend"," 51","Edmonton",57,49,80,1,1,2,190,349
48018,"Edmonton Riverbend/Edmonton Riverbend"," 52","Edmonton",92,69,132,6,2,1,302,443
48018,"Edmonton Riverbend/Edmonton Riverbend"," 53","Edmonton",75,77,97,8,0,0,257,377
48018,"Edmonton Riverbend/Edmonton Riverbend"," 54","Edmonton",41,65,115,7,0,0,228,353
48018,"Edmonton Riverbend/Edmonton Riverbend"," 55","Edmonton",65,57,91,9,4,0,226,409
48018,"Edmonton Riverbend/Edmonton Riverbend"," 56","Edmonton",71,45,137,8,2,1,264,421
48018,"Edmonton Riverbend/Edmonton Riverbend"," 57","Edmonton",62,56,89,5,0,0,212,348
48018,"Edmonton Riverbend/Edmonton Riverbend"," 58","Edmonton",72,60,114,7,1,0,254,423
48018,"Edmonton Riverbend/Edmonton Riverbend"," 59","Edmonton",85,55,148,7,2,0,297,459
48018,"Edmonton Riverbend/Edmonton Riverbend"," 60","Edmonton",109,61,69,5,1,0,245,511
48018,"Edmonton Riverbend/Edmonton Riverbend"," 61","Edmonton",83,42,135,2,0,1,263,443
48018,"Edmonton Riverbend/Edmonton Riverbend"," 62","Edmonton",114,72,93,12,3,0,294,490
48018,"Edmonton Riverbend/Edmonton Riverbend"," 63","Edmonton",51,50,98,0,2,1,202,353
48018,"Edmonton Riverbend/Edmonton Riverbend"," 64","Edmonton",58,42,111,6,0,0,217,345
48018,"Edmonton Riverbend/Edmonton Riverbend"," 65","Edmonton",93,57,134,7,2,0,293,461
48018,"Edmonton Riverbend/Edmonton Riverbend"," 66","Edmonton",100,49,115,4,4,1,273,473
48018,"Edmonton Riverbend/Edmonton Riverbend"," 67","Edmonton",82,54,63,13,1,1,214,431
48018,"Edmonton Riverbend/Edmonton Riverbend"," 68","Edmonton",87,43,126,8,3,0,267,414
48018,"Edmonton Riverbend/Edmonton Riverbend"," 69","Edmonton",64,43,109,10,1,0,227,421
48018,"Edmonton Riverbend/Edmonton Riverbend"," 70A","Edmonton",78,39,92,6,1,0,216,392
48018,"Edmonton Riverbend/Edmonton Riverbend"," 70B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,49
48018,"Edmonton Riverbend/Edmonton Riverbend"," 71","Edmonton",79,50,136,8,1,1,275,473
48018,"Edmonton Riverbend/Edmonton Riverbend"," 72","Edmonton",66,41,164,7,2,0,280,594
48018,"Edmonton Riverbend/Edmonton Riverbend"," 73","Edmonton",110,58,134,9,1,0,312,541
48018,"Edmonton Riverbend/Edmonton Riverbend"," 74","Edmonton",69,26,78,2,3,1,179,413
48018,"Edmonton Riverbend/Edmonton Riverbend"," 75","Edmonton",73,29,101,1,1,2,207,398
48018,"Edmonton Riverbend/Edmonton Riverbend"," 76","Edmonton",63,24,130,3,1,0,221,402
48018,"Edmonton Riverbend/Edmonton Riverbend"," 77","Edmonton",80,26,78,3,1,0,188,419
48018,"Edmonton Riverbend/Edmonton Riverbend"," 78","Edmonton",77,36,102,4,2,0,221,472
48018,"Edmonton Riverbend/Edmonton Riverbend"," 79","Edmonton",82,24,115,1,0,1,223,439
48018,"Edmonton Riverbend/Edmonton Riverbend"," 80","Edmonton",60,15,131,1,0,0,207,430
48018,"Edmonton Riverbend/Edmonton Riverbend"," 81","Edmonton",102,30,163,3,1,1,300,501
48018,"Edmonton Riverbend/Edmonton Riverbend"," 82","Edmonton",54,30,137,7,1,1,230,470
48018,"Edmonton Riverbend/Edmonton Riverbend"," 83","Edmonton",53,27,152,4,2,1,239,427
48018,"Edmonton Riverbend/Edmonton Riverbend"," 84","Edmonton",50,8,116,4,0,0,178,403
48018,"Edmonton Riverbend/Edmonton Riverbend"," 85","Edmonton",51,25,122,11,1,0,210,370
48018,"Edmonton Riverbend/Edmonton Riverbend"," 86","Edmonton",68,53,88,5,2,2,218,417
48018,"Edmonton Riverbend/Edmonton Riverbend"," 87","Edmonton",81,50,134,7,0,1,273,467
48018,"Edmonton Riverbend/Edmonton Riverbend"," 88","Edmonton",42,36,84,3,0,0,165,338
48018,"Edmonton Riverbend/Edmonton Riverbend"," 89","Edmonton",62,34,102,6,3,1,208,344
48018,"Edmonton Riverbend/Edmonton Riverbend"," 90","Edmonton",66,46,100,4,2,0,218,430
48018,"Edmonton Riverbend/Edmonton Riverbend"," 91","Edmonton",85,54,97,9,2,0,247,444
48018,"Edmonton Riverbend/Edmonton Riverbend"," 92","Edmonton",68,39,95,10,2,1,215,426
48018,"Edmonton Riverbend/Edmonton Riverbend"," 93","Edmonton",74,27,82,1,0,0,184,356
48018,"Edmonton Riverbend/Edmonton Riverbend"," 94","Edmonton",55,14,115,4,0,0,188,356
48018,"Edmonton Riverbend/Edmonton Riverbend"," 95","Edmonton",52,22,107,8,1,1,191,361
48018,"Edmonton Riverbend/Edmonton Riverbend"," 96","Edmonton",66,24,104,1,6,0,201,374
