Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Doel,Che Marville,John Oliver,Terence Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35072,"Oakville/Oakville"," 1","Oakville",5,12,113,130,1,261,484
35072,"Oakville/Oakville"," 2","Oakville",0,6,77,69,0,152,323
35072,"Oakville/Oakville"," 3","Oakville",2,3,77,96,1,179,341
35072,"Oakville/Oakville"," 4","Oakville",6,14,63,73,0,156,316
35072,"Oakville/Oakville"," 5","Oakville",5,9,119,91,3,227,414
35072,"Oakville/Oakville"," 6","Oakville",10,19,124,71,3,227,494
35072,"Oakville/Oakville"," 7","Oakville",1,7,73,87,1,169,320
35072,"Oakville/Oakville"," 8A","Oakville",4,1,42,94,0,141,273
35072,"Oakville/Oakville"," 8B","Oakville",0,7,48,95,1,151,261
35072,"Oakville/Oakville"," 9","Oakville",5,5,92,125,0,227,415
35072,"Oakville/Oakville"," 10","Oakville",1,10,91,119,1,222,415
35072,"Oakville/Oakville"," 11","Oakville",2,12,96,94,0,204,434
35072,"Oakville/Oakville"," 12A","Oakville",2,10,66,43,0,121,274
35072,"Oakville/Oakville"," 12B","Oakville",2,9,53,47,0,111,272
35072,"Oakville/Oakville"," 13","Oakville",7,6,87,69,0,169,370
35072,"Oakville/Oakville"," 14","Oakville",1,5,90,97,1,194,373
35072,"Oakville/Oakville"," 15","Oakville",5,12,85,106,0,208,411
35072,"Oakville/Oakville"," 16","Oakville",3,9,94,160,1,267,439
35072,"Oakville/Oakville"," 17A","Oakville",1,10,46,76,0,133,244
35072,"Oakville/Oakville"," 17B","Oakville",3,8,38,86,0,135,259
35072,"Oakville/Oakville"," 18","Oakville",2,10,98,120,1,231,470
35072,"Oakville/Oakville"," 19","Oakville",2,10,62,80,1,155,330
35072,"Oakville/Oakville"," 20","Oakville",2,7,130,88,0,227,459
35072,"Oakville/Oakville"," 21","Oakville",4,8,77,65,0,154,350
35072,"Oakville/Oakville"," 22","Oakville",0,8,95,74,1,178,264
35072,"Oakville/Oakville"," 23","Oakville",9,21,147,123,0,300,482
35072,"Oakville/Oakville"," 24","Oakville",7,16,96,109,1,229,339
35072,"Oakville/Oakville"," 25","Oakville",2,9,103,82,0,196,355
35072,"Oakville/Oakville"," 26","Oakville",7,16,110,55,1,189,319
35072,"Oakville/Oakville"," 27","Oakville",10,19,89,54,0,172,397
35072,"Oakville/Oakville"," 28","Oakville",3,13,150,98,2,266,467
35072,"Oakville/Oakville"," 29","Oakville",1,15,98,114,1,229,419
35072,"Oakville/Oakville"," 30","Oakville",4,13,97,98,0,212,371
35072,"Oakville/Oakville"," 31","Oakville",4,15,128,78,1,226,406
35072,"Oakville/Oakville"," 32","Oakville",6,18,118,64,2,208,441
35072,"Oakville/Oakville"," 33","Oakville",5,11,108,55,1,180,318
35072,"Oakville/Oakville"," 34","Oakville",1,13,76,51,0,141,296
35072,"Oakville/Oakville"," 35","Oakville",1,17,108,74,0,200,382
35072,"Oakville/Oakville"," 36","Oakville",5,13,121,88,1,228,451
35072,"Oakville/Oakville"," 37","Oakville",4,13,91,81,0,189,372
35072,"Oakville/Oakville"," 38","Oakville",4,17,84,96,0,201,362
35072,"Oakville/Oakville"," 39","Oakville",2,11,87,89,0,189,388
35072,"Oakville/Oakville"," 40","Oakville",2,16,88,73,1,180,346
35072,"Oakville/Oakville"," 41","Oakville",2,8,84,44,1,139,281
35072,"Oakville/Oakville"," 42","Oakville",8,4,114,122,1,249,487
35072,"Oakville/Oakville"," 43","Oakville",0,3,98,67,0,168,354
35072,"Oakville/Oakville"," 44","Oakville",0,4,41,90,0,135,279
35072,"Oakville/Oakville"," 45","Oakville",4,4,56,87,0,151,298
35072,"Oakville/Oakville"," 46","Oakville",5,1,59,126,1,192,354
35072,"Oakville/Oakville"," 47","Oakville",4,9,118,112,1,244,450
35072,"Oakville/Oakville"," 48","Oakville",1,4,76,87,1,169,307
35072,"Oakville/Oakville"," 49","Oakville",4,5,76,94,0,179,351
35072,"Oakville/Oakville"," 50","Oakville",6,14,112,88,0,220,356
35072,"Oakville/Oakville"," 51","Oakville",0,8,89,111,0,208,410
35072,"Oakville/Oakville"," 52","Oakville",2,12,89,100,2,205,396
35072,"Oakville/Oakville"," 53","Oakville",4,2,88,104,1,199,442
35072,"Oakville/Oakville"," 54","Oakville",4,13,103,128,2,250,460
35072,"Oakville/Oakville"," 55","Oakville",7,13,88,111,0,219,438
35072,"Oakville/Oakville"," 56","Oakville",5,8,86,110,2,211,400
