Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Ian Clark,Patrick Colford,Pat Finnigan,Tilly O'Neill-Gordon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 1","Rivière-du-Portage",9,68,132,16,0,225,357
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 2","Alnwick",4,66,87,24,0,181,305
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 3","Brantville",4,70,131,10,3,218,315
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 4","Brantville",1,46,120,7,2,176,272
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 5","Brantville",4,53,119,20,0,196,288
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 6","Brantville",2,93,144,5,1,245,362
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 7","Tabusintac 9",2,53,124,69,0,248,406
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 8","Covedell",4,30,133,46,1,214,385
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 9","Fairisle",3,22,111,22,2,160,315
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 10","Alnwick",3,39,116,23,0,181,333
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 11","Neguac",5,41,152,22,4,224,363
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 12","Lower Neguac",5,29,142,25,0,201,346
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 13","Neguac",1,18,90,25,0,134,261
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 14","Neguac",0,29,158,30,0,217,380
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 15","Burnt Church 14",1,82,129,1,1,214,404
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 16","Alnwick",2,75,137,4,0,218,368
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 17","Lagacéville",5,51,168,39,2,265,453
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 18","Saint-Wilfred",2,20,94,14,1,131,229
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 19","Lavillette",2,51,129,11,1,194,286
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 20","Alnwick",3,36,128,18,2,187,306
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 21","Lower Newcastle",2,29,66,82,1,180,364
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 22","Bartibog Bridge",2,18,81,106,2,209,399
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 23","Lower Newcastle",7,19,90,109,1,226,443
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 24","Miramichi",4,29,88,103,3,227,426
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 25","Miramichi",6,14,88,87,1,196,411
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 26","Miramichi",4,39,111,110,0,264,496
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 27","Miramichi",1,25,75,85,1,187,363
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 28","Miramichi",7,13,42,66,1,129,278
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 29","New Jersey",5,15,78,47,0,145,241
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 30","Escuminac",4,7,128,49,1,189,399
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 31","Escuminac",1,10,83,25,3,122,284
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 32","Baie-Sainte-Anne",1,23,133,33,1,191,398
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 33","Eel River Bridge",0,8,74,19,0,101,209
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 34","Hardwicke",0,4,76,51,1,132,259
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 35","Bay du Vin",5,21,83,126,2,237,377
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 36","Pointe-Sapin",12,36,231,40,3,322,421
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 37","St. Margarets",4,25,65,48,1,143,202
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 38","St. Margarets",7,22,55,124,0,208,369
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 39","Centre Napan",5,23,99,95,1,223,345
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 40","Lower Napan",6,25,76,84,1,192,319
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 41","Glenwood",8,32,92,123,3,258,435
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 42","Chatham",8,25,78,96,2,209,348
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 43","Miramichi",9,29,65,91,0,194,342
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 44","Miramichi",3,32,67,99,0,201,352
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 45","Miramichi",6,44,94,96,2,242,434
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 46","Miramichi",5,34,86,90,0,215,439
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 47","Miramichi",6,47,81,69,0,203,389
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 48","Miramichi",7,23,80,90,1,201,414
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 49","Miramichi",7,36,88,82,0,213,428
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 50","Miramichi",6,34,74,94,0,208,448
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 51","Miramichi",10,15,80,74,0,179,416
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 52","Miramichi",10,29,90,70,2,201,426
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 53","Miramichi",4,14,80,89,2,189,405
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 54","Miramichi",3,21,74,46,1,145,354
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 55","Miramichi",5,44,82,111,1,243,445
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 56","Miramichi",5,30,107,93,1,236,364
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 57","Miramichi",3,31,84,108,1,227,348
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 58","Miramichi",0,45,80,65,0,190,457
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 59","Miramichi",3,39,95,77,1,215,456
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 60","Miramichi",2,26,82,68,2,180,481
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 61","Miramichi",9,30,85,71,0,195,446
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 62","Bellefond--Beaver Brook",5,38,136,86,5,270,414
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 63","Curventon",9,47,63,102,2,223,409
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 64","Maple Glen",4,14,55,35,1,109,264
