Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Simmi Saminder Kaur Dhillon,Leon Jensen,Margot Sangster,Lauren Southern,Mark Warawa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Langley--Aldergrove/Langley--Aldergrove"," 1","Walnut Grove",13,77,29,4,100,2,225,434
59016,"Langley--Aldergrove/Langley--Aldergrove"," 2","Walnut Grove",21,78,32,2,91,0,224,364
59016,"Langley--Aldergrove/Langley--Aldergrove"," 3","Walnut Grove",11,103,25,2,126,2,269,454
59016,"Langley--Aldergrove/Langley--Aldergrove"," 4","Walnut Grove",12,79,45,2,104,0,242,429
59016,"Langley--Aldergrove/Langley--Aldergrove"," 5","Walnut Grove",8,74,32,1,120,0,235,414
59016,"Langley--Aldergrove/Langley--Aldergrove"," 6","Langley",17,108,33,3,116,0,277,466
59016,"Langley--Aldergrove/Langley--Aldergrove"," 7","Langley",12,123,41,3,139,0,318,544
59016,"Langley--Aldergrove/Langley--Aldergrove"," 8","Langley",14,122,32,4,100,0,272,478
59016,"Langley--Aldergrove/Langley--Aldergrove"," 9","Walnut Grove",8,97,38,1,99,1,244,400
59016,"Langley--Aldergrove/Langley--Aldergrove"," 10","Langley",8,90,21,3,135,1,258,445
59016,"Langley--Aldergrove/Langley--Aldergrove"," 11","Langley",7,118,24,0,50,0,199,491
59016,"Langley--Aldergrove/Langley--Aldergrove"," 12A","Walnut Grove",3,76,18,2,62,0,161,261
59016,"Langley--Aldergrove/Langley--Aldergrove"," 12B","Walnut Grove",1,14,5,0,25,0,45,74
59016,"Langley--Aldergrove/Langley--Aldergrove"," 12C","Walnut Grove",2,18,4,0,42,0,66,105
59016,"Langley--Aldergrove/Langley--Aldergrove"," 13","Walnut Grove",14,88,26,1,148,0,277,440
59016,"Langley--Aldergrove/Langley--Aldergrove"," 14","Langley",20,88,31,2,142,0,283,456
59016,"Langley--Aldergrove/Langley--Aldergrove"," 15","Langley",3,96,21,1,104,2,227,382
59016,"Langley--Aldergrove/Langley--Aldergrove"," 16","Langley",6,84,38,1,116,0,245,436
59016,"Langley--Aldergrove/Langley--Aldergrove"," 17","Langley",14,103,32,2,132,0,283,477
59016,"Langley--Aldergrove/Langley--Aldergrove"," 18","Langley",15,101,31,1,93,0,241,404
59016,"Langley--Aldergrove/Langley--Aldergrove"," 19","Langley",14,92,34,3,66,0,209,415
59016,"Langley--Aldergrove/Langley--Aldergrove"," 20","Langley",11,65,23,2,81,0,182,317
59016,"Langley--Aldergrove/Langley--Aldergrove"," 21","Langley",12,84,29,0,113,0,238,449
59016,"Langley--Aldergrove/Langley--Aldergrove"," 22","Langley",17,96,46,2,114,0,275,533
59016,"Langley--Aldergrove/Langley--Aldergrove"," 23","Langley",9,79,19,2,56,0,165,297
59016,"Langley--Aldergrove/Langley--Aldergrove"," 24","Walnut Grove",11,73,38,2,105,0,229,429
59016,"Langley--Aldergrove/Langley--Aldergrove"," 25","Langley",16,97,39,1,130,0,283,454
59016,"Langley--Aldergrove/Langley--Aldergrove"," 26","Langley",12,97,53,2,112,1,277,422
59016,"Langley--Aldergrove/Langley--Aldergrove"," 27","Langley",8,132,28,2,114,1,285,488
59016,"Langley--Aldergrove/Langley--Aldergrove"," 28","Langley",10,116,42,2,135,0,305,472
59016,"Langley--Aldergrove/Langley--Aldergrove"," 29","Walnut Grove",18,118,43,3,114,3,299,481
59016,"Langley--Aldergrove/Langley--Aldergrove"," 30","Langley",15,131,48,1,107,0,302,495
59016,"Langley--Aldergrove/Langley--Aldergrove"," 31","Langley",9,139,37,4,116,0,305,499
59016,"Langley--Aldergrove/Langley--Aldergrove"," 32","Walnut Grove",8,97,25,1,102,0,233,430
59016,"Langley--Aldergrove/Langley--Aldergrove"," 33","Walnut Grove",13,141,29,4,117,3,307,528
59016,"Langley--Aldergrove/Langley--Aldergrove"," 34","Forest Knolls",10,105,37,1,178,0,331,519
59016,"Langley--Aldergrove/Langley--Aldergrove"," 35","Walnut Grove",13,89,30,2,98,0,232,459
59016,"Langley--Aldergrove/Langley--Aldergrove"," 36","Fort Langley",23,108,40,2,68,1,242,369
59016,"Langley--Aldergrove/Langley--Aldergrove"," 37","Fort Langley",21,148,52,6,144,0,371,555
59016,"Langley--Aldergrove/Langley--Aldergrove"," 38","Walnut Grove",18,111,43,3,114,0,289,414
59016,"Langley--Aldergrove/Langley--Aldergrove"," 39","Walnut Grove",14,113,27,1,122,2,279,407
59016,"Langley--Aldergrove/Langley--Aldergrove"," 40","McMillan Island 6",32,139,50,0,86,1,308,478
59016,"Langley--Aldergrove/Langley--Aldergrove"," 41","Fort Langley",28,100,67,2,144,0,341,497
59016,"Langley--Aldergrove/Langley--Aldergrove"," 42","Forest Knolls",11,94,19,3,172,0,299,478
59016,"Langley--Aldergrove/Langley--Aldergrove"," 43","Forest Knolls",21,87,22,0,116,0,246,389
59016,"Langley--Aldergrove/Langley--Aldergrove"," 44","Forest Knolls",15,69,25,0,135,1,245,419
59016,"Langley--Aldergrove/Langley--Aldergrove"," 45","Glen Valley",13,61,17,2,158,1,252,396
59016,"Langley--Aldergrove/Langley--Aldergrove"," 46A","Walnut Grove",12,137,25,1,116,2,293,507
59016,"Langley--Aldergrove/Langley--Aldergrove"," 46B","Walnut Grove",10,128,26,3,120,0,287,511
59016,"Langley--Aldergrove/Langley--Aldergrove"," 47","Walnut Grove",9,126,27,0,114,1,277,517
59016,"Langley--Aldergrove/Langley--Aldergrove"," 48A","Walnut Grove",11,161,34,2,100,0,308,502
59016,"Langley--Aldergrove/Langley--Aldergrove"," 48B","Walnut Grove",9,136,41,0,114,0,300,528
59016,"Langley--Aldergrove/Langley--Aldergrove"," 49","Milner",7,159,38,4,114,0,322,567
59016,"Langley--Aldergrove/Langley--Aldergrove"," 50","Forest Knolls",10,154,25,2,168,0,359,640
59016,"Langley--Aldergrove/Langley--Aldergrove"," 51A","Milner",10,85,22,2,91,0,210,405
59016,"Langley--Aldergrove/Langley--Aldergrove"," 51B","Milner",4,76,38,4,94,1,217,397
59016,"Langley--Aldergrove/Langley--Aldergrove"," 52","Milner",4,119,39,4,131,2,299,529
59016,"Langley--Aldergrove/Langley--Aldergrove"," 53","Milner",12,210,43,3,165,1,434,660
59016,"Langley--Aldergrove/Langley--Aldergrove"," 54A","Milner",12,121,20,3,115,0,271,425
59016,"Langley--Aldergrove/Langley--Aldergrove"," 54B","Milner",3,105,23,1,105,0,237,417
59016,"Langley--Aldergrove/Langley--Aldergrove"," 55","Langley",13,148,35,5,126,1,328,624
59016,"Langley--Aldergrove/Langley--Aldergrove"," 56","Langley",8,85,27,2,128,1,251,475
59016,"Langley--Aldergrove/Langley--Aldergrove"," 57","Langley",6,64,24,2,85,0,181,297
59016,"Langley--Aldergrove/Langley--Aldergrove"," 58","Langley",8,97,18,1,149,2,275,478
59016,"Langley--Aldergrove/Langley--Aldergrove"," 59","Langley",9,86,35,1,145,0,276,422
59016,"Langley--Aldergrove/Langley--Aldergrove"," 60","Walnut Grove",2,100,14,2,113,0,231,368
59016,"Langley--Aldergrove/Langley--Aldergrove"," 61","Langley",8,102,30,0,68,1,209,377
59016,"Langley--Aldergrove/Langley--Aldergrove"," 62","Langley",3,94,36,5,103,2,243,465
59016,"Langley--Aldergrove/Langley--Aldergrove"," 63","Langley",6,71,19,3,97,1,197,372
59016,"Langley--Aldergrove/Langley--Aldergrove"," 64","Langley",13,154,41,2,96,0,306,535
59016,"Langley--Aldergrove/Langley--Aldergrove"," 65","Langley",9,125,35,1,106,1,277,550
59016,"Langley--Aldergrove/Langley--Aldergrove"," 66","Langley",14,141,39,5,106,0,305,618
59016,"Langley--Aldergrove/Langley--Aldergrove"," 67","Langley",7,143,36,4,115,1,306,604
59016,"Langley--Aldergrove/Langley--Aldergrove"," 68","Langley",10,94,30,2,105,0,241,462
59016,"Langley--Aldergrove/Langley--Aldergrove"," 69","Langley",8,107,43,1,72,2,233,431
59016,"Langley--Aldergrove/Langley--Aldergrove"," 70","Langley",11,120,25,3,88,0,247,444
59016,"Langley--Aldergrove/Langley--Aldergrove"," 71","Langley",7,110,34,2,137,2,292,552
59016,"Langley--Aldergrove/Langley--Aldergrove"," 72","Milner",22,72,26,3,186,2,311,489
59016,"Langley--Aldergrove/Langley--Aldergrove"," 73","Langley",17,124,37,4,241,0,423,650
59016,"Langley--Aldergrove/Langley--Aldergrove"," 74","Milner",9,63,29,3,108,0,212,359
59016,"Langley--Aldergrove/Langley--Aldergrove"," 75","Milner",8,71,20,1,167,0,267,485
59016,"Langley--Aldergrove/Langley--Aldergrove"," 76A","Langley",4,34,18,1,94,0,151,266
59016,"Langley--Aldergrove/Langley--Aldergrove"," 76B","Mobile poll/Bureau itinérant",1,38,17,2,77,0,135,138
59016,"Langley--Aldergrove/Langley--Aldergrove"," 77","Langley",6,71,37,0,155,1,270,474
59016,"Langley--Aldergrove/Langley--Aldergrove"," 78","Langley",10,77,29,0,126,1,243,377
59016,"Langley--Aldergrove/Langley--Aldergrove"," 79","Langley",5,61,23,2,72,0,163,280
59016,"Langley--Aldergrove/Langley--Aldergrove"," 80A","Langley",5,43,22,1,88,0,159,259
59016,"Langley--Aldergrove/Langley--Aldergrove"," 80B","Langley",3,22,19,0,61,2,107,133
59016,"Langley--Aldergrove/Langley--Aldergrove"," 81","Langley",11,87,36,0,145,0,279,406
59016,"Langley--Aldergrove/Langley--Aldergrove"," 82","Langley",5,108,31,3,188,0,335,495
59016,"Langley--Aldergrove/Langley--Aldergrove"," 83","Langley",14,98,32,3,173,0,320,538
59016,"Langley--Aldergrove/Langley--Aldergrove"," 84","Langley",12,109,43,1,119,2,286,489
59016,"Langley--Aldergrove/Langley--Aldergrove"," 85","Langley",8,90,36,4,176,2,316,485
59016,"Langley--Aldergrove/Langley--Aldergrove"," 86","Langley",20,119,33,3,179,1,355,581
59016,"Langley--Aldergrove/Langley--Aldergrove"," 87","Langley",21,96,38,2,113,0,270,504
59016,"Langley--Aldergrove/Langley--Aldergrove"," 88","Langley",15,86,26,3,154,0,284,461
59016,"Langley--Aldergrove/Langley--Aldergrove"," 89","Murrayville",3,67,10,2,108,1,191,335
59016,"Langley--Aldergrove/Langley--Aldergrove"," 90A","Murrayville",15,62,25,0,92,0,194,324
59016,"Langley--Aldergrove/Langley--Aldergrove"," 90B","Mobile poll/Bureau itinérant",3,25,24,5,67,2,126,139
59016,"Langley--Aldergrove/Langley--Aldergrove"," 91","Langley",9,72,15,0,119,2,217,386
59016,"Langley--Aldergrove/Langley--Aldergrove"," 92","Langley",10,105,42,3,128,2,290,510
59016,"Langley--Aldergrove/Langley--Aldergrove"," 93","Langley",7,59,23,1,160,0,250,398
59016,"Langley--Aldergrove/Langley--Aldergrove"," 94","Langley",14,100,43,3,131,0,291,477
59016,"Langley--Aldergrove/Langley--Aldergrove"," 95","Langley",12,77,34,3,78,0,204,328
59016,"Langley--Aldergrove/Langley--Aldergrove"," 96","Langley",9,58,28,2,72,0,169,286
59016,"Langley--Aldergrove/Langley--Aldergrove"," 97","Langley",8,98,40,0,91,1,238,371
59016,"Langley--Aldergrove/Langley--Aldergrove"," 98","Langley",6,82,26,1,85,3,203,386
59016,"Langley--Aldergrove/Langley--Aldergrove"," 99","Brookswood",18,101,33,2,99,0,253,406
59016,"Langley--Aldergrove/Langley--Aldergrove"," 100","Langley",13,88,34,7,117,1,260,432
