Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dennis Adamson,Arthur Alexander Green,Wyatt Scott,Jati Sidhu,Brad Vis,Elaine Wismer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 1","Gold Bridge",33,12,0,28,30,0,0,103,157
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 2A","Lillooet",Merged with No./Fusionné avec le n°10,,,,,,,,298
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 2B","Shalalth",80,17,1,38,9,0,0,145,146
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 3","Lillooet",86,10,2,30,43,0,1,172,348
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 4","Fountain Valley",84,4,0,11,8,0,0,107,149
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 5","Lillooet",77,14,8,55,57,1,0,212,276
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 6","Lillooet",67,17,1,49,69,0,0,203,391
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 7","Lillooet",44,12,3,29,28,1,2,119,294
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 8","Lillooet",80,11,3,50,33,0,1,178,372
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 9A","Lillooet",85,7,1,18,21,0,0,132,364
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 9B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,12
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 10","Lillooet",66,9,4,55,53,0,0,187,404
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 11","Cache Creek",24,16,1,48,71,0,0,160,343
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 12","Cache Creek",20,11,4,53,88,2,1,179,353
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 13","Cache Creek",43,6,0,47,50,0,0,146,372
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 14","Cache Creek",6,1,0,3,14,0,0,24,61
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 15","Walhachin",21,4,1,34,73,0,0,133,236
