Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Serge Brisson,Francis Drouin,Normand Laurin,Pierre Lemieux,Genevieve Malouin-Diraddo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1","Champlain",0,79,10,53,3,1,146,293
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 2","L'Orignal",1,124,12,49,3,3,192,417
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 3","L'Orignal",0,70,14,40,3,0,127,257
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 4","L'Orignal",0,91,22,56,0,1,170,293
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 5","L'Ange-Gardien",0,123,44,54,2,6,229,472
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 6","Champlain",3,144,22,50,2,2,223,423
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 7","Champlain",0,81,19,67,5,1,173,309
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 8","Hawkesbury",0,88,16,58,1,0,163,479
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 9","Hawkesbury",0,84,15,43,4,2,148,392
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 10","Hawkesbury",1,61,18,38,2,3,123,381
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 11","Hawkesbury",2,83,18,48,2,2,155,415
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 12","Hawkesbury",0,79,11,32,2,1,125,431
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 13","Hawkesbury",1,68,9,43,0,6,127,352
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 14","Hawkesbury",0,94,26,49,1,1,171,405
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 15","Champlain",0,113,23,54,1,1,192,460
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 16","Hawkesbury",3,88,7,57,4,1,160,426
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 17","Hawkesbury",0,105,18,37,9,3,172,428
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 18","Hawkesbury",0,94,10,36,0,1,141,401
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 19","Hawkesbury",0,86,11,39,1,1,138,378
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 20","Hawkesbury",3,81,23,64,2,1,174,399
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 21","Hawkesbury",1,74,18,44,1,0,138,356
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 22","Hawkesbury",1,164,26,77,1,3,272,507
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 23","Hawkesbury",0,124,18,56,3,0,201,493
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 24","Hawkesbury",1,114,34,75,4,1,229,467
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 25","Hawkesbury",0,59,5,40,0,0,104,292
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 26","Hawkesbury",1,78,7,34,4,1,125,405
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 27","Hawkesbury",0,118,11,49,4,2,184,393
