Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claude Brunelle,Maxime Charron,Julie Demers,Emmanuel Dubourg,Dolmine Laguerre,Gilles Léveillé,Jean-Marie Floriant Ndzana,Jason Potasso-Justino,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Bourassa/Bourassa"," 1","Montréal-Nord",1,5,6,152,31,50,0,33,8,286,456
24015,"Bourassa/Bourassa"," 2","Montréal-Nord",1,6,16,148,22,40,3,23,12,271,531
24015,"Bourassa/Bourassa"," 3","Montréal-Nord",6,4,2,162,45,89,0,41,6,355,548
24015,"Bourassa/Bourassa"," 4","Montréal-Nord",0,4,4,116,49,37,0,46,4,260,424
24015,"Bourassa/Bourassa"," 5","Montréal-Nord",2,5,9,177,42,54,2,21,14,326,518
24015,"Bourassa/Bourassa"," 6","Montréal-Nord",1,3,3,70,15,25,0,9,7,133,432
24015,"Bourassa/Bourassa"," 7","Montréal-Nord",0,0,1,130,19,27,0,4,3,184,417
24015,"Bourassa/Bourassa"," 8","Montréal-Nord",0,3,3,77,15,22,1,2,5,128,390
24015,"Bourassa/Bourassa"," 9","Montréal-Nord",1,3,0,82,11,27,0,15,5,144,393
24015,"Bourassa/Bourassa"," 10","Montréal-Nord",1,3,3,86,13,15,0,8,2,131,403
24015,"Bourassa/Bourassa"," 11","Montréal-Nord",0,3,0,55,18,16,1,9,3,105,356
24015,"Bourassa/Bourassa"," 12","Montréal-Nord",0,3,1,57,30,30,0,7,3,131,411
24015,"Bourassa/Bourassa"," 13","Montréal-Nord",0,2,1,85,17,24,0,14,5,148,368
24015,"Bourassa/Bourassa"," 14","Montréal-Nord",2,4,3,122,21,25,0,18,2,197,463
24015,"Bourassa/Bourassa"," 15","Montréal-Nord",0,4,2,74,13,9,1,5,1,109,391
24015,"Bourassa/Bourassa"," 16","Montréal-Nord",0,3,2,134,26,25,0,38,5,233,396
24015,"Bourassa/Bourassa"," 17","Montréal-Nord",1,3,8,114,14,34,1,8,3,186,409
24015,"Bourassa/Bourassa"," 18","Montréal-Nord",2,1,3,150,20,17,0,27,1,221,390
24015,"Bourassa/Bourassa"," 19","Montréal-Nord",1,5,3,126,17,8,0,24,4,188,380
24015,"Bourassa/Bourassa"," 20","Montréal-Nord",0,7,5,96,23,28,0,21,1,181,369
24015,"Bourassa/Bourassa"," 21","Montréal-Nord",0,4,2,83,14,19,1,11,8,142,454
24015,"Bourassa/Bourassa"," 22","Montréal-Nord",1,5,4,117,32,43,1,24,12,239,627
24015,"Bourassa/Bourassa"," 23","Montréal-Nord",2,3,0,58,13,23,0,9,8,116,379
24015,"Bourassa/Bourassa"," 24","Montréal-Nord",0,1,0,74,8,19,0,4,0,106,370
24015,"Bourassa/Bourassa"," 25","Montréal-Nord",3,4,2,80,19,16,1,12,4,141,498
24015,"Bourassa/Bourassa"," 26","Montréal-Nord",1,4,7,91,31,39,1,19,6,199,533
24015,"Bourassa/Bourassa"," 27","Montréal-Nord",3,4,0,133,15,40,1,16,2,214,417
24015,"Bourassa/Bourassa"," 28","Montréal-Nord",0,4,3,139,25,10,0,33,9,223,414
24015,"Bourassa/Bourassa"," 29","Montréal-Nord",0,4,2,132,27,36,0,15,2,218,565
24015,"Bourassa/Bourassa"," 30","Montréal-Nord",1,8,1,77,28,23,1,15,4,158,358
24015,"Bourassa/Bourassa"," 31","Montréal-Nord",1,4,3,124,15,23,0,9,4,183,424
24015,"Bourassa/Bourassa"," 32","Montréal-Nord",1,3,2,104,20,32,0,3,5,170,422
24015,"Bourassa/Bourassa"," 33","Montréal-Nord",1,3,4,112,14,26,0,34,3,197,418
24015,"Bourassa/Bourassa"," 34","Montréal-Nord",0,3,0,63,14,16,0,10,2,108,296
24015,"Bourassa/Bourassa"," 35","Montréal-Nord",0,2,2,109,32,19,0,12,6,182,380
24015,"Bourassa/Bourassa"," 36","Montréal-Nord",1,1,0,118,19,7,0,13,2,161,355
24015,"Bourassa/Bourassa"," 37","Montréal-Nord",1,5,3,158,12,21,0,13,1,214,435
24015,"Bourassa/Bourassa"," 38","Montréal-Nord",3,2,1,140,20,20,1,10,1,198,388
24015,"Bourassa/Bourassa"," 39","Montréal-Nord",3,1,4,154,15,28,1,19,3,228,436
24015,"Bourassa/Bourassa"," 40","Montréal-Nord",0,2,3,86,18,19,0,12,3,143,284
24015,"Bourassa/Bourassa"," 41","Montréal-Nord",2,2,0,111,16,16,0,13,2,162,378
24015,"Bourassa/Bourassa"," 42","Montréal-Nord",1,7,6,71,18,20,0,27,3,153,333
24015,"Bourassa/Bourassa"," 43","Montréal-Nord",1,4,2,130,23,18,1,27,0,206,471
24015,"Bourassa/Bourassa"," 44","Montréal-Nord",1,1,4,139,14,17,2,28,4,210,441
24015,"Bourassa/Bourassa"," 45","Montréal-Nord",1,4,1,182,34,27,1,25,3,278,509
24015,"Bourassa/Bourassa"," 46","Montréal-Nord",3,7,0,138,23,20,0,13,2,206,472
24015,"Bourassa/Bourassa"," 47","Montréal-Nord",2,3,8,89,29,57,0,10,4,202,523
24015,"Bourassa/Bourassa"," 48","Montréal-Nord",0,1,1,70,14,21,0,10,7,124,487
24015,"Bourassa/Bourassa"," 49","Montréal-Nord",0,2,0,74,10,7,1,11,0,105,288
24015,"Bourassa/Bourassa"," 50","Montréal-Nord",0,3,1,128,23,27,1,12,3,198,450
24015,"Bourassa/Bourassa"," 51","Montréal-Nord",1,1,1,87,16,25,0,12,8,151,374
24015,"Bourassa/Bourassa"," 52","Montréal-Nord",2,1,1,91,33,19,0,10,6,163,423
24015,"Bourassa/Bourassa"," 53","Montréal-Nord",0,3,0,104,21,28,0,19,6,181,453
24015,"Bourassa/Bourassa"," 54","Montréal-Nord",0,7,6,140,39,27,0,21,13,253,490
24015,"Bourassa/Bourassa"," 55","Montréal-Nord",1,3,3,134,38,41,1,25,3,249,463
24015,"Bourassa/Bourassa"," 56","Montréal-Nord",1,3,1,109,24,29,0,19,3,189,511
24015,"Bourassa/Bourassa"," 57","Montréal-Nord",3,3,8,128,27,43,0,28,5,245,469
24015,"Bourassa/Bourassa"," 58","Montréal-Nord",2,3,0,176,20,21,0,42,2,266,468
24015,"Bourassa/Bourassa"," 59","Montréal-Nord",0,4,2,110,29,36,0,20,1,202,422
24015,"Bourassa/Bourassa"," 60","Montréal-Nord",1,3,7,109,39,15,0,34,2,210,451
24015,"Bourassa/Bourassa"," 61","Montréal-Nord",1,1,4,149,33,26,0,24,1,239,473
24015,"Bourassa/Bourassa"," 62","Montréal-Nord",2,5,11,155,53,32,0,45,5,308,450
24015,"Bourassa/Bourassa"," 63","Montréal-Nord",2,13,5,106,43,41,0,20,3,233,438
24015,"Bourassa/Bourassa"," 64","Montréal-Nord",2,4,6,102,33,60,0,28,4,239,436
