Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura Casselman,Kevin Clarke,Paul Coulbeck,Kathleen Holding,Chuck Konkel,John McKay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 1","Scarborough",20,0,0,2,63,164,0,249,516
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 2","Scarborough",14,1,1,4,68,115,0,203,413
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 3","Scarborough",10,0,0,2,47,113,1,173,435
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 4","Scarborough",22,1,0,3,42,104,0,172,382
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 5","Scarborough",17,0,1,1,42,83,0,144,357
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 6","Scarborough",39,1,0,3,49,129,0,221,450
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 7","Scarborough",20,0,0,1,65,105,1,192,359
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 8","Scarborough",15,0,1,5,108,116,0,245,425
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 9","Scarborough",15,0,2,5,90,98,0,210,375
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 10","Scarborough",20,0,0,2,80,98,2,202,329
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 11","Scarborough",23,1,0,0,33,101,1,159,394
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 12","Scarborough",40,1,1,6,71,123,2,244,403
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 13","Scarborough",14,1,1,1,68,94,0,179,326
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 14","Scarborough",21,0,3,2,75,106,1,208,413
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 15","Scarborough",27,3,1,5,16,138,0,190,452
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 16","Scarborough",43,1,1,3,38,203,0,289,626
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 17","Scarborough",15,0,1,3,27,120,0,166,421
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 18","Scarborough",12,0,1,5,34,123,1,176,347
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 19","Scarborough",18,0,0,1,40,103,0,162,354
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 20","Scarborough",29,3,1,3,59,134,1,230,472
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 21","Scarborough",12,0,0,1,19,82,2,116,267
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 22","Scarborough",18,2,3,2,62,138,1,226,479
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 23","Scarborough",27,0,0,5,58,122,0,212,442
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 24","Scarborough",38,0,0,0,25,81,1,145,279
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 25","Scarborough",29,0,0,1,56,112,1,199,334
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 26","Scarborough",19,0,0,1,60,119,0,199,370
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 27","Scarborough",28,0,0,0,55,135,0,218,384
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 28","Scarborough",39,0,1,0,35,100,3,178,389
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 29","Scarborough",26,1,1,2,65,115,2,212,431
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 30","Scarborough",27,0,2,4,70,101,0,204,450
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 31","Scarborough",14,0,1,0,46,64,0,125,321
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 32","Scarborough",29,1,3,7,71,122,2,235,485
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 33","Scarborough",33,1,3,5,73,133,1,249,524
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 34","Scarborough",43,1,0,2,76,133,0,255,527
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 35","Scarborough",14,1,0,3,48,110,2,178,378
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 36","Scarborough",31,2,1,1,52,103,2,192,382
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 37","Scarborough",25,0,3,2,37,152,2,221,425
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 38","Scarborough",34,1,1,4,67,131,2,240,457
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 39","Scarborough",37,1,1,4,40,182,0,265,532
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 40","Scarborough",22,6,0,1,58,115,1,203,499
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 41","Scarborough",14,2,1,2,31,75,1,126,321
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 42","Scarborough",31,1,0,5,53,132,0,222,396
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 43","Scarborough",23,2,0,1,36,118,1,181,429
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 44","Scarborough",42,1,1,2,59,124,0,229,410
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 45","Scarborough",28,1,0,3,74,94,0,200,437
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 46","Scarborough",23,0,2,4,72,109,0,210,417
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 47","Scarborough",25,0,0,1,22,106,1,155,344
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 48","Scarborough",29,0,3,11,89,133,1,266,434
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 49","Scarborough",23,0,1,12,70,134,0,240,391
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 50","Scarborough",36,0,0,5,87,138,0,266,397
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 51","Scarborough",21,0,0,8,70,100,1,200,322
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 52","Scarborough",22,0,0,5,103,159,1,290,499
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 53","Scarborough",21,1,2,3,51,85,0,163,287
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 54","Scarborough",31,2,2,6,105,124,1,271,465
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 55","Scarborough",33,1,0,6,63,122,3,228,500
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 56","Scarborough",28,0,1,10,81,121,0,241,487
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 57","Scarborough",37,1,1,6,80,104,0,229,392
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 58","Scarborough",20,0,0,3,45,86,1,155,313
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 59","Scarborough",35,0,0,4,58,140,0,237,440
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 60","Scarborough",18,0,0,2,55,93,2,170,388
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 61","Scarborough",38,0,0,4,39,130,1,212,479
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 62","Scarborough",31,0,1,1,37,133,0,203,547
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 63","Scarborough",8,1,0,2,36,94,0,141,345
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 64","Scarborough",29,1,0,2,43,146,1,222,486
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 65","Scarborough",22,1,1,3,39,99,6,171,338
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 66","Scarborough",28,0,0,1,50,79,0,158,286
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 67","Scarborough",19,1,1,1,59,120,0,201,439
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 68","Scarborough",22,2,1,5,63,117,0,210,452
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 69","Scarborough",22,2,3,0,61,127,1,216,441
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 70","Scarborough",31,1,1,1,49,130,0,213,396
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 71","Scarborough",29,1,0,3,59,133,0,225,426
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 72","Scarborough",21,1,0,1,36,133,0,192,358
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 73","Scarborough",28,1,0,4,44,139,0,216,435
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 74","Scarborough",21,2,0,2,38,148,1,212,443
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 75","Scarborough",27,1,1,2,60,115,0,206,350
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 76","Scarborough",9,1,0,0,46,108,1,165,350
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 77","Scarborough",37,1,3,1,36,150,2,230,554
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 78","Scarborough",16,2,0,1,63,103,0,185,432
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 79","Scarborough",15,4,0,4,58,161,0,242,448
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 80","Scarborough",27,2,1,4,58,149,0,241,465
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 81","Scarborough",27,1,1,7,74,170,0,280,434
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 82","Scarborough",16,0,0,1,64,124,0,205,386
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 83","Scarborough",23,0,0,2,53,101,0,179,310
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 84","Scarborough",12,0,1,6,53,117,1,190,375
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 85","Scarborough",26,0,0,0,76,140,1,243,443
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 86","Scarborough",32,1,1,8,108,140,0,290,505
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 87","Scarborough",31,1,0,8,73,136,2,251,481
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 88","Scarborough",23,1,0,3,79,87,4,197,351
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 89","Scarborough",39,0,3,4,66,106,0,218,463
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 90","Scarborough",8,4,2,2,99,99,1,215,375
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 91","Scarborough",30,0,1,2,58,99,0,190,412
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 92","Scarborough",33,1,2,3,59,114,1,213,432
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 93","Scarborough",30,1,0,2,83,109,0,225,390
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 94","Scarborough",17,0,2,2,40,104,0,165,358
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 95","Scarborough",12,2,2,0,21,159,3,199,459
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 96","Scarborough",21,2,0,3,47,87,0,160,316
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 97","Scarborough",21,0,0,1,28,153,0,203,371
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 98","Scarborough",9,2,1,1,27,123,2,165,425
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 99","Scarborough",11,0,0,1,22,194,0,228,361
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 100","Scarborough",12,0,0,0,4,214,0,230,436
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 101","Scarborough",20,0,1,1,29,98,2,151,291
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 102","Scarborough",23,0,0,5,75,157,1,261,593
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 103","Scarborough",30,0,0,8,64,164,2,268,467
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 104","Scarborough",14,0,0,5,70,164,1,254,446
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 105","Scarborough",43,0,1,2,80,156,5,287,488
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 106","Scarborough",37,1,0,2,80,159,1,280,479
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 107","Scarborough",22,2,1,8,22,88,1,144,352
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 108","Scarborough",21,0,0,2,32,84,0,139,245
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 109","Scarborough",36,2,1,1,35,154,1,230,475
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 110","Scarborough",23,1,0,1,33,141,3,202,511
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 111","Scarborough",33,1,0,1,28,209,1,273,497
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 112","Scarborough",26,4,2,0,21,172,4,229,474
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 113","Scarborough",32,1,0,6,49,226,2,316,672
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 114","Scarborough",21,0,0,6,53,104,0,184,389
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 115","Scarborough",28,0,2,7,103,165,0,305,454
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 116","Scarborough",11,0,1,3,81,153,0,249,481
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 117","Scarborough",35,1,0,5,62,117,2,222,520
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 118","Scarborough",19,0,1,7,77,137,0,241,418
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 119","Scarborough",18,1,0,6,102,129,0,256,391
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 120","Scarborough",33,1,0,1,67,151,1,254,430
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 400","Scarborough",Merged with No./Fusionné avec le n°404,,,,,,,,179
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 401","Scarborough",Merged with No./Fusionné avec le n°403,,,,,,,,161
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 402","Scarborough",21,3,2,2,39,82,0,149,294
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 403","Scarborough",27,0,0,1,13,109,4,154,205
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 404","Scarborough",35,0,0,6,17,107,1,166,244
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 405","Scarborough",14,0,1,1,20,113,1,150,330
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 406","Scarborough",33,1,0,1,50,204,1,290,465
