Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ed Crewson,David Allan Tilson,Nancy Urekar,Rehya Yazbek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35022,"Dufferin--Caledon/Dufferin--Caledon"," 1","Mulmur",78,95,26,14,0,213,405
35022,"Dufferin--Caledon/Dufferin--Caledon"," 2","Honeywood (Mulmur)",79,78,19,19,0,195,423
35022,"Dufferin--Caledon/Dufferin--Caledon"," 3","Mulmur",68,64,19,7,0,158,301
35022,"Dufferin--Caledon/Dufferin--Caledon"," 4","Mulmur - Mansfield",56,63,22,12,0,153,287
35022,"Dufferin--Caledon/Dufferin--Caledon"," 5A","Mulmur - Violet Hill",64,99,20,13,1,197,364
35022,"Dufferin--Caledon/Dufferin--Caledon"," 5B","Mulmur - Violet Hill",83,114,11,19,1,228,434
35022,"Dufferin--Caledon/Dufferin--Caledon"," 6","Melancthon",79,66,26,11,0,182,345
35022,"Dufferin--Caledon/Dufferin--Caledon"," 7","Horning's Mills",84,110,16,22,3,235,393
35022,"Dufferin--Caledon/Dufferin--Caledon"," 8A","Mulmur",44,57,15,5,1,122,247
35022,"Dufferin--Caledon/Dufferin--Caledon"," 8B","Mulmur",66,41,22,3,0,132,257
35022,"Dufferin--Caledon/Dufferin--Caledon"," 9","Melancthon",71,84,12,13,1,181,433
35022,"Dufferin--Caledon/Dufferin--Caledon"," 10","Melancthon",44,73,7,13,0,137,244
35022,"Dufferin--Caledon/Dufferin--Caledon"," 11","Melancthon",42,54,6,14,0,116,267
35022,"Dufferin--Caledon/Dufferin--Caledon"," 12","Melancthon Southeast",91,99,13,13,2,218,379
35022,"Dufferin--Caledon/Dufferin--Caledon"," 13A","Shelburne",98,74,7,18,1,198,404
35022,"Dufferin--Caledon/Dufferin--Caledon"," 13B","Shelburne",69,60,9,13,1,152,325
35022,"Dufferin--Caledon/Dufferin--Caledon"," 14","Shelburne",85,66,11,15,1,178,412
35022,"Dufferin--Caledon/Dufferin--Caledon"," 15","Shelburne",110,77,16,17,2,222,430
35022,"Dufferin--Caledon/Dufferin--Caledon"," 16A","Shelburne",84,82,12,12,0,190,430
35022,"Dufferin--Caledon/Dufferin--Caledon"," 16B","Shelburne",86,70,4,13,0,173,394
35022,"Dufferin--Caledon/Dufferin--Caledon"," 17","Shelburne",76,95,19,19,1,210,413
35022,"Dufferin--Caledon/Dufferin--Caledon"," 18","Shelburne",79,96,14,19,1,209,461
35022,"Dufferin--Caledon/Dufferin--Caledon"," 19","Shelburne",104,81,16,28,0,229,477
35022,"Dufferin--Caledon/Dufferin--Caledon"," 20","Shelburne",67,101,24,20,0,212,381
35022,"Dufferin--Caledon/Dufferin--Caledon"," 21","Shelburne",81,79,17,13,1,191,396
35022,"Dufferin--Caledon/Dufferin--Caledon"," 22","Amaranth",77,90,21,16,0,204,393
