Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Myriam Beaulieu,Laurier Busque,Marc Desmarais,Antoine Dubois,Olivier Nolin,Alain Rayes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 1","Saint-Louis-de-Blandford",24,4,26,2,19,57,4,136,252
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 2","Saint-Louis-de-Blandford",32,7,34,1,39,78,4,195,321
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 3","Saint-Louis-de-Blandford",24,1,27,1,23,42,4,122,224
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 4","Maddington",42,3,39,0,36,60,8,188,392
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 5","Maddington",41,0,30,3,50,98,5,227,336
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 6","Daveluyville",30,0,37,0,22,59,0,148,333
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 7","Sainte-Anne-du-Sault",38,0,33,1,39,87,6,204,376
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 8","Sainte-Anne-du-Sault",18,3,28,0,17,58,3,127,244
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 9","Sainte-Anne-du-Sault",13,1,43,2,25,66,3,153,306
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 10","Sainte-Anne-du-Sault",21,4,28,0,17,49,2,121,234
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 11","Saint-Rosaire",42,5,42,1,25,89,1,205,327
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 12","Saint-Rosaire",39,5,35,0,25,87,3,194,329
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 13","Victoriaville",43,2,44,1,23,74,6,193,380
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 14","Victoriaville",40,4,46,3,28,67,2,190,368
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 15","Victoriaville",36,0,44,3,22,116,4,225,419
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 16","Victoriaville",30,1,57,0,28,72,5,193,367
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 17","Victoriaville",55,0,43,0,34,95,6,233,509
