Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvonne Jones,Peter Penashue,Edward Rudkowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10004,Labrador/Labrador,1,Nain,145,18,18,1,182,309
10004,Labrador/Labrador,2,Nain,189,14,26,5,234,443
10004,Labrador/Labrador,3,Natuashish,51,42,27,0,120,474
10004,Labrador/Labrador,4,Hopedale,197,18,10,3,228,431
10004,Labrador/Labrador,5,Postville,62,9,5,0,76,140
10004,Labrador/Labrador,6,Makkovik,121,9,12,1,143,263
10004,Labrador/Labrador,7,Rigolet,107,12,8,0,127,215
10004,Labrador/Labrador,8,North West River,181,26,40,0,247,453
10004,Labrador/Labrador,9,Sheshatshiu,15,64,5,0,84,292
10004,Labrador/Labrador,10,Sheshatshiu,58,117,24,0,199,602
10004,Labrador/Labrador,11,Happy Valley-Goose Bay,135,39,20,0,194,387
10004,Labrador/Labrador,12,Happy Valley-Goose Bay,175,39,24,1,239,454
10004,Labrador/Labrador,13,Happy Valley-Goose Bay,136,33,31,0,200,412
10004,Labrador/Labrador,14,Happy Valley-Goose Bay,165,65,45,1,276,496
10004,Labrador/Labrador,15,Happy Valley-Goose Bay,177,46,35,1,259,528
10004,Labrador/Labrador,16,Happy Valley-Goose Bay,110,40,19,1,170,372
10004,Labrador/Labrador,17,Happy Valley-Goose Bay,138,39,25,0,202,407
10004,Labrador/Labrador,18,Happy Valley-Goose Bay,112,26,18,2,158,357
10004,Labrador/Labrador,19,Happy Valley-Goose Bay,150,40,30,1,221,423
10004,Labrador/Labrador,20,Happy Valley-Goose Bay,161,62,27,0,250,436
10004,Labrador/Labrador,21,Happy Valley-Goose Bay,141,25,34,2,202,464
10004,Labrador/Labrador,22,Happy Valley-Goose Bay,115,25,19,2,161,355
10004,Labrador/Labrador,23,Happy Valley-Goose Bay,117,36,23,1,177,391
10004,Labrador/Labrador,24,Happy Valley-Goose Bay,109,49,29,1,188,350
10004,Labrador/Labrador,25,Mud Lake,20,6,6,1,33,40
10004,Labrador/Labrador,26,Cartwright,140,5,24,0,169,405
10004,Labrador/Labrador,27,Black Tickle,33,3,2,1,39,116
10004,Labrador/Labrador,28,Norman's Bay,5,2,0,0,7,24
10004,Labrador/Labrador,29,Charlottetown,104,15,7,0,126,253
10004,Labrador/Labrador,30,Pinsent Arm,27,0,1,0,28,44
10004,Labrador/Labrador,31,Williams Harbour,6,0,1,0,7,18
10004,Labrador/Labrador,32,St. Lewis,92,0,5,0,97,170
10004,Labrador/Labrador,33,Port Hope Simpson,124,10,10,0,144,330
10004,Labrador/Labrador,34,Mary's Harbour,120,5,17,0,142,295
10004,Labrador/Labrador,35,Lodge Bay,20,0,8,0,28,64
10004,Labrador/Labrador,36,Red Bay,50,19,7,0,76,166
10004,Labrador/Labrador,37,West St. Modeste,57,9,6,0,72,162
10004,Labrador/Labrador,38,Pinware,33,5,8,0,46,70
10004,Labrador/Labrador,39,L'Anse-au-Loup,117,41,14,1,173,476
10004,Labrador/Labrador,40,Forteau,121,12,9,0,142,337
10004,Labrador/Labrador,41,L'Anse-au-Clair,70,12,10,0,92,171
10004,Labrador/Labrador,42,Churchill Falls,88,17,13,0,118,187
10004,Labrador/Labrador,43,Churchill Falls,122,21,10,0,153,236
10004,Labrador/Labrador,44,Wabush,157,16,57,0,230,369
