Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Bell,Eduard Walter Hiebert,Suzanne Hrynyk,MaryAnn Mihychuk,David Reimer,Steven Stairs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 50","Winnipeg",87,1,43,120,2,4,1,258,435
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 51","Winnipeg",73,0,22,121,1,3,0,220,386
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 52","Winnipeg",83,0,28,119,1,5,0,236,434
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 53","Winnipeg",80,1,13,55,4,3,2,158,306
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 54A","Winnipeg",65,0,13,73,0,3,1,155,263
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 54B","Winnipeg",60,1,19,88,2,0,1,171,282
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 55A","Winnipeg",36,0,15,81,2,2,0,136,259
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 55B","Winnipeg",56,1,22,68,0,1,0,148,282
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 56","Winnipeg",87,0,26,87,3,3,0,206,398
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 57","Winnipeg",55,3,18,109,1,0,0,186,344
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 58","Winnipeg",119,0,24,107,2,4,0,256,463
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 59","Winnipeg",71,0,19,63,0,3,0,156,286
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 60","Winnipeg",91,1,32,81,4,1,0,210,403
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 61","Winnipeg",14,0,14,24,0,1,1,54,110
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 62","Winnipeg",22,1,2,30,0,0,1,56,215
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 63","Winnipeg",64,0,16,64,1,3,1,149,283
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 64","Winnipeg",84,0,24,77,5,2,0,192,404
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 65A","Winnipeg",14,0,9,26,0,2,0,51,101
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 65B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,65
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 66","Winnipeg",107,0,37,82,4,2,2,234,312
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 67","Winnipeg",70,0,37,108,2,3,0,220,385
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 68","Winnipeg",70,2,33,81,8,6,2,202,401
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 69","Winnipeg",51,0,28,114,1,5,0,199,378
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 70","Winnipeg",32,1,33,85,1,4,1,157,382
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 71","Winnipeg",69,0,31,95,0,1,0,196,435
