Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mario Beaulieu,Ben 97 Benoit,David J. Cox,Jean-François Larose,Guy Morissette,Ève Péclet,Geneviève Royer,Marie-Chantale Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 505","Mobile poll/Bureau itinérant",17,0,1,1,7,0,1,32,3,62,108
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 506","Mobile poll/Bureau itinérant",18,0,1,2,4,3,1,34,6,69,179
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 507","Mobile poll/Bureau itinérant",18,2,4,2,19,2,0,46,1,94,400
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 508","Mobile poll/Bureau itinérant",43,3,1,1,10,9,2,80,9,158,272
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 600","Montréal",341,4,13,0,88,321,5,201,10,983,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 601","Montréal",301,7,13,2,105,323,0,233,16,1000,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 602","Montréal",274,2,14,1,63,293,1,175,6,829,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 603","Montréal",229,1,11,2,79,237,0,168,16,743,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 604","Montréal",332,3,12,2,88,319,0,181,15,952,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 605","Montréal",310,4,8,0,81,236,0,159,13,811,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 606","Montréal/ Montréal-Est",234,5,10,1,67,271,0,152,8,748,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 607","Montréal",272,2,13,8,119,329,0,364,17,1124,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 608","Montréal",283,5,9,3,72,272,0,178,14,836,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 609","Montréal",277,2,16,0,85,282,1,177,6,846,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 610","Montréal",279,7,16,1,97,299,0,220,9,928,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 611","Montréal",254,3,25,2,112,293,3,284,16,992,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 612","Montréal",197,5,14,2,53,195,0,113,5,584,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île",,"Group 1/Groupe 1",18,2,4,0,32,27,0,80,15,178,137
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île",,"Group 2/Groupe 2",358,5,24,0,84,378,5,187,33,1074,
