Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shaun Chen,Aasia Khatoon,Eleni MacDonald,Ravinder Malhi,Raphael Rosch,Rathika Sitsabaiesan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Scarborough North/Scarborough-Nord"," 1","Scarborough",61,1,5,26,1,93,0,187,448
35096,"Scarborough North/Scarborough-Nord"," 2","Scarborough",68,0,3,21,1,61,0,154,352
35096,"Scarborough North/Scarborough-Nord"," 3","Scarborough",80,0,0,33,1,100,1,215,528
35096,"Scarborough North/Scarborough-Nord"," 4","Scarborough",101,0,1,23,0,74,1,200,450
35096,"Scarborough North/Scarborough-Nord"," 5","Scarborough",67,1,3,36,0,38,0,145,346
35096,"Scarborough North/Scarborough-Nord"," 6","Scarborough",98,0,1,40,0,97,1,237,567
35096,"Scarborough North/Scarborough-Nord"," 7","Scarborough",98,1,3,42,0,122,2,268,582
35096,"Scarborough North/Scarborough-Nord"," 8","Scarborough",119,0,2,41,1,122,0,285,575
35096,"Scarborough North/Scarborough-Nord"," 9","Scarborough",90,0,5,20,0,82,0,197,560
35096,"Scarborough North/Scarborough-Nord"," 10","Scarborough",87,1,2,40,0,13,5,148,462
35096,"Scarborough North/Scarborough-Nord"," 11","Scarborough",63,0,3,76,2,21,4,169,340
35096,"Scarborough North/Scarborough-Nord"," 12","Scarborough",103,0,1,39,0,16,1,160,326
35096,"Scarborough North/Scarborough-Nord"," 13","Scarborough",74,1,4,58,1,33,1,172,381
35096,"Scarborough North/Scarborough-Nord"," 14","Scarborough",73,0,0,65,2,44,2,186,370
35096,"Scarborough North/Scarborough-Nord"," 15","Scarborough",61,0,1,41,0,29,2,134,298
35096,"Scarborough North/Scarborough-Nord"," 16","Scarborough",84,1,3,47,1,25,1,162,406
35096,"Scarborough North/Scarborough-Nord"," 17","Scarborough",94,0,0,41,0,32,4,171,440
35096,"Scarborough North/Scarborough-Nord"," 18","Scarborough",91,0,3,49,0,54,1,198,461
35096,"Scarborough North/Scarborough-Nord"," 19","Scarborough",45,0,1,26,0,32,1,105,279
35096,"Scarborough North/Scarborough-Nord"," 20","Scarborough",60,1,3,50,1,23,0,138,320
35096,"Scarborough North/Scarborough-Nord"," 21","Scarborough",121,0,6,62,0,36,2,227,556
35096,"Scarborough North/Scarborough-Nord"," 22","Scarborough",63,0,7,70,0,17,0,157,319
35096,"Scarborough North/Scarborough-Nord"," 23","Scarborough",92,2,3,81,0,28,0,206,421
35096,"Scarborough North/Scarborough-Nord"," 24","Scarborough",126,0,3,73,2,42,0,246,453
35096,"Scarborough North/Scarborough-Nord"," 25","Scarborough",81,0,5,40,2,25,0,153,384
35096,"Scarborough North/Scarborough-Nord"," 26","Scarborough",82,0,1,48,1,24,2,158,331
35096,"Scarborough North/Scarborough-Nord"," 27","Scarborough",80,2,1,71,1,27,1,183,464
35096,"Scarborough North/Scarborough-Nord"," 28","Scarborough",53,0,10,52,0,8,0,123,307
35096,"Scarborough North/Scarborough-Nord"," 29","Scarborough",102,0,1,32,1,18,0,154,376
35096,"Scarborough North/Scarborough-Nord"," 30","Scarborough",94,3,5,53,1,14,0,170,431
35096,"Scarborough North/Scarborough-Nord"," 31","Scarborough",91,0,2,57,3,17,0,170,406
35096,"Scarborough North/Scarborough-Nord"," 32","Scarborough",69,0,0,59,3,18,0,149,430
35096,"Scarborough North/Scarborough-Nord"," 33","Scarborough",68,1,3,82,0,20,2,176,451
35096,"Scarborough North/Scarborough-Nord"," 34","Scarborough",68,2,0,75,0,17,2,164,353
35096,"Scarborough North/Scarborough-Nord"," 35","Scarborough",63,0,3,49,0,7,1,123,296
35096,"Scarborough North/Scarborough-Nord"," 36","Scarborough",92,1,5,89,1,19,1,208,374
35096,"Scarborough North/Scarborough-Nord"," 37","Scarborough",94,0,1,47,0,24,1,167,362
35096,"Scarborough North/Scarborough-Nord"," 38","Scarborough",57,0,4,54,5,9,1,130,342
35096,"Scarborough North/Scarborough-Nord"," 39","Scarborough",71,2,3,47,0,19,0,142,371
35096,"Scarborough North/Scarborough-Nord"," 40","Scarborough",55,0,5,73,1,22,1,157,372
35096,"Scarborough North/Scarborough-Nord"," 41","Scarborough",81,0,2,55,0,23,0,161,404
35096,"Scarborough North/Scarborough-Nord"," 42","Scarborough",62,0,4,44,1,19,1,131,366
35096,"Scarborough North/Scarborough-Nord"," 43","Scarborough",78,0,5,40,1,20,0,144,410
35096,"Scarborough North/Scarborough-Nord"," 44","Scarborough",75,0,3,74,2,37,1,192,434
35096,"Scarborough North/Scarborough-Nord"," 45","Scarborough",96,2,4,57,3,36,3,201,467
35096,"Scarborough North/Scarborough-Nord"," 46","Scarborough",56,1,1,48,0,10,1,117,356
35096,"Scarborough North/Scarborough-Nord"," 47","Scarborough",74,3,1,57,0,19,4,158,362
35096,"Scarborough North/Scarborough-Nord"," 48","Scarborough",59,1,4,44,1,22,3,134,269
35096,"Scarborough North/Scarborough-Nord"," 49","Scarborough",90,1,3,84,0,37,2,217,544
35096,"Scarborough North/Scarborough-Nord"," 50","Scarborough",91,2,1,53,0,26,2,175,340
35096,"Scarborough North/Scarborough-Nord"," 51","Scarborough",65,2,5,45,2,22,0,141,318
35096,"Scarborough North/Scarborough-Nord"," 52","Scarborough",72,1,3,43,0,24,0,143,333
35096,"Scarborough North/Scarborough-Nord"," 53","Scarborough",71,1,0,41,1,21,3,138,295
35096,"Scarborough North/Scarborough-Nord"," 54","Scarborough",76,0,4,50,0,21,1,152,401
35096,"Scarborough North/Scarborough-Nord"," 55","Scarborough",80,0,0,62,1,34,1,178,455
35096,"Scarborough North/Scarborough-Nord"," 56","Scarborough",88,0,3,74,3,44,1,213,432
35096,"Scarborough North/Scarborough-Nord"," 57","Scarborough",84,0,3,51,1,42,2,183,432
35096,"Scarborough North/Scarborough-Nord"," 58","Scarborough",76,0,3,41,0,57,0,177,385
35096,"Scarborough North/Scarborough-Nord"," 59","Scarborough",86,1,2,31,0,50,0,170,346
35096,"Scarborough North/Scarborough-Nord"," 60","Scarborough",63,1,1,41,0,58,1,165,367
35096,"Scarborough North/Scarborough-Nord"," 61","Scarborough",111,2,2,55,2,69,4,245,468
35096,"Scarborough North/Scarborough-Nord"," 62","Scarborough",98,0,1,58,0,32,0,189,440
35096,"Scarborough North/Scarborough-Nord"," 63","Scarborough",80,1,1,45,0,51,1,179,381
35096,"Scarborough North/Scarborough-Nord"," 64","Scarborough",65,1,1,42,2,35,0,146,271
35096,"Scarborough North/Scarborough-Nord"," 65","Scarborough",68,0,2,44,2,38,1,155,406
35096,"Scarborough North/Scarborough-Nord"," 66","Scarborough",51,1,1,30,0,69,2,154,358
35096,"Scarborough North/Scarborough-Nord"," 67","Scarborough",57,0,1,17,1,66,2,144,331
35096,"Scarborough North/Scarborough-Nord"," 68","Scarborough",50,0,2,49,0,41,0,142,354
35096,"Scarborough North/Scarborough-Nord"," 69","Scarborough",Merged with No./Fusionné avec le n°68,,,,,,,,64
35096,"Scarborough North/Scarborough-Nord"," 70","Scarborough",Void/Supprimé,,,,,,,,
35096,"Scarborough North/Scarborough-Nord"," 71","Scarborough",73,0,1,62,1,29,0,166,401
35096,"Scarborough North/Scarborough-Nord"," 72","Scarborough",87,0,3,50,1,37,1,179,528
35096,"Scarborough North/Scarborough-Nord"," 73","Scarborough",81,2,5,27,2,21,0,138,325
35096,"Scarborough North/Scarborough-Nord"," 74","Scarborough",79,2,6,52,0,14,0,153,389
35096,"Scarborough North/Scarborough-Nord"," 75","Scarborough",84,0,2,32,0,9,0,127,430
35096,"Scarborough North/Scarborough-Nord"," 76","Scarborough",98,0,1,53,2,39,2,195,349
35096,"Scarborough North/Scarborough-Nord"," 77","Scarborough",146,1,3,56,0,63,2,271,544
35096,"Scarborough North/Scarborough-Nord"," 78","Scarborough",115,0,1,42,1,62,0,221,420
35096,"Scarborough North/Scarborough-Nord"," 79","Scarborough",92,0,4,41,0,52,1,190,349
35096,"Scarborough North/Scarborough-Nord"," 80","Scarborough",178,10,4,43,1,75,0,311,532
35096,"Scarborough North/Scarborough-Nord"," 81","Scarborough",114,1,0,44,0,51,0,210,435
35096,"Scarborough North/Scarborough-Nord"," 82","Scarborough",68,0,1,25,0,82,0,176,485
35096,"Scarborough North/Scarborough-Nord"," 83","Scarborough",76,1,2,3,1,54,2,139,328
35096,"Scarborough North/Scarborough-Nord"," 84","Scarborough",89,1,1,45,2,95,2,235,507
35096,"Scarborough North/Scarborough-Nord"," 85","Scarborough",87,2,2,31,1,58,0,181,360
35096,"Scarborough North/Scarborough-Nord"," 86","Scarborough",145,2,6,47,0,86,1,287,558
35096,"Scarborough North/Scarborough-Nord"," 87","Scarborough",162,3,2,52,1,82,0,302,533
35096,"Scarborough North/Scarborough-Nord"," 88","Scarborough",84,2,0,21,0,34,0,141,334
35096,"Scarborough North/Scarborough-Nord"," 89","Scarborough",109,1,0,53,0,61,0,224,459
35096,"Scarborough North/Scarborough-Nord"," 90","Scarborough",131,3,0,49,1,52,0,236,511
35096,"Scarborough North/Scarborough-Nord"," 91","Scarborough",123,1,2,38,0,56,1,221,495
35096,"Scarborough North/Scarborough-Nord"," 92","Scarborough",127,0,4,46,1,78,0,256,523
35096,"Scarborough North/Scarborough-Nord"," 93","Scarborough",114,0,2,37,1,65,1,220,418
35096,"Scarborough North/Scarborough-Nord"," 94","Scarborough",162,0,3,20,0,35,1,221,475
35096,"Scarborough North/Scarborough-Nord"," 95","Scarborough",106,2,1,8,0,34,3,154,343
35096,"Scarborough North/Scarborough-Nord"," 96","Scarborough",129,2,1,26,0,58,0,216,377
35096,"Scarborough North/Scarborough-Nord"," 97","Scarborough",112,1,2,21,0,55,1,192,407
35096,"Scarborough North/Scarborough-Nord"," 98","Scarborough",94,0,3,38,0,53,0,188,438
35096,"Scarborough North/Scarborough-Nord"," 99","Scarborough",115,0,2,39,3,39,0,198,376
35096,"Scarborough North/Scarborough-Nord"," 100","Scarborough",83,0,2,44,0,53,1,183,361
35096,"Scarborough North/Scarborough-Nord"," 101","Scarborough",104,0,2,51,0,41,3,201,438
35096,"Scarborough North/Scarborough-Nord"," 102","Scarborough",110,2,6,36,0,33,0,187,381
35096,"Scarborough North/Scarborough-Nord"," 103","Scarborough",49,0,0,39,0,22,0,110,314
35096,"Scarborough North/Scarborough-Nord"," 104","Scarborough",96,0,2,34,1,62,3,198,528
35096,"Scarborough North/Scarborough-Nord"," 105","Scarborough",57,2,2,25,0,21,1,108,311
35096,"Scarborough North/Scarborough-Nord"," 106","Scarborough",58,0,0,52,1,26,0,137,353
35096,"Scarborough North/Scarborough-Nord"," 107","Scarborough",61,0,2,33,0,35,0,131,365
35096,"Scarborough North/Scarborough-Nord"," 108","Scarborough",92,1,3,42,2,43,0,183,392
35096,"Scarborough North/Scarborough-Nord"," 109","Scarborough",104,1,1,20,1,69,0,196,514
35096,"Scarborough North/Scarborough-Nord"," 110","Scarborough",125,0,2,59,1,48,1,236,444
35096,"Scarborough North/Scarborough-Nord"," 111","Scarborough",75,0,3,41,2,54,0,175,334
35096,"Scarborough North/Scarborough-Nord"," 112","Scarborough",109,0,2,72,0,31,2,216,495
35096,"Scarborough North/Scarborough-Nord"," 113","Scarborough",103,0,3,83,2,29,0,220,406
