Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Barlow,Tanya MacPherson,Cory Morgan,Marc Slingerland,Alison Thompson,Romy S. Tittel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,"Foothills/Foothills"," 70A","Okotoks",145,31,0,0,6,2,0,184,348
48022,"Foothills/Foothills"," 70B","Okotoks",166,21,0,0,13,1,0,201,351
48022,"Foothills/Foothills"," 71","Okotoks",199,9,1,0,10,2,0,221,474
48022,"Foothills/Foothills"," 72","Okotoks",183,23,0,0,8,15,1,230,420
48022,"Foothills/Foothills"," 73","Okotoks",180,17,1,0,1,7,0,206,407
48022,"Foothills/Foothills"," 74","Okotoks",212,28,4,1,16,12,0,273,505
48022,"Foothills/Foothills"," 75","Okotoks",149,24,0,2,7,6,0,188,338
48022,"Foothills/Foothills"," 76","Okotoks",184,52,1,0,13,13,0,263,511
48022,"Foothills/Foothills"," 77","Okotoks",145,47,2,0,10,5,0,209,456
48022,"Foothills/Foothills"," 78","Okotoks",169,36,1,0,14,12,0,232,451
48022,"Foothills/Foothills"," 79","Okotoks",157,24,2,0,7,1,2,193,363
48022,"Foothills/Foothills"," 80","Okotoks",186,44,1,6,4,4,1,246,478
48022,"Foothills/Foothills"," 81","Okotoks",157,23,3,0,7,4,0,194,422
48022,"Foothills/Foothills"," 82","Okotoks",188,37,4,2,9,8,0,248,453
48022,"Foothills/Foothills"," 83","Okotoks",159,45,2,0,15,9,0,230,462
48022,"Foothills/Foothills"," 84","Okotoks",229,60,0,0,15,4,1,309,554
48022,"Foothills/Foothills"," 85","Okotoks",245,42,2,0,17,9,0,315,575
48022,"Foothills/Foothills"," 86","Okotoks",188,35,1,0,8,4,0,236,425
48022,"Foothills/Foothills"," 87","Okotoks",195,31,1,0,7,4,2,240,421
48022,"Foothills/Foothills"," 88","Okotoks",167,55,3,0,6,9,0,240,504
48022,"Foothills/Foothills"," 89","Okotoks",190,42,3,0,9,5,0,249,494
48022,"Foothills/Foothills"," 90","Okotoks",228,50,5,1,6,5,0,295,576
48022,"Foothills/Foothills"," 91A","Okotoks",197,44,2,2,12,9,0,266,474
48022,"Foothills/Foothills"," 91B","Okotoks",188,30,1,0,7,7,0,233,478
48022,"Foothills/Foothills"," 92","Okotoks",282,40,2,0,6,10,0,340,591
48022,"Foothills/Foothills"," 93","Black Diamond",102,19,2,0,5,7,0,135,211
48022,"Foothills/Foothills"," 94","Black Diamond",223,44,0,0,21,18,0,306,492
48022,"Foothills/Foothills"," 95","Black Diamond",228,25,3,2,18,15,1,292,509
48022,"Foothills/Foothills"," 96","Black Diamond",299,56,2,2,23,13,0,395,665
48022,"Foothills/Foothills"," 97","Black Diamond",314,43,2,0,18,14,0,391,674
48022,"Foothills/Foothills"," 98","Turner Valley",207,21,0,0,8,12,0,248,409
48022,"Foothills/Foothills"," 99","Turner Valley",221,26,2,0,13,14,0,276,506
48022,"Foothills/Foothills"," 100","Turner Valley",123,40,1,3,20,20,0,207,403
48022,"Foothills/Foothills"," 101A","Turner Valley",148,19,3,3,14,8,0,195,377
48022,"Foothills/Foothills"," 101B","Turner Valley",129,26,2,2,18,10,0,187,360
48022,"Foothills/Foothills"," 102","Turner Valley",81,22,0,0,9,4,1,117,236
48022,"Foothills/Foothills"," 103","Longview",282,40,2,1,17,20,0,362,568
48022,"Foothills/Foothills"," 104","High River",215,18,0,0,15,6,1,255,495
48022,"Foothills/Foothills"," 105","High River",154,13,2,0,6,4,0,179,357
