Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Corneliu Chisu,Pamela Downward,Anthony Jordan Navarro,Jennifer O'Connell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 1","Uxbridge",147,31,15,79,1,273,472
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 2","Uxbridge",121,22,8,80,0,231,409
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 3","Uxbridge",101,32,13,87,0,233,378
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 4","Uxbridge",103,17,7,63,1,191,314
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 5","Uxbridge",55,25,9,29,0,118,233
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 6","Uxbridge",116,18,4,67,0,205,384
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 7","Uxbridge",84,13,6,46,0,149,242
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 8","Uxbridge",74,16,3,71,0,164,320
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 9","Uxbridge",111,20,5,59,0,195,319
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 10","Uxbridge",99,15,9,82,0,205,369
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 11","Uxbridge",100,12,6,54,0,172,306
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 12","Uxbridge",101,12,10,47,0,170,352
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 13","Uxbridge",92,11,9,61,0,173,369
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 14","Uxbridge",100,14,7,79,1,201,401
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 15","Uxbridge",126,22,8,83,0,239,423
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 16","Uxbridge",118,12,11,99,0,240,407
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 17","Uxbridge",96,21,7,88,1,213,365
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 18","Uxbridge",112,20,8,84,0,224,427
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 19","Uxbridge",165,30,9,104,2,310,501
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 20","Uxbridge",63,26,8,80,3,180,356
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 21","Uxbridge",81,20,6,64,1,172,308
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 22","Uxbridge",64,11,6,65,0,146,307
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 23","Uxbridge",67,16,6,101,1,191,401
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 24","Uxbridge",45,19,7,61,0,132,331
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 25","Uxbridge",78,19,9,97,1,204,384
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 26","Uxbridge",113,24,5,82,0,224,352
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 27","Uxbridge",123,12,8,56,0,199,421
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 28","Uxbridge",95,22,6,91,2,216,399
