Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Butt,Chris Hill,Fayaz Karim,Gagan Sikand,Yegor Tarazevich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 1","Mississauga",61,6,30,136,1,1,235,509
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 2","Mississauga",66,1,21,112,2,0,202,400
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 3","Mississauga",68,0,21,116,0,1,206,459
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 4","Mississauga",64,1,17,114,2,0,198,365
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 5","Mississauga",91,4,13,109,2,2,221,390
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 6","Mississauga",125,1,10,127,2,0,265,520
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 7","Mississauga",122,1,10,109,1,0,243,432
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 8","Mississauga",79,2,13,81,0,0,175,323
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 9","Mississauga",83,3,11,108,1,0,206,388
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 10","Mississauga",65,2,18,129,0,1,215,456
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 11","Mississauga",76,2,12,117,1,2,210,440
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 12","Mississauga",118,4,22,126,1,1,272,579
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 13","Mississauga",149,5,18,120,0,0,292,511
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 14","Mississauga",137,4,22,108,1,0,272,490
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 15","Mississauga",82,7,12,92,1,2,196,392
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 16","Mississauga",97,6,13,146,1,3,266,434
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 17","Mississauga",79,2,19,79,0,0,179,335
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 18","Mississauga",74,3,17,94,0,1,189,393
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 19","Mississauga",72,3,21,100,2,2,200,403
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 20","Mississauga",74,3,18,102,1,2,200,308
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 21","Mississauga",102,5,23,113,0,0,243,422
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 22","Mississauga",92,2,26,103,0,2,225,445
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 23","Mississauga",107,2,16,90,4,1,220,392
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 24","Mississauga",103,4,33,170,1,0,311,535
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 25","Mississauga",116,7,20,154,1,2,300,525
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 26","Mississauga",86,5,17,154,0,0,262,429
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 27","Mississauga",89,1,5,72,0,0,167,294
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 28","Mississauga",94,5,10,77,1,1,188,390
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 29","Mississauga",58,5,22,74,3,0,162,369
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 30","Mississauga",105,12,31,129,1,1,279,621
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 31","Mississauga",69,6,13,81,2,0,171,315
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 32","Mississauga",167,11,27,163,5,0,373,772
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 33","Mississauga",185,11,17,131,0,0,344,560
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 34","Mississauga",168,4,18,122,1,1,314,537
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 35","Mississauga",88,0,6,110,0,0,204,465
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 36","Mississauga",74,2,13,96,0,0,185,367
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 37","Mississauga",112,8,10,90,0,1,221,476
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 38","Mississauga",82,3,15,114,1,2,217,507
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 39","Mississauga",48,2,19,100,0,2,171,331
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 40","Mississauga",73,6,10,108,1,2,200,482
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 41","Mississauga",77,2,10,112,1,1,203,417
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 42","Mississauga",85,8,11,121,3,1,229,511
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 43","Mississauga",46,1,17,73,0,2,139,351
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 44","Mississauga",59,2,12,90,0,4,167,417
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 45","Mississauga",68,1,17,74,0,0,160,399
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 46","Mississauga",50,2,11,90,1,0,154,387
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 47","Mississauga",77,5,9,92,0,0,183,422
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 48","Mississauga",73,6,6,80,0,0,165,310
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 49","Mississauga",73,2,16,88,0,1,180,450
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 50","Mississauga",108,4,15,103,0,0,230,422
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 51","Mississauga",68,5,13,103,2,2,193,318
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 52","Mississauga",92,9,29,140,1,2,273,498
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 53","Mississauga",83,3,6,62,1,0,155,329
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 54","Mississauga",68,2,6,74,2,1,153,301
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 55","Mississauga",71,2,5,65,0,0,143,375
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 56","Mississauga",63,8,18,62,0,0,151,481
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 57","Mississauga",85,3,16,101,0,5,210,516
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 58","Mississauga",89,1,9,77,0,0,176,423
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 59","Mississauga",103,2,10,91,2,0,208,495
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 60","Mississauga",80,1,4,81,0,0,166,442
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 61","Mississauga",48,1,2,49,1,0,101,298
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 62","Mississauga",73,1,3,69,1,0,147,431
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 63","Mississauga",86,7,23,89,2,0,207,454
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 64","Mississauga",115,9,17,110,3,0,254,441
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 65","Mississauga",81,6,22,102,1,2,214,483
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 66","Mississauga",96,8,18,112,7,1,242,454
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 67","Mississauga",111,14,24,98,1,0,248,464
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 68","Mississauga",53,6,17,77,3,0,156,291
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 69","Mississauga",117,5,18,132,3,1,276,529
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 70","Mississauga",84,1,19,91,0,1,196,431
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 71","Mississauga",104,10,28,91,2,0,235,426
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 72","Mississauga",118,14,17,106,1,1,257,441
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 73","Mississauga",90,6,11,82,0,0,189,409
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 74","Mississauga",90,4,21,84,0,0,199,461
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 75","Mississauga",127,1,18,98,0,2,246,508
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 76","Mississauga",102,5,22,109,1,1,240,496
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 77","Mississauga",82,4,13,70,0,0,169,336
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 78","Mississauga",121,10,41,123,1,0,296,495
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 79","Mississauga",108,11,28,107,3,1,258,503
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 80","Mississauga",90,13,20,97,0,0,220,473
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 81","Mississauga",79,3,41,72,3,0,198,366
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 82","Mississauga",124,10,27,104,0,0,265,491
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 83","Mississauga",95,8,25,86,1,0,215,365
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 84","Mississauga",103,12,28,121,0,1,265,509
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 85","Mississauga",127,14,47,151,2,0,341,637
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 86","Mississauga",66,10,35,102,6,1,220,407
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 87","Mississauga",92,6,29,99,3,1,230,380
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 88","Mississauga",55,9,17,60,3,0,144,271
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 89","Mississauga",97,6,19,100,4,0,226,399
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 90","Mississauga",68,7,17,95,0,0,187,360
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 91","Mississauga",107,12,36,128,1,1,285,523
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 92","Mississauga",95,3,23,115,1,1,238,513
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 93","Mississauga",64,9,23,73,3,0,172,355
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 94","Mississauga",137,4,23,120,2,0,286,478
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 95","Mississauga",94,6,19,110,1,3,233,430
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 96","Mississauga",120,14,31,161,4,1,331,544
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 97","Mississauga",97,13,23,136,1,0,270,445
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 98","Mississauga",69,6,28,94,1,1,199,417
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 99","Mississauga",49,3,11,73,2,0,138,294
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 100","Mississauga",56,11,17,72,0,0,156,353
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 101","Mississauga",116,6,18,112,1,1,254,453
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 102","Mississauga",97,8,30,141,0,0,276,492
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 103","Mississauga",157,5,12,114,1,1,290,505
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 104","Mississauga",64,8,21,95,1,1,190,355
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 105","Mississauga",108,8,15,110,2,0,243,368
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 106","Mississauga",104,10,24,104,1,2,245,393
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 107","Mississauga",91,7,30,107,1,0,236,446
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 108","Mississauga",172,10,36,112,4,0,334,499
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 109","Mississauga",82,10,32,153,2,2,281,474
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 110","Mississauga",84,1,20,89,0,3,197,442
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 111","Mississauga",77,1,14,101,0,0,193,463
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 112","Mississauga",121,7,14,115,2,3,262,526
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 113","Mississauga",93,11,17,95,0,2,218,425
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 114","Mississauga",48,5,26,110,1,4,194,413
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 115","Mississauga",117,5,11,112,4,2,251,537
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 116","Mississauga",78,4,26,109,0,0,217,438
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 117","Mississauga",74,1,7,119,1,1,203,486
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 118","Mississauga",95,7,21,82,0,2,207,490
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 119","Mississauga",64,3,20,79,1,0,167,302
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 120","Mississauga",89,5,17,94,4,1,210,484
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 121","Mississauga",87,2,12,99,0,1,201,433
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 122","Mississauga",91,7,10,70,0,0,178,377
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 123","Mississauga",105,5,24,101,1,0,236,453
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 124","Mississauga",65,5,26,105,0,1,202,450
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 125","Mississauga",85,6,14,111,0,1,217,420
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 126","Mississauga",124,12,16,126,1,1,280,500
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 127","Mississauga",130,8,13,108,1,1,261,415
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 128","Mississauga",83,2,15,122,0,0,222,434
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 129","Mississauga",100,2,9,94,0,3,208,383
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 130","Mississauga",101,1,8,109,0,0,219,381
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 131","Mississauga",111,4,26,112,0,0,253,415
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 132","Mississauga",112,8,26,158,1,3,308,552
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 133","Mississauga",63,8,24,91,1,0,187,409
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 134","Mississauga",97,8,32,92,1,1,231,433
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 135","Mississauga",132,6,37,103,0,1,279,494
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 136","Mississauga",127,11,21,142,0,1,302,478
