Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre-Thomas Asselin,Jean-Yves Duclos,Normand Fournier,Charles Mordret,Annick Papillon,Danielle Provost,Philippe Riboty,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24059,"Québec/Québec"," 1","Québec",54,74,0,41,49,0,11,0,229,400
24059,"Québec/Québec"," 2","Québec",45,105,0,52,73,1,8,1,285,456
24059,"Québec/Québec"," 3","Québec",16,56,0,40,62,0,11,2,187,444
24059,"Québec/Québec"," 4","Québec",22,64,0,38,70,0,4,8,206,438
24059,"Québec/Québec"," 5","Québec",24,45,0,49,77,0,5,1,201,396
24059,"Québec/Québec"," 6","Québec",30,62,0,47,65,0,15,5,224,470
24059,"Québec/Québec"," 7","Québec",29,60,1,61,66,2,7,7,233,471
24059,"Québec/Québec"," 8","Québec",13,39,0,27,25,0,7,2,113,348
24059,"Québec/Québec"," 9","Québec",10,36,0,33,59,0,6,1,145,334
24059,"Québec/Québec"," 10","Québec",12,40,0,14,27,0,2,1,96,313
24059,"Québec/Québec"," 11","Québec",14,50,0,34,70,0,8,5,181,376
24059,"Québec/Québec"," 12","Québec",10,52,1,28,64,0,9,0,164,412
24059,"Québec/Québec"," 13","Québec",13,35,3,45,55,1,13,2,167,387
24059,"Québec/Québec"," 14","Québec",56,109,1,52,65,5,14,7,309,473
24059,"Québec/Québec"," 15","Québec",43,66,0,35,36,0,2,2,184,324
24059,"Québec/Québec"," 16","Québec",48,86,1,36,41,0,1,2,215,385
24059,"Québec/Québec"," 17","Québec",57,73,1,35,35,1,2,1,205,395
24059,"Québec/Québec"," 18","Québec",31,58,0,26,60,1,8,1,185,301
24059,"Québec/Québec"," 19","Québec",85,40,2,17,40,0,3,4,191,377
24059,"Québec/Québec"," 20","Québec",72,31,0,22,42,0,3,7,177,335
24059,"Québec/Québec"," 21","Québec",47,33,0,19,23,0,3,4,129,330
24059,"Québec/Québec"," 22","Québec",61,47,1,33,33,0,1,7,183,399
24059,"Québec/Québec"," 23","Québec",48,28,0,15,26,0,4,3,124,331
24059,"Québec/Québec"," 24","Québec",37,37,1,12,22,0,1,3,113,324
24059,"Québec/Québec"," 25","Québec",64,32,0,29,24,0,3,8,160,392
24059,"Québec/Québec"," 26","Québec",74,40,0,12,27,2,2,4,161,444
24059,"Québec/Québec"," 27","Québec",60,61,1,26,21,0,2,2,173,421
24059,"Québec/Québec"," 28","Québec",50,48,1,33,21,1,5,3,162,446
24059,"Québec/Québec"," 29","Québec",34,58,0,17,20,1,0,1,131,378
24059,"Québec/Québec"," 30","Québec",59,53,1,19,18,0,1,3,154,377
24059,"Québec/Québec"," 31","Québec",62,24,0,22,22,0,5,3,138,363
24059,"Québec/Québec"," 32","Québec",43,57,0,21,23,1,4,0,149,367
24059,"Québec/Québec"," 33","Québec",56,38,0,21,29,0,3,5,152,405
24059,"Québec/Québec"," 34","Québec",54,52,0,12,27,1,4,3,153,398
24059,"Québec/Québec"," 35","Québec",32,32,1,17,12,0,6,3,103,341
24059,"Québec/Québec"," 36","Québec",34,50,1,20,27,0,2,5,139,468
24059,"Québec/Québec"," 37","Québec",65,42,0,18,32,0,4,4,165,494
24059,"Québec/Québec"," 38","Québec",74,48,0,22,27,1,8,4,184,480
24059,"Québec/Québec"," 39","Québec",74,65,0,35,38,2,4,6,224,561
24059,"Québec/Québec"," 40","Québec",38,43,0,16,23,1,4,4,129,405
24059,"Québec/Québec"," 41","Québec",30,59,0,34,38,0,5,0,166,417
24059,"Québec/Québec"," 42","Québec",52,31,2,42,54,0,5,7,193,416
24059,"Québec/Québec"," 43","Québec",18,56,1,43,60,1,6,5,190,401
24059,"Québec/Québec"," 44","Québec",43,49,0,34,42,0,6,0,174,409
24059,"Québec/Québec"," 45","Québec",43,40,0,41,54,0,10,5,193,441
24059,"Québec/Québec"," 46","Québec",34,42,1,49,36,1,17,3,183,395
24059,"Québec/Québec"," 47","Québec",50,40,1,35,54,0,10,3,193,406
24059,"Québec/Québec"," 48","Québec",45,53,0,32,68,1,5,2,206,379
24059,"Québec/Québec"," 49","Québec",42,36,1,48,70,2,11,4,214,400
24059,"Québec/Québec"," 50","Québec",43,35,0,46,61,1,8,0,194,405
24059,"Québec/Québec"," 51","Québec",30,52,1,40,48,2,9,6,188,421
24059,"Québec/Québec"," 52","Québec",16,66,2,46,77,0,12,5,224,433
24059,"Québec/Québec"," 53","Notre-Dame-des-Anges",10,25,0,16,44,0,6,1,102,212
24059,"Québec/Québec"," 54","Québec",21,38,1,28,83,0,16,4,191,352
24059,"Québec/Québec"," 55","Québec",22,37,1,54,79,0,14,1,208,395
24059,"Québec/Québec"," 56","Québec",24,38,1,41,61,0,6,0,171,403
24059,"Québec/Québec"," 57","Québec",18,41,1,34,37,0,12,3,146,375
24059,"Québec/Québec"," 58","Québec",20,41,0,39,50,0,14,3,167,368
24059,"Québec/Québec"," 59","Québec",31,37,0,20,60,0,3,3,154,361
24059,"Québec/Québec"," 60","Québec",24,18,0,27,81,0,10,3,163,361
24059,"Québec/Québec"," 61","Québec",21,69,1,27,54,2,5,5,184,374
24059,"Québec/Québec"," 62","Québec",15,54,0,31,50,3,12,5,170,374
24059,"Québec/Québec"," 63","Québec",17,39,1,47,74,0,5,2,185,336
24059,"Québec/Québec"," 64","Québec",18,61,1,55,70,0,13,4,222,397
24059,"Québec/Québec"," 65","Québec",14,41,1,36,84,0,14,0,190,361
24059,"Québec/Québec"," 66","Québec",13,47,2,75,85,2,12,4,240,444
24059,"Québec/Québec"," 67","Québec",14,43,2,47,67,0,8,1,182,390
24059,"Québec/Québec"," 68","Québec",7,38,0,70,82,1,6,5,209,412
24059,"Québec/Québec"," 69","Québec",13,46,0,43,113,0,15,4,234,418
24059,"Québec/Québec"," 70","Québec",9,35,0,47,57,1,8,2,159,330
24059,"Québec/Québec"," 71","Québec",8,49,1,65,96,0,13,5,237,426
24059,"Québec/Québec"," 72","Québec",3,52,0,35,94,0,11,3,198,388
24059,"Québec/Québec"," 73","Québec",16,48,0,42,33,0,6,1,146,333
24059,"Québec/Québec"," 74","Québec",18,48,0,36,42,0,12,0,156,337
24059,"Québec/Québec"," 75","Québec",20,53,0,45,65,0,9,2,194,349
24059,"Québec/Québec"," 76","Québec",11,51,1,39,39,0,10,1,152,369
24059,"Québec/Québec"," 77","Québec",23,35,2,34,30,0,11,1,136,298
24059,"Québec/Québec"," 78A","Québec",25,78,1,32,38,0,3,1,178,348
24059,"Québec/Québec"," 78B","Mobile poll/Bureau itinérant",8,46,0,4,5,0,1,2,66,54
24059,"Québec/Québec"," 79","Québec",26,67,1,55,50,0,8,4,211,402
24059,"Québec/Québec"," 80","Québec",13,34,0,49,38,0,6,5,145,382
24059,"Québec/Québec"," 81","Québec",42,74,0,54,56,1,4,3,234,473
24059,"Québec/Québec"," 82","Québec",64,114,1,48,34,0,2,0,263,503
24059,"Québec/Québec"," 83","Québec",17,42,0,48,92,0,15,3,217,403
24059,"Québec/Québec"," 84","Québec",19,60,1,28,24,1,3,1,137,290
24059,"Québec/Québec"," 85","Québec",12,45,0,45,52,0,6,1,161,292
24059,"Québec/Québec"," 86","Québec",44,76,0,43,32,0,5,4,204,441
24059,"Québec/Québec"," 87","Québec",7,37,1,61,106,1,9,3,225,438
24059,"Québec/Québec"," 88","Québec",10,45,0,71,115,0,18,5,264,458
24059,"Québec/Québec"," 89","Québec",12,54,1,65,93,0,10,3,238,409
24059,"Québec/Québec"," 90","Québec",11,21,0,29,47,1,7,2,118,315
24059,"Québec/Québec"," 91","Québec",15,32,2,31,45,0,4,1,130,352
24059,"Québec/Québec"," 92","Québec",15,44,0,43,59,0,12,2,175,381
24059,"Québec/Québec"," 93","Québec",17,78,1,44,80,1,7,3,231,461
24059,"Québec/Québec"," 94","Québec",25,66,2,32,79,0,9,2,215,394
24059,"Québec/Québec"," 95","Québec",27,45,0,43,58,0,9,4,186,378
24059,"Québec/Québec"," 96","Québec",22,58,0,32,78,0,12,1,203,359
24059,"Québec/Québec"," 97","Québec",19,47,0,47,41,1,5,1,161,370
24059,"Québec/Québec"," 98","Québec",26,33,2,43,53,0,9,6,172,364
24059,"Québec/Québec"," 99","Québec",22,61,1,53,112,1,9,3,262,406
24059,"Québec/Québec"," 100","Québec",24,61,0,40,79,0,11,2,217,366
24059,"Québec/Québec"," 101","Québec",17,34,1,21,58,3,8,2,144,266
24059,"Québec/Québec"," 102","Québec",23,41,1,44,58,0,8,2,177,400
24059,"Québec/Québec"," 103","Québec",33,36,0,53,64,0,6,5,197,370
24059,"Québec/Québec"," 104","Québec",32,50,1,49,42,0,3,0,177,390
24059,"Québec/Québec"," 105","Québec",37,31,0,17,35,2,2,10,134,338
24059,"Québec/Québec"," 106","Québec",29,41,0,39,52,0,5,9,175,382
24059,"Québec/Québec"," 107","Québec",17,66,1,41,68,0,10,2,205,447
24059,"Québec/Québec"," 108","Québec",36,67,0,29,33,0,4,0,169,421
24059,"Québec/Québec"," 109","Québec",14,55,1,76,98,0,15,5,264,459
24059,"Québec/Québec"," 110","Québec",8,76,1,56,75,1,8,2,227,400
24059,"Québec/Québec"," 111","Québec",12,28,0,16,21,0,0,0,77,152
24059,"Québec/Québec"," 112","Québec",18,69,0,57,64,0,1,2,211,453
24059,"Québec/Québec"," 113","Québec",13,74,1,40,56,0,5,2,191,365
24059,"Québec/Québec"," 114","Québec",27,68,0,44,75,0,8,1,223,394
24059,"Québec/Québec"," 115","Québec",14,52,0,61,89,0,10,2,228,386
24059,"Québec/Québec"," 116","Québec",21,61,0,61,85,0,7,1,236,381
24059,"Québec/Québec"," 117","Québec",20,71,0,54,66,0,6,1,218,406
24059,"Québec/Québec"," 118","Québec",27,56,1,63,68,0,7,1,223,383
24059,"Québec/Québec"," 119","Québec",25,59,0,47,64,0,1,1,197,364
24059,"Québec/Québec"," 120","Québec",27,69,2,30,69,1,5,2,205,374
24059,"Québec/Québec"," 121","Québec",16,38,0,33,83,0,2,1,173,330
24059,"Québec/Québec"," 122","Québec",23,77,1,62,63,0,7,1,234,479
24059,"Québec/Québec"," 123","Québec",23,72,1,35,45,0,8,3,187,404
24059,"Québec/Québec"," 124","Québec",17,79,0,61,56,1,5,2,221,407
24059,"Québec/Québec"," 125","Québec",9,43,3,46,79,0,1,1,182,303
24059,"Québec/Québec"," 126","Québec",24,54,0,24,40,0,2,1,145,320
24059,"Québec/Québec"," 127","Québec",53,106,0,39,39,0,5,0,242,495
24059,"Québec/Québec"," 128","Québec",45,98,0,49,44,1,5,2,244,524
24059,"Québec/Québec"," 129","Québec",35,79,0,40,41,0,0,3,198,440
24059,"Québec/Québec"," 130A","Québec",15,25,0,18,10,0,5,1,74,149
24059,"Québec/Québec"," 130B","Québec",Merged with No./Fusionné avec le n°131,,,,,,,,,166
24059,"Québec/Québec"," 131","Québec",89,90,0,72,64,0,16,9,340,339
24059,"Québec/Québec"," 132","Québec",35,83,1,54,76,0,8,3,260,483
24059,"Québec/Québec"," 133","Québec",17,40,0,32,59,1,5,5,159,263
24059,"Québec/Québec"," 134","Québec",12,50,0,45,75,0,7,0,189,320
24059,"Québec/Québec"," 135","Québec",80,195,1,61,45,1,4,0,387,554
24059,"Québec/Québec"," 136","Québec",46,116,1,36,35,0,3,2,239,375
24059,"Québec/Québec"," 137","Québec",36,40,0,30,40,1,5,4,156,319
24059,"Québec/Québec"," 138","Québec",50,52,0,37,45,0,8,5,197,370
24059,"Québec/Québec"," 139","Québec",47,56,2,39,55,0,3,5,207,422
24059,"Québec/Québec"," 140","Québec",85,62,1,59,55,1,7,13,283,470
24059,"Québec/Québec"," 141","Québec",104,88,0,23,31,0,4,2,252,421
24059,"Québec/Québec"," 142","Québec",66,53,1,26,37,0,5,2,190,392
24059,"Québec/Québec"," 143","Québec",70,60,0,34,38,0,7,2,211,450
