Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tanya De Mello,Ted Opitz,Shawn Rizvi,Rob Wolvin,Borys Wrzesnewskyj,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Etobicoke Centre/Etobicoke-Centre"," 59","Etobicoke",8,117,2,0,112,0,239,391
35027,"Etobicoke Centre/Etobicoke-Centre"," 60","Etobicoke",10,126,2,1,149,1,289,529
35027,"Etobicoke Centre/Etobicoke-Centre"," 61","Etobicoke",7,76,0,2,92,2,179,314
35027,"Etobicoke Centre/Etobicoke-Centre"," 62","Etobicoke",7,143,4,2,72,3,231,427
35027,"Etobicoke Centre/Etobicoke-Centre"," 63","Etobicoke",10,106,2,0,80,1,199,361
35027,"Etobicoke Centre/Etobicoke-Centre"," 64","Etobicoke",6,131,2,1,61,0,201,373
35027,"Etobicoke Centre/Etobicoke-Centre"," 65","Etobicoke",10,107,2,5,65,0,189,433
35027,"Etobicoke Centre/Etobicoke-Centre"," 66","Etobicoke",1,116,1,0,55,0,173,370
35027,"Etobicoke Centre/Etobicoke-Centre"," 67","Etobicoke",9,130,2,2,97,1,241,460
35027,"Etobicoke Centre/Etobicoke-Centre"," 68","Etobicoke",22,57,2,0,100,1,182,448
35027,"Etobicoke Centre/Etobicoke-Centre"," 69","Etobicoke",19,86,4,0,107,0,216,474
35027,"Etobicoke Centre/Etobicoke-Centre"," 70A","Etobicoke",15,124,1,1,121,0,262,558
35027,"Etobicoke Centre/Etobicoke-Centre"," 70B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,83
35027,"Etobicoke Centre/Etobicoke-Centre"," 71","Etobicoke",4,111,3,2,78,2,200,383
35027,"Etobicoke Centre/Etobicoke-Centre"," 72","Etobicoke",10,127,4,0,103,0,244,401
35027,"Etobicoke Centre/Etobicoke-Centre"," 73","Etobicoke",4,123,5,1,78,2,213,380
35027,"Etobicoke Centre/Etobicoke-Centre"," 74","Etobicoke",4,114,5,3,92,0,218,453
35027,"Etobicoke Centre/Etobicoke-Centre"," 75","Etobicoke",4,98,2,1,83,2,190,362
35027,"Etobicoke Centre/Etobicoke-Centre"," 76","Etobicoke",10,88,2,0,111,0,211,384
35027,"Etobicoke Centre/Etobicoke-Centre"," 77","Etobicoke",14,120,5,0,124,1,264,421
35027,"Etobicoke Centre/Etobicoke-Centre"," 78","Etobicoke",12,133,2,1,135,2,285,445
35027,"Etobicoke Centre/Etobicoke-Centre"," 79","Etobicoke",16,92,2,3,138,1,252,410
35027,"Etobicoke Centre/Etobicoke-Centre"," 80","Etobicoke",13,124,7,2,135,0,281,446
35027,"Etobicoke Centre/Etobicoke-Centre"," 81","Etobicoke",23,102,5,2,133,1,266,461
35027,"Etobicoke Centre/Etobicoke-Centre"," 82","Etobicoke",14,110,7,0,110,2,243,420
35027,"Etobicoke Centre/Etobicoke-Centre"," 83A","Etobicoke",18,46,0,1,87,0,152,338
35027,"Etobicoke Centre/Etobicoke-Centre"," 83B","Etobicoke",11,30,1,0,82,1,125,334
35027,"Etobicoke Centre/Etobicoke-Centre"," 84","Etobicoke",10,112,2,0,100,4,228,377
35027,"Etobicoke Centre/Etobicoke-Centre"," 85","Etobicoke",22,105,6,0,139,3,275,451
35027,"Etobicoke Centre/Etobicoke-Centre"," 86","Etobicoke",13,114,4,1,115,1,248,422
35027,"Etobicoke Centre/Etobicoke-Centre"," 87","Etobicoke",16,98,6,1,161,2,284,457
35027,"Etobicoke Centre/Etobicoke-Centre"," 88","Etobicoke",26,78,3,2,117,2,228,415
35027,"Etobicoke Centre/Etobicoke-Centre"," 89","Etobicoke",23,121,8,0,132,2,286,452
35027,"Etobicoke Centre/Etobicoke-Centre"," 90","Etobicoke",32,106,2,0,120,0,260,424
35027,"Etobicoke Centre/Etobicoke-Centre"," 91","Etobicoke",31,90,4,1,103,2,231,452
35027,"Etobicoke Centre/Etobicoke-Centre"," 92","Etobicoke",27,104,4,1,115,1,252,413
35027,"Etobicoke Centre/Etobicoke-Centre"," 93","Etobicoke",34,109,2,2,142,2,291,456
35027,"Etobicoke Centre/Etobicoke-Centre"," 94","Etobicoke",12,115,2,0,174,1,304,509
35027,"Etobicoke Centre/Etobicoke-Centre"," 95","Etobicoke",13,71,5,2,107,0,198,379
35027,"Etobicoke Centre/Etobicoke-Centre"," 96","Etobicoke",14,122,4,0,131,0,271,401
35027,"Etobicoke Centre/Etobicoke-Centre"," 97","Etobicoke",21,76,5,1,136,1,240,469
35027,"Etobicoke Centre/Etobicoke-Centre"," 98","Etobicoke",22,100,3,0,117,1,243,404
35027,"Etobicoke Centre/Etobicoke-Centre"," 99","Etobicoke",17,93,2,1,122,2,237,427
35027,"Etobicoke Centre/Etobicoke-Centre"," 100","Etobicoke",9,85,2,2,104,0,202,379
35027,"Etobicoke Centre/Etobicoke-Centre"," 101","Etobicoke",4,89,3,1,112,1,210,355
35027,"Etobicoke Centre/Etobicoke-Centre"," 102","Etobicoke",17,114,6,0,128,2,267,451
35027,"Etobicoke Centre/Etobicoke-Centre"," 103","Etobicoke",20,87,3,0,149,1,260,464
35027,"Etobicoke Centre/Etobicoke-Centre"," 104","Etobicoke",18,38,1,0,82,0,139,331
35027,"Etobicoke Centre/Etobicoke-Centre"," 105","Etobicoke",11,15,2,4,115,0,147,310
35027,"Etobicoke Centre/Etobicoke-Centre"," 106","Etobicoke",19,35,1,2,135,1,193,414
35027,"Etobicoke Centre/Etobicoke-Centre"," 107","Etobicoke",11,114,2,2,82,2,213,421
35027,"Etobicoke Centre/Etobicoke-Centre"," 108","Etobicoke",4,139,2,2,90,1,238,431
35027,"Etobicoke Centre/Etobicoke-Centre"," 109","Etobicoke",13,93,6,2,109,0,223,378
35027,"Etobicoke Centre/Etobicoke-Centre"," 110","Etobicoke",9,108,3,0,104,1,225,425
35027,"Etobicoke Centre/Etobicoke-Centre"," 111","Etobicoke",9,99,3,1,94,0,206,403
35027,"Etobicoke Centre/Etobicoke-Centre"," 112","Etobicoke",10,101,2,2,117,0,232,373
35027,"Etobicoke Centre/Etobicoke-Centre"," 113","Etobicoke",14,99,3,1,142,0,259,423
35027,"Etobicoke Centre/Etobicoke-Centre"," 114","Etobicoke",19,88,3,1,112,0,223,382
35027,"Etobicoke Centre/Etobicoke-Centre"," 115","Etobicoke",24,55,3,0,95,0,177,381
35027,"Etobicoke Centre/Etobicoke-Centre"," 116","Etobicoke",14,107,2,0,106,0,229,406
35027,"Etobicoke Centre/Etobicoke-Centre"," 117","Etobicoke",20,116,2,0,105,0,243,406
35027,"Etobicoke Centre/Etobicoke-Centre"," 118","Etobicoke",13,82,0,1,107,1,204,393
35027,"Etobicoke Centre/Etobicoke-Centre"," 119","Etobicoke",4,123,4,1,83,0,215,398
35027,"Etobicoke Centre/Etobicoke-Centre"," 120","Etobicoke",20,86,6,2,118,1,233,432
35027,"Etobicoke Centre/Etobicoke-Centre"," 121","Etobicoke",30,97,4,6,165,1,303,476
35027,"Etobicoke Centre/Etobicoke-Centre"," 122","Etobicoke",14,80,4,2,143,0,243,414
35027,"Etobicoke Centre/Etobicoke-Centre"," 123","Etobicoke",18,109,3,0,142,0,272,425
35027,"Etobicoke Centre/Etobicoke-Centre"," 124","Etobicoke",18,83,5,2,103,0,211,385
35027,"Etobicoke Centre/Etobicoke-Centre"," 125","Etobicoke",19,96,2,1,122,1,241,420
35027,"Etobicoke Centre/Etobicoke-Centre"," 126","Etobicoke",16,102,5,2,99,0,224,399
35027,"Etobicoke Centre/Etobicoke-Centre"," 127","Etobicoke",13,66,3,0,89,4,175,375
35027,"Etobicoke Centre/Etobicoke-Centre"," 128","Etobicoke",7,84,2,0,101,2,196,384
35027,"Etobicoke Centre/Etobicoke-Centre"," 129","Etobicoke",14,113,9,2,127,2,267,433
35027,"Etobicoke Centre/Etobicoke-Centre"," 130","Etobicoke",9,86,8,4,110,0,217,413
35027,"Etobicoke Centre/Etobicoke-Centre"," 131","Etobicoke",14,43,3,1,102,0,163,389
35027,"Etobicoke Centre/Etobicoke-Centre"," 132A","Etobicoke",19,51,1,2,82,3,158,326
35027,"Etobicoke Centre/Etobicoke-Centre"," 132B","Etobicoke",14,38,5,4,97,1,159,328
35027,"Etobicoke Centre/Etobicoke-Centre"," 133A","Etobicoke",27,56,5,4,125,1,218,481
35027,"Etobicoke Centre/Etobicoke-Centre"," 133B","Etobicoke",31,44,2,5,98,1,181,420
35027,"Etobicoke Centre/Etobicoke-Centre"," 134","Etobicoke",12,83,5,0,107,0,207,383
35027,"Etobicoke Centre/Etobicoke-Centre"," 135A","Etobicoke",21,33,3,2,116,1,176,437
35027,"Etobicoke Centre/Etobicoke-Centre"," 135B","Etobicoke",25,41,1,2,114,1,184,416
35027,"Etobicoke Centre/Etobicoke-Centre"," 136","Etobicoke",27,54,4,2,80,0,167,357
35027,"Etobicoke Centre/Etobicoke-Centre"," 137","Etobicoke",19,94,5,1,146,1,266,478
35027,"Etobicoke Centre/Etobicoke-Centre"," 138","Etobicoke",13,84,1,2,97,0,197,426
35027,"Etobicoke Centre/Etobicoke-Centre"," 139","Etobicoke",16,61,3,0,141,0,221,384
35027,"Etobicoke Centre/Etobicoke-Centre"," 140","Etobicoke",25,79,7,2,101,0,214,524
35027,"Etobicoke Centre/Etobicoke-Centre"," 141","Etobicoke",9,10,1,0,67,3,90,306
35027,"Etobicoke Centre/Etobicoke-Centre"," 142","Etobicoke",14,39,2,1,82,0,138,327
35027,"Etobicoke Centre/Etobicoke-Centre"," 143","Etobicoke",29,46,7,4,136,0,222,539
35027,"Etobicoke Centre/Etobicoke-Centre"," 144","Etobicoke",17,43,3,0,129,0,192,554
35027,"Etobicoke Centre/Etobicoke-Centre"," 145","Etobicoke",37,76,3,7,120,0,243,420
35027,"Etobicoke Centre/Etobicoke-Centre"," 146","Etobicoke",16,78,4,1,141,1,241,429
35027,"Etobicoke Centre/Etobicoke-Centre"," 147","Etobicoke",30,68,2,0,135,0,235,480
35027,"Etobicoke Centre/Etobicoke-Centre"," 148","Etobicoke",24,44,3,1,68,0,140,292
35027,"Etobicoke Centre/Etobicoke-Centre"," 149","Etobicoke",25,81,3,1,105,2,217,425
35027,"Etobicoke Centre/Etobicoke-Centre"," 150","Etobicoke",18,54,2,1,96,0,171,302
35027,"Etobicoke Centre/Etobicoke-Centre"," 151A","Etobicoke",13,28,3,4,62,1,111,197
35027,"Etobicoke Centre/Etobicoke-Centre"," 151B","Etobicoke",Merged with No./Fusionné avec le n°93,,,,,,,65
35027,"Etobicoke Centre/Etobicoke-Centre"," 151C","Etobicoke",Merged with No./Fusionné avec le n°152,,,,,,,61
35027,"Etobicoke Centre/Etobicoke-Centre"," 151D","Etobicoke",Merged with No./Fusionné avec le n°163,,,,,,,159
35027,"Etobicoke Centre/Etobicoke-Centre"," 151E","Etobicoke",Merged with No./Fusionné avec le n°157,,,,,,,89
