Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Louis Browne,Wojciech K Dolata,Trent Fraser,Tamela Friesen,Erin Weir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Lewvan/Regina--Lewvan"," 1","Condie",75,1,132,2,91,0,301,487
47007,"Regina--Lewvan/Regina--Lewvan"," 2","Regina",74,1,121,0,69,1,266,435
47007,"Regina--Lewvan/Regina--Lewvan"," 3","Regina",64,2,83,2,40,0,191,314
47007,"Regina--Lewvan/Regina--Lewvan"," 4","Regina",82,2,128,3,58,2,275,442
47007,"Regina--Lewvan/Regina--Lewvan"," 5","Regina",64,0,105,3,56,1,229,395
47007,"Regina--Lewvan/Regina--Lewvan"," 6","Regina",79,2,131,5,74,1,292,463
47007,"Regina--Lewvan/Regina--Lewvan"," 7","Regina",60,0,98,4,62,0,224,383
47007,"Regina--Lewvan/Regina--Lewvan"," 8","Regina",102,2,140,1,59,1,305,471
47007,"Regina--Lewvan/Regina--Lewvan"," 9","Regina",80,1,109,2,59,0,251,410
47007,"Regina--Lewvan/Regina--Lewvan"," 10","Regina",72,0,133,6,57,1,269,462
47007,"Regina--Lewvan/Regina--Lewvan"," 11A","Regina",53,0,88,5,67,0,213,377
47007,"Regina--Lewvan/Regina--Lewvan"," 11B","Regina",75,0,105,5,58,0,243,405
47007,"Regina--Lewvan/Regina--Lewvan"," 12","Regina",64,0,124,2,72,0,262,359
47007,"Regina--Lewvan/Regina--Lewvan"," 13","Regina",63,1,96,5,56,1,222,332
47007,"Regina--Lewvan/Regina--Lewvan"," 14","Regina",88,4,105,10,54,0,261,411
47007,"Regina--Lewvan/Regina--Lewvan"," 15","Regina",39,0,109,4,79,0,231,383
47007,"Regina--Lewvan/Regina--Lewvan"," 16","Regina",60,3,114,5,78,0,260,418
47007,"Regina--Lewvan/Regina--Lewvan"," 17","Regina",79,3,98,10,68,0,258,434
47007,"Regina--Lewvan/Regina--Lewvan"," 18","Regina",90,0,88,5,76,0,259,433
47007,"Regina--Lewvan/Regina--Lewvan"," 19","Regina",63,2,84,6,81,0,236,454
47007,"Regina--Lewvan/Regina--Lewvan"," 20","Regina",91,1,66,4,63,1,226,486
47007,"Regina--Lewvan/Regina--Lewvan"," 21","Regina",64,1,61,3,81,0,210,381
47007,"Regina--Lewvan/Regina--Lewvan"," 22","Regina",86,1,128,4,71,0,290,465
47007,"Regina--Lewvan/Regina--Lewvan"," 23","Regina",62,3,129,1,70,3,268,451
47007,"Regina--Lewvan/Regina--Lewvan"," 24","Regina",47,0,89,3,44,0,183,311
47007,"Regina--Lewvan/Regina--Lewvan"," 25","Regina",80,1,103,7,64,1,256,459
47007,"Regina--Lewvan/Regina--Lewvan"," 26","Regina",69,1,122,1,68,0,261,432
47007,"Regina--Lewvan/Regina--Lewvan"," 27","Regina",91,2,100,4,63,0,260,462
47007,"Regina--Lewvan/Regina--Lewvan"," 28","Regina",58,1,52,2,55,1,169,301
47007,"Regina--Lewvan/Regina--Lewvan"," 29","Regina",59,1,82,3,55,2,202,331
47007,"Regina--Lewvan/Regina--Lewvan"," 30","Regina",72,0,73,5,71,1,222,388
47007,"Regina--Lewvan/Regina--Lewvan"," 31","Regina",65,2,106,2,106,0,281,442
47007,"Regina--Lewvan/Regina--Lewvan"," 32","Regina",50,5,79,5,68,2,209,394
47007,"Regina--Lewvan/Regina--Lewvan"," 33","Regina",50,1,116,1,64,0,232,425
47007,"Regina--Lewvan/Regina--Lewvan"," 34","Regina",52,4,74,6,63,2,201,324
47007,"Regina--Lewvan/Regina--Lewvan"," 35","Regina",83,1,89,2,86,0,261,440
47007,"Regina--Lewvan/Regina--Lewvan"," 36","Regina",67,3,103,2,89,0,264,440
47007,"Regina--Lewvan/Regina--Lewvan"," 37","Regina",45,0,53,6,69,0,173,329
47007,"Regina--Lewvan/Regina--Lewvan"," 38","Regina",69,1,94,1,106,0,271,446
47007,"Regina--Lewvan/Regina--Lewvan"," 39","Regina",65,1,67,3,70,0,206,349
47007,"Regina--Lewvan/Regina--Lewvan"," 40","Regina",82,2,105,4,102,0,295,471
47007,"Regina--Lewvan/Regina--Lewvan"," 41","Regina",73,3,102,4,91,0,273,433
47007,"Regina--Lewvan/Regina--Lewvan"," 42","Regina",53,2,90,3,56,1,205,352
47007,"Regina--Lewvan/Regina--Lewvan"," 43","Regina",66,3,87,2,61,1,220,369
47007,"Regina--Lewvan/Regina--Lewvan"," 44","Regina",56,2,107,1,61,0,227,392
47007,"Regina--Lewvan/Regina--Lewvan"," 45","Regina",54,1,77,3,99,0,234,405
47007,"Regina--Lewvan/Regina--Lewvan"," 46A","Regina",50,1,92,1,45,0,189,310
47007,"Regina--Lewvan/Regina--Lewvan"," 46B","Regina",47,2,109,1,43,1,203,321
47007,"Regina--Lewvan/Regina--Lewvan"," 47","Regina",63,1,95,1,38,0,198,363
47007,"Regina--Lewvan/Regina--Lewvan"," 48","Regina",43,2,88,2,102,1,238,365
47007,"Regina--Lewvan/Regina--Lewvan"," 49","Regina",113,2,170,2,76,2,365,583
47007,"Regina--Lewvan/Regina--Lewvan"," 50","Regina",105,3,153,2,68,0,331,552
47007,"Regina--Lewvan/Regina--Lewvan"," 51A","Regina",53,1,119,2,46,1,222,340
47007,"Regina--Lewvan/Regina--Lewvan"," 51B","Regina",42,1,119,2,51,0,215,370
47007,"Regina--Lewvan/Regina--Lewvan"," 52","Regina",62,4,76,2,90,1,235,361
47007,"Regina--Lewvan/Regina--Lewvan"," 53","Regina",66,0,60,5,87,0,218,352
47007,"Regina--Lewvan/Regina--Lewvan"," 54","Regina",71,2,72,5,82,1,233,350
47007,"Regina--Lewvan/Regina--Lewvan"," 55","Regina",53,1,115,4,97,0,270,426
47007,"Regina--Lewvan/Regina--Lewvan"," 56","Regina",75,2,78,6,98,3,262,437
47007,"Regina--Lewvan/Regina--Lewvan"," 57","Regina",79,1,72,5,79,0,236,401
47007,"Regina--Lewvan/Regina--Lewvan"," 58","Regina",60,3,66,5,64,3,201,376
47007,"Regina--Lewvan/Regina--Lewvan"," 59","Regina",57,2,120,3,67,1,250,399
47007,"Regina--Lewvan/Regina--Lewvan"," 60A","Regina",85,3,104,3,83,0,278,450
47007,"Regina--Lewvan/Regina--Lewvan"," 60B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,7
47007,"Regina--Lewvan/Regina--Lewvan"," 61","Regina",52,4,89,3,80,0,228,317
47007,"Regina--Lewvan/Regina--Lewvan"," 62","Regina",76,1,66,3,101,0,247,383
47007,"Regina--Lewvan/Regina--Lewvan"," 63","Regina",84,3,109,4,86,0,286,462
47007,"Regina--Lewvan/Regina--Lewvan"," 64","Regina",76,0,109,0,83,1,269,406
47007,"Regina--Lewvan/Regina--Lewvan"," 65","Regina",52,0,85,8,95,1,241,410
47007,"Regina--Lewvan/Regina--Lewvan"," 66A","Regina",46,2,35,6,77,1,167,391
47007,"Regina--Lewvan/Regina--Lewvan"," 66B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,11
47007,"Regina--Lewvan/Regina--Lewvan"," 67","Regina",89,2,93,12,98,2,296,471
47007,"Regina--Lewvan/Regina--Lewvan"," 68","Regina",74,1,91,9,85,2,262,428
47007,"Regina--Lewvan/Regina--Lewvan"," 69","Regina",86,1,72,3,99,0,261,438
47007,"Regina--Lewvan/Regina--Lewvan"," 70","Regina",47,1,35,6,91,1,181,422
47007,"Regina--Lewvan/Regina--Lewvan"," 71","Regina",66,3,103,6,82,0,260,405
47007,"Regina--Lewvan/Regina--Lewvan"," 72","Regina",61,0,102,0,84,0,247,414
47007,"Regina--Lewvan/Regina--Lewvan"," 73","Regina",67,1,98,1,85,0,252,373
47007,"Regina--Lewvan/Regina--Lewvan"," 74","Regina",62,1,114,0,61,0,238,367
47007,"Regina--Lewvan/Regina--Lewvan"," 75","Regina",82,0,62,6,71,0,221,417
47007,"Regina--Lewvan/Regina--Lewvan"," 76","Regina",74,5,89,8,91,1,268,414
47007,"Regina--Lewvan/Regina--Lewvan"," 77","Regina",57,4,71,3,121,0,256,443
47007,"Regina--Lewvan/Regina--Lewvan"," 78","Regina",39,0,43,5,64,1,152,339
47007,"Regina--Lewvan/Regina--Lewvan"," 79","Regina",53,2,108,0,111,0,274,414
47007,"Regina--Lewvan/Regina--Lewvan"," 80","Regina",58,4,79,4,113,1,259,448
47007,"Regina--Lewvan/Regina--Lewvan"," 81","Regina",60,1,75,4,102,0,242,447
