Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Cash,Julie Dzerowicz,Miguel Figueroa,Chai Kalevar,Carlos Oliveira,Dan Stein,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Davenport/Davenport"," 1","York",37,102,1,0,36,3,1,180,417
35018,"Davenport/Davenport"," 2","York",58,104,2,0,42,1,3,210,464
35018,"Davenport/Davenport"," 3","York",45,102,1,0,45,1,1,195,421
35018,"Davenport/Davenport"," 4","York",55,94,2,3,29,5,0,188,398
35018,"Davenport/Davenport"," 5","York",47,112,1,0,36,1,2,199,371
35018,"Davenport/Davenport"," 6","York",46,105,0,0,32,6,2,191,413
35018,"Davenport/Davenport"," 7","York",40,139,2,0,58,2,1,242,340
35018,"Davenport/Davenport"," 8","York",25,69,0,0,22,2,2,120,326
35018,"Davenport/Davenport"," 9","York",53,130,4,0,54,3,1,245,452
35018,"Davenport/Davenport"," 10","York",47,134,0,0,42,8,4,235,440
35018,"Davenport/Davenport"," 11","York",56,94,0,0,38,3,2,193,429
35018,"Davenport/Davenport"," 12A","York",Merged with No./Fusionné avec le n°13,,,,,,,,84
35018,"Davenport/Davenport"," 12B","York",Merged with No./Fusionné avec le n°7,,,,,,,,99
35018,"Davenport/Davenport"," 13","York",64,128,0,0,36,3,3,234,367
35018,"Davenport/Davenport"," 14","York",36,134,0,0,49,4,0,223,371
35018,"Davenport/Davenport"," 15","Toronto",58,132,4,1,33,6,1,235,444
35018,"Davenport/Davenport"," 16","Toronto",58,109,0,0,48,6,1,222,391
35018,"Davenport/Davenport"," 17","Toronto",57,127,3,0,35,10,0,232,389
35018,"Davenport/Davenport"," 18","Toronto",68,133,0,1,30,8,3,243,427
35018,"Davenport/Davenport"," 19","Toronto",65,126,0,0,38,5,0,234,395
35018,"Davenport/Davenport"," 20","Toronto",49,88,0,0,27,6,0,170,359
35018,"Davenport/Davenport"," 21","Toronto",85,101,4,0,20,7,3,220,391
35018,"Davenport/Davenport"," 22","Toronto",63,104,3,1,33,5,0,209,355
35018,"Davenport/Davenport"," 23","York",79,159,0,0,33,8,2,281,531
35018,"Davenport/Davenport"," 24","York",77,125,0,3,39,10,2,256,452
35018,"Davenport/Davenport"," 25","York",61,89,0,0,20,7,2,179,362
35018,"Davenport/Davenport"," 26","York",89,130,4,2,47,7,4,283,481
35018,"Davenport/Davenport"," 27","York",50,101,0,0,25,3,3,182,315
35018,"Davenport/Davenport"," 28","York",103,110,1,1,27,8,0,250,407
35018,"Davenport/Davenport"," 29","York",115,154,1,2,49,9,1,331,503
35018,"Davenport/Davenport"," 30","York",93,141,3,1,31,12,0,281,457
35018,"Davenport/Davenport"," 31","York",91,121,1,0,27,7,0,247,463
35018,"Davenport/Davenport"," 32","York",110,133,0,3,28,11,2,287,514
35018,"Davenport/Davenport"," 33","York",93,125,6,1,31,9,1,266,477
35018,"Davenport/Davenport"," 34","Toronto",82,88,0,0,24,9,1,204,353
35018,"Davenport/Davenport"," 35","Toronto",131,83,0,0,17,9,1,241,386
35018,"Davenport/Davenport"," 36","Toronto",123,91,2,0,10,9,1,236,393
35018,"Davenport/Davenport"," 37","Toronto",90,70,1,0,12,10,0,183,321
35018,"Davenport/Davenport"," 38","Toronto",150,103,1,0,27,9,0,290,481
35018,"Davenport/Davenport"," 39","Toronto",83,89,0,0,33,8,1,214,380
35018,"Davenport/Davenport"," 40","Toronto",69,106,0,0,34,11,0,220,369
35018,"Davenport/Davenport"," 41","Toronto",65,96,1,1,18,7,3,191,351
35018,"Davenport/Davenport"," 42","Toronto",88,141,0,1,29,5,0,264,493
35018,"Davenport/Davenport"," 43","Toronto",101,154,1,0,38,6,2,302,514
35018,"Davenport/Davenport"," 44","Toronto",69,125,0,0,19,4,3,220,475
35018,"Davenport/Davenport"," 45","Toronto",82,127,0,0,28,4,4,245,454
35018,"Davenport/Davenport"," 46","Toronto",129,126,5,0,47,6,0,313,618
