Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ann Bastarache,Hélène Boudreau,Kevin King,Dominic LeBlanc,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 1","Petite-Aldouane",14,26,12,131,0,183,318
13002,"Beauséjour/Beauséjour"," 2","Aldouane",27,44,12,164,0,247,365
13002,"Beauséjour/Beauséjour"," 3","Aldouane",7,29,16,149,0,201,331
13002,"Beauséjour/Beauséjour"," 4","Saint-Louis",20,24,10,136,4,194,369
13002,"Beauséjour/Beauséjour"," 5","Saint-Louis",14,28,13,146,3,204,409
13002,"Beauséjour/Beauséjour"," 6","Saint-Louis",10,32,6,99,1,148,250
13002,"Beauséjour/Beauséjour"," 7","Saint-Louis",13,21,3,96,1,134,268
13002,"Beauséjour/Beauséjour"," 8","Saint-Louis",18,36,10,131,1,196,304
13002,"Beauséjour/Beauséjour"," 9","Saint-Charles",18,39,11,154,3,225,343
13002,"Beauséjour/Beauséjour"," 10","Saint-Charles",21,20,11,138,2,192,291
13002,"Beauséjour/Beauséjour"," 11","Richibucto",11,16,6,114,1,148,288
13002,"Beauséjour/Beauséjour"," 12","Richibucto",5,26,9,83,3,126,247
13002,"Beauséjour/Beauséjour"," 13","Richibucto",12,20,2,98,0,132,255
13002,"Beauséjour/Beauséjour"," 14","Richibucto",8,15,6,76,5,110,230
13002,"Beauséjour/Beauséjour"," 15","Richibucto-Village",19,31,7,153,0,210,351
13002,"Beauséjour/Beauséjour"," 16","Richibucto-Village",22,23,6,136,1,188,291
13002,"Beauséjour/Beauséjour"," 17","Richibucto-Village",7,15,12,132,0,166,260
13002,"Beauséjour/Beauséjour"," 18","Indian Island",1,7,0,56,0,64,96
13002,"Beauséjour/Beauséjour"," 19","Richibouctou",17,16,3,74,0,110,299
13002,"Beauséjour/Beauséjour"," 20","Rexton",15,18,11,85,0,129,285
13002,"Beauséjour/Beauséjour"," 21","Richibouctou",10,24,7,92,0,133,255
13002,"Beauséjour/Beauséjour"," 22","Rexton",22,25,9,92,0,148,306
13002,"Beauséjour/Beauséjour"," 23","St. Edouard",19,51,11,203,0,284,430
13002,"Beauséjour/Beauséjour"," 24","South Branch--West Branch",17,19,7,171,1,215,278
13002,"Beauséjour/Beauséjour"," 25","Saint-Pierre",17,18,8,155,3,201,363
13002,"Beauséjour/Beauséjour"," 26","Bouctouche",27,19,9,112,1,168,320
