Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Duncan Bell,Tony Clement,Trisha Cowie,Glen Hodgson,Matt McCarthy,Gordie Merton,Albert Gray Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 1","Restoule",0,116,59,10,49,0,0,0,234,409
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 2","Loring",0,62,45,1,16,0,1,1,126,333
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 3","Port Loring",0,65,33,5,3,0,0,0,106,250
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 4","Arnstein",1,76,51,5,15,0,0,0,148,312
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 5","Britt",0,70,59,6,19,2,0,0,156,423
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 6","Pointe au Baril",1,103,58,15,10,0,1,0,188,334
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 7","Dunchurch",2,97,83,9,22,2,0,0,215,410
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 8","Dunchurch",1,128,104,29,9,0,0,1,272,465
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 9","McKellar",1,94,63,14,13,0,0,0,185,304
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 10","McKellar",0,133,73,22,20,0,0,1,249,464
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 11","Waubamik",0,96,77,16,24,0,0,0,213,431
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 12A","Waubamik",0,69,55,20,23,0,0,0,167,293
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 12B","Waubamik",2,69,63,6,20,0,0,1,161,319
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 13","Carling",0,71,72,17,11,0,0,0,171,310
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 14","Carling",0,83,56,5,13,0,2,0,159,324
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 15","Carling",1,79,71,17,13,0,0,0,181,352
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 16","McDougall",1,91,62,21,10,0,0,0,185,396
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 17","McDougall",2,109,86,28,23,0,0,2,250,517
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 18","McDougall",0,79,56,16,30,0,0,0,181,371
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 19","McDougall",1,57,48,10,8,0,0,1,125,289
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 20","Parry Sound",1,86,92,25,26,0,0,1,231,500
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 21","Parry Sound",0,68,62,15,14,0,1,1,161,394
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 22","Parry Sound",0,42,83,16,22,0,1,2,166,385
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 23","Parry Sound",2,54,63,22,15,0,1,1,158,417
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 24","Parry Sound",3,61,75,19,15,0,0,2,175,417
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 25","Parry Sound",0,54,73,20,27,0,0,0,174,400
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 26","Parry Sound",1,50,95,14,18,0,0,3,181,396
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 27","Parry Sound",0,53,73,19,8,0,0,0,153,389
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 28","Parry Sound",3,50,93,18,11,0,0,0,175,392
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 29","Parry Sound",1,67,89,14,22,0,0,0,193,401
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 30","Parry Sound",1,61,67,22,18,0,0,0,169,367
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 31","Parry Sound",1,26,44,3,12,0,0,1,87,265
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 32","San Souci",0,59,58,18,6,0,0,0,141,322
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 33","Seguin",0,88,69,10,16,0,0,1,184,334
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 34","Seguin",0,40,45,4,15,0,0,0,104,216
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 35","Seguin",0,59,53,19,15,0,0,0,146,309
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 36","Seguin",4,74,45,12,12,0,0,0,147,284
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 37","Orrville",0,78,75,8,24,0,1,1,187,296
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 38","Orrville",0,79,65,18,19,0,0,1,182,301
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 39","Seguin",1,99,100,18,23,0,0,1,242,432
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 40","Seguin",0,118,84,19,18,0,0,0,239,447
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 41","Rosseau",0,93,70,17,6,0,0,1,187,300
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 42","Rosseau",0,113,74,21,29,1,0,0,238,441
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 43","Minett",0,110,77,10,8,0,0,1,206,349
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 44","Port Carling",0,112,94,16,14,0,0,0,236,397
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 45","Port Carling",0,136,88,25,8,1,0,1,259,456
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 46","Port Carling",0,111,108,22,12,0,1,0,254,403
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 47A","MacTier",0,56,25,3,12,1,0,1,98,298
