Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles Boylan,Raj Gupta,Elain Ng,Amandeep Nijjar,Harjit S. Sajjan,Wai Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59040,"Vancouver South/Vancouver-Sud"," 1","Vancouver",2,1,9,18,93,64,1,188,410
59040,"Vancouver South/Vancouver-Sud"," 2","Vancouver",3,2,9,20,97,89,1,221,403
59040,"Vancouver South/Vancouver-Sud"," 3","Vancouver",1,2,10,26,99,54,0,192,419
59040,"Vancouver South/Vancouver-Sud"," 4","Vancouver",0,1,4,34,118,85,1,243,462
59040,"Vancouver South/Vancouver-Sud"," 5","Vancouver",1,0,3,18,75,64,3,164,423
59040,"Vancouver South/Vancouver-Sud"," 6","Vancouver",0,1,5,23,109,70,2,210,412
59040,"Vancouver South/Vancouver-Sud"," 7","Vancouver",1,1,1,9,65,53,0,130,371
59040,"Vancouver South/Vancouver-Sud"," 8","Vancouver",0,0,8,8,72,64,1,153,409
59040,"Vancouver South/Vancouver-Sud"," 9","Vancouver",0,0,2,9,70,71,0,152,399
59040,"Vancouver South/Vancouver-Sud"," 10","Vancouver",0,1,4,19,102,42,3,171,425
59040,"Vancouver South/Vancouver-Sud"," 11","Vancouver",1,1,3,27,104,51,4,191,460
59040,"Vancouver South/Vancouver-Sud"," 12","Vancouver",0,1,1,41,92,29,2,166,466
59040,"Vancouver South/Vancouver-Sud"," 13","Vancouver",1,1,5,18,93,65,0,183,459
59040,"Vancouver South/Vancouver-Sud"," 14","Vancouver",0,0,5,15,96,36,0,152,427
59040,"Vancouver South/Vancouver-Sud"," 15","Vancouver",0,2,4,21,136,54,0,217,514
59040,"Vancouver South/Vancouver-Sud"," 16","Vancouver",0,1,3,30,64,48,3,149,423
59040,"Vancouver South/Vancouver-Sud"," 17","Vancouver",1,0,6,32,125,54,1,219,452
59040,"Vancouver South/Vancouver-Sud"," 18","Vancouver",3,1,16,53,154,53,2,282,523
59040,"Vancouver South/Vancouver-Sud"," 19","Vancouver",2,0,6,60,133,53,4,258,537
59040,"Vancouver South/Vancouver-Sud"," 20","Vancouver",0,0,5,40,122,66,2,235,450
59040,"Vancouver South/Vancouver-Sud"," 21","Vancouver",1,1,10,27,105,65,3,212,424
59040,"Vancouver South/Vancouver-Sud"," 22","Vancouver",0,1,1,20,112,35,1,170,395
59040,"Vancouver South/Vancouver-Sud"," 23","Vancouver",1,2,7,36,109,60,0,215,472
59040,"Vancouver South/Vancouver-Sud"," 24","Vancouver",1,0,6,21,65,80,1,174,363
59040,"Vancouver South/Vancouver-Sud"," 25","Vancouver",0,0,3,27,128,70,0,228,504
59040,"Vancouver South/Vancouver-Sud"," 26","Vancouver",0,1,3,27,61,70,6,168,447
59040,"Vancouver South/Vancouver-Sud"," 27","Vancouver",0,0,9,57,102,58,3,229,478
59040,"Vancouver South/Vancouver-Sud"," 28","Vancouver",0,1,3,34,89,65,2,194,442
59040,"Vancouver South/Vancouver-Sud"," 29","Vancouver",0,2,5,18,90,71,2,188,430
