Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leslie Bory,Dave Bylsma,Wayne Ettinger,Diane Finley,John Harris,Joan Mouland,Dustin Wakeford,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 49","Haldimand County",0,0,11,75,14,51,0,0,151,293
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 49-1","Haldimand County",0,0,4,47,25,31,2,0,109,214
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 50","Haldimand County",1,4,7,61,28,81,3,1,186,410
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 51","Haldimand County",2,0,3,81,43,71,0,2,202,399
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 52","Haldimand County",1,1,8,94,15,94,2,0,215,434
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 53","Haldimand County",0,4,10,92,32,75,0,1,214,448
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 54","Haldimand County",0,4,9,105,34,93,2,1,248,408
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 55","Haldimand County",0,0,5,78,21,56,1,0,161,246
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 56","Haldimand County",1,3,18,125,23,81,0,0,251,397
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 57","Haldimand County",0,2,12,107,32,89,1,0,243,430
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 58","Haldimand County",1,13,13,132,41,66,1,0,267,516
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 59","Haldimand County",0,2,8,126,45,90,3,1,275,479
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 60","Haldimand County",0,4,9,86,39,117,2,1,258,543
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 61","Haldimand County",1,1,6,86,37,97,0,0,228,452
