Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kerry Diotte,Brian Gold,Maryna Goncharenko,Janis Irwin,Mary Joyce,Linda Northcott,Bun Bun Thompson,Heather Workman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton Griesbach/Edmonton Griesbach"," 1A","Edmonton",51,33,1,44,0,0,0,1,0,130,318
48015,"Edmonton Griesbach/Edmonton Griesbach"," 1B","Edmonton",71,28,2,41,0,0,0,2,0,144,318
48015,"Edmonton Griesbach/Edmonton Griesbach"," 2","Edmonton",89,57,1,59,0,0,2,4,0,212,462
48015,"Edmonton Griesbach/Edmonton Griesbach"," 3","Edmonton",81,73,0,70,1,1,0,7,0,233,451
48015,"Edmonton Griesbach/Edmonton Griesbach"," 4A","Edmonton",100,68,5,55,0,0,0,4,1,233,388
48015,"Edmonton Griesbach/Edmonton Griesbach"," 4B","Edmonton",74,51,1,55,0,0,1,2,0,184,324
48015,"Edmonton Griesbach/Edmonton Griesbach"," 5","Edmonton",103,66,2,73,0,0,0,3,1,248,464
48015,"Edmonton Griesbach/Edmonton Griesbach"," 6","Edmonton",102,55,1,51,0,0,0,5,0,214,383
48015,"Edmonton Griesbach/Edmonton Griesbach"," 7","Edmonton",146,39,0,49,0,1,2,2,2,241,420
48015,"Edmonton Griesbach/Edmonton Griesbach"," 8","Edmonton",59,55,3,83,1,0,2,1,1,205,459
48015,"Edmonton Griesbach/Edmonton Griesbach"," 9","Edmonton",42,47,4,72,0,2,1,6,0,174,372
48015,"Edmonton Griesbach/Edmonton Griesbach"," 10","Edmonton",79,61,3,79,1,1,4,1,0,229,365
48015,"Edmonton Griesbach/Edmonton Griesbach"," 11","Edmonton",30,46,0,48,0,0,0,0,3,127,393
48015,"Edmonton Griesbach/Edmonton Griesbach"," 12","Edmonton",105,54,6,44,0,1,0,4,0,214,516
48015,"Edmonton Griesbach/Edmonton Griesbach"," 13","Edmonton",75,66,1,54,0,0,1,2,1,200,394
48015,"Edmonton Griesbach/Edmonton Griesbach"," 14","Edmonton",92,44,2,33,0,1,0,3,0,175,347
48015,"Edmonton Griesbach/Edmonton Griesbach"," 15","Edmonton",69,49,0,46,0,0,0,1,0,165,341
48015,"Edmonton Griesbach/Edmonton Griesbach"," 16","Edmonton",38,32,0,61,0,0,0,1,0,132,371
48015,"Edmonton Griesbach/Edmonton Griesbach"," 17","Edmonton",80,38,0,49,0,2,1,1,1,172,403
48015,"Edmonton Griesbach/Edmonton Griesbach"," 18","Edmonton",87,57,4,45,0,0,0,0,2,195,436
48015,"Edmonton Griesbach/Edmonton Griesbach"," 19","Edmonton",77,33,0,43,1,0,0,1,0,155,360
48015,"Edmonton Griesbach/Edmonton Griesbach"," 20","Edmonton",78,27,1,50,1,0,0,2,2,161,345
48015,"Edmonton Griesbach/Edmonton Griesbach"," 21","Edmonton",107,48,4,63,1,1,1,7,2,234,389
48015,"Edmonton Griesbach/Edmonton Griesbach"," 22","Edmonton",75,41,1,43,0,3,1,1,0,165,328
48015,"Edmonton Griesbach/Edmonton Griesbach"," 23","Edmonton",103,41,2,52,0,0,0,7,1,206,393
48015,"Edmonton Griesbach/Edmonton Griesbach"," 24","Edmonton",75,53,0,49,0,1,0,1,1,180,426
48015,"Edmonton Griesbach/Edmonton Griesbach"," 25","Edmonton",87,58,0,72,0,2,0,8,0,227,463
48015,"Edmonton Griesbach/Edmonton Griesbach"," 26","Edmonton",99,35,0,56,1,1,0,9,1,202,373
48015,"Edmonton Griesbach/Edmonton Griesbach"," 27","Edmonton",82,49,1,57,1,1,0,4,2,197,427
48015,"Edmonton Griesbach/Edmonton Griesbach"," 28","Edmonton",70,46,2,54,0,0,1,1,2,176,433
48015,"Edmonton Griesbach/Edmonton Griesbach"," 29","Edmonton",51,50,3,73,0,0,0,4,4,185,397
48015,"Edmonton Griesbach/Edmonton Griesbach"," 30","Edmonton",45,35,1,41,0,0,0,2,0,124,332
48015,"Edmonton Griesbach/Edmonton Griesbach"," 31","Edmonton",44,44,1,70,0,1,0,4,0,164,372
48015,"Edmonton Griesbach/Edmonton Griesbach"," 32","Edmonton",93,37,3,63,0,2,0,4,0,202,426
48015,"Edmonton Griesbach/Edmonton Griesbach"," 33","Edmonton",77,45,1,70,0,0,0,1,0,194,380
48015,"Edmonton Griesbach/Edmonton Griesbach"," 34","Edmonton",112,40,0,54,0,1,0,1,0,208,353
48015,"Edmonton Griesbach/Edmonton Griesbach"," 35","Edmonton",94,40,0,45,0,0,0,2,2,183,345
48015,"Edmonton Griesbach/Edmonton Griesbach"," 36","Edmonton",79,26,5,42,0,3,0,7,0,162,358
48015,"Edmonton Griesbach/Edmonton Griesbach"," 37","Edmonton",151,51,1,47,0,1,0,6,0,257,480
48015,"Edmonton Griesbach/Edmonton Griesbach"," 38","Edmonton",77,50,0,41,1,2,0,7,1,179,377
48015,"Edmonton Griesbach/Edmonton Griesbach"," 39","Edmonton",89,42,1,64,0,2,2,4,2,206,405
48015,"Edmonton Griesbach/Edmonton Griesbach"," 40","Edmonton",108,25,0,61,1,1,0,1,0,197,371
48015,"Edmonton Griesbach/Edmonton Griesbach"," 41","Edmonton",99,36,1,46,0,2,0,5,0,189,387
48015,"Edmonton Griesbach/Edmonton Griesbach"," 42","Edmonton",81,43,2,56,0,0,0,0,0,182,410
48015,"Edmonton Griesbach/Edmonton Griesbach"," 43","Edmonton",50,29,3,39,0,0,0,2,0,123,343
48015,"Edmonton Griesbach/Edmonton Griesbach"," 44","Edmonton",78,55,5,85,0,1,0,1,1,226,409
48015,"Edmonton Griesbach/Edmonton Griesbach"," 45","Edmonton",89,34,1,55,0,2,0,5,0,186,348
48015,"Edmonton Griesbach/Edmonton Griesbach"," 46","Edmonton",75,66,1,61,2,1,1,6,2,215,443
48015,"Edmonton Griesbach/Edmonton Griesbach"," 47","Edmonton",79,29,3,40,0,1,1,8,1,162,330
48015,"Edmonton Griesbach/Edmonton Griesbach"," 48","Edmonton",94,41,1,59,0,0,0,4,0,199,359
48015,"Edmonton Griesbach/Edmonton Griesbach"," 49","Edmonton",118,39,2,68,0,0,1,8,0,236,437
48015,"Edmonton Griesbach/Edmonton Griesbach"," 50","Edmonton",110,44,1,51,0,1,2,1,1,211,439
48015,"Edmonton Griesbach/Edmonton Griesbach"," 51","Edmonton",88,42,4,64,0,0,1,4,0,203,394
48015,"Edmonton Griesbach/Edmonton Griesbach"," 52","Edmonton",82,32,0,70,0,1,1,7,0,193,421
48015,"Edmonton Griesbach/Edmonton Griesbach"," 53","Edmonton",67,32,2,84,0,0,0,5,0,190,443
48015,"Edmonton Griesbach/Edmonton Griesbach"," 54","Edmonton",116,47,2,67,2,2,0,11,1,248,456
48015,"Edmonton Griesbach/Edmonton Griesbach"," 55","Edmonton",124,65,0,49,0,2,1,5,2,248,472
48015,"Edmonton Griesbach/Edmonton Griesbach"," 56","Edmonton",91,38,1,69,0,1,1,3,0,204,400
48015,"Edmonton Griesbach/Edmonton Griesbach"," 57","Edmonton",110,56,1,71,1,1,0,8,0,248,427
48015,"Edmonton Griesbach/Edmonton Griesbach"," 58","Edmonton",86,51,2,89,1,0,1,2,1,233,479
48015,"Edmonton Griesbach/Edmonton Griesbach"," 59","Edmonton",51,41,1,55,1,0,0,4,1,154,368
48015,"Edmonton Griesbach/Edmonton Griesbach"," 60","Edmonton",139,39,1,57,0,3,1,7,0,247,445
48015,"Edmonton Griesbach/Edmonton Griesbach"," 61","Edmonton",128,31,0,59,0,3,3,4,0,228,405
48015,"Edmonton Griesbach/Edmonton Griesbach"," 62","Edmonton",101,49,2,39,1,2,0,4,0,198,373
48015,"Edmonton Griesbach/Edmonton Griesbach"," 63","Edmonton",99,25,0,55,0,2,1,12,4,198,413
48015,"Edmonton Griesbach/Edmonton Griesbach"," 64A","Edmonton",39,7,0,11,0,1,0,0,0,58,150
48015,"Edmonton Griesbach/Edmonton Griesbach"," 64B","Edmonton",Merged with No./Fusionné avec le n°400,,,,,,,,,,115
48015,"Edmonton Griesbach/Edmonton Griesbach"," 64C","Edmonton",110,31,1,35,0,0,0,2,1,180,230
48015,"Edmonton Griesbach/Edmonton Griesbach"," 65","Edmonton",123,66,1,46,0,2,0,4,1,243,477
48015,"Edmonton Griesbach/Edmonton Griesbach"," 66","Edmonton",95,41,2,52,0,0,0,3,0,193,468
48015,"Edmonton Griesbach/Edmonton Griesbach"," 67","Edmonton",77,43,1,67,0,1,0,3,0,192,460
48015,"Edmonton Griesbach/Edmonton Griesbach"," 68","Edmonton",102,51,0,70,1,0,1,8,1,234,481
48015,"Edmonton Griesbach/Edmonton Griesbach"," 69","Edmonton",63,47,3,60,2,2,0,8,0,185,442
48015,"Edmonton Griesbach/Edmonton Griesbach"," 70","Edmonton",73,44,2,67,1,5,0,7,4,203,446
48015,"Edmonton Griesbach/Edmonton Griesbach"," 71","Edmonton",63,32,1,63,0,0,0,3,0,162,463
48015,"Edmonton Griesbach/Edmonton Griesbach"," 72","Edmonton",76,39,2,55,2,3,2,7,0,186,440
48015,"Edmonton Griesbach/Edmonton Griesbach"," 73","Edmonton",83,40,1,83,0,2,0,5,0,214,416
48015,"Edmonton Griesbach/Edmonton Griesbach"," 74","Edmonton",73,58,2,52,0,0,1,4,0,190,425
48015,"Edmonton Griesbach/Edmonton Griesbach"," 75","Edmonton",85,55,2,44,1,1,1,6,0,195,467
48015,"Edmonton Griesbach/Edmonton Griesbach"," 76","Edmonton",51,47,3,67,1,2,2,10,1,184,449
48015,"Edmonton Griesbach/Edmonton Griesbach"," 77","Edmonton",53,52,0,78,0,2,1,3,1,190,435
48015,"Edmonton Griesbach/Edmonton Griesbach"," 78","Edmonton",67,55,3,50,0,1,2,2,2,182,368
48015,"Edmonton Griesbach/Edmonton Griesbach"," 79","Edmonton",108,34,0,77,0,2,0,1,1,223,376
48015,"Edmonton Griesbach/Edmonton Griesbach"," 80","Edmonton",69,45,1,67,1,0,1,7,2,193,422
48015,"Edmonton Griesbach/Edmonton Griesbach"," 81","Edmonton",48,44,2,48,0,0,0,7,2,151,428
48015,"Edmonton Griesbach/Edmonton Griesbach"," 82","Edmonton",106,31,0,76,0,1,0,11,1,226,425
48015,"Edmonton Griesbach/Edmonton Griesbach"," 83","Edmonton",79,47,1,46,0,1,0,1,4,179,368
48015,"Edmonton Griesbach/Edmonton Griesbach"," 84","Edmonton",56,39,1,37,0,3,2,6,2,146,339
48015,"Edmonton Griesbach/Edmonton Griesbach"," 85","Edmonton",76,27,2,57,2,1,0,5,0,170,399
48015,"Edmonton Griesbach/Edmonton Griesbach"," 86","Edmonton",76,33,1,56,0,3,0,3,0,172,371
48015,"Edmonton Griesbach/Edmonton Griesbach"," 87","Edmonton",82,49,2,65,0,4,2,4,0,208,387
48015,"Edmonton Griesbach/Edmonton Griesbach"," 88","Edmonton",28,46,1,43,0,0,0,2,0,120,344
48015,"Edmonton Griesbach/Edmonton Griesbach"," 89","Edmonton",55,45,3,47,1,3,1,3,0,158,425
48015,"Edmonton Griesbach/Edmonton Griesbach"," 90","Edmonton",110,52,3,52,1,3,0,3,1,225,393
48015,"Edmonton Griesbach/Edmonton Griesbach"," 91","Edmonton",102,28,2,45,0,0,0,3,1,181,341
48015,"Edmonton Griesbach/Edmonton Griesbach"," 92","Edmonton",86,47,1,48,0,2,1,6,3,194,384
48015,"Edmonton Griesbach/Edmonton Griesbach"," 93","Edmonton",88,53,3,52,0,2,1,4,0,203,464
48015,"Edmonton Griesbach/Edmonton Griesbach"," 94","Edmonton",73,46,4,60,1,1,0,3,1,189,466
48015,"Edmonton Griesbach/Edmonton Griesbach"," 95","Edmonton",77,53,2,56,1,2,1,5,0,197,447
48015,"Edmonton Griesbach/Edmonton Griesbach"," 96","Edmonton",27,48,1,40,1,0,0,5,0,122,461
48015,"Edmonton Griesbach/Edmonton Griesbach"," 97","Edmonton",63,45,2,50,0,2,1,4,0,167,343
48015,"Edmonton Griesbach/Edmonton Griesbach"," 98","Edmonton",39,27,0,37,0,0,0,3,0,106,365
48015,"Edmonton Griesbach/Edmonton Griesbach"," 99","Edmonton",68,50,2,55,0,1,1,0,0,177,396
48015,"Edmonton Griesbach/Edmonton Griesbach"," 100","Edmonton",65,37,0,51,0,0,0,2,0,155,438
48015,"Edmonton Griesbach/Edmonton Griesbach"," 101","Edmonton",46,42,2,52,1,0,0,7,0,150,421
48015,"Edmonton Griesbach/Edmonton Griesbach"," 102","Edmonton",40,27,2,52,0,0,0,3,1,125,395
48015,"Edmonton Griesbach/Edmonton Griesbach"," 103","Edmonton",37,29,0,48,2,3,0,4,0,123,398
48015,"Edmonton Griesbach/Edmonton Griesbach"," 104","Edmonton",65,57,4,54,1,2,1,2,0,186,465
48015,"Edmonton Griesbach/Edmonton Griesbach"," 105","Edmonton",37,34,1,54,1,3,1,3,0,134,446
48015,"Edmonton Griesbach/Edmonton Griesbach"," 106","Edmonton",65,43,1,63,1,1,1,2,1,178,446
48015,"Edmonton Griesbach/Edmonton Griesbach"," 107","Edmonton",61,41,4,57,2,2,0,11,0,178,415
48015,"Edmonton Griesbach/Edmonton Griesbach"," 108","Edmonton",52,44,4,79,0,2,1,7,0,189,457
48015,"Edmonton Griesbach/Edmonton Griesbach"," 109","Edmonton",56,23,0,83,1,1,1,9,0,174,428
48015,"Edmonton Griesbach/Edmonton Griesbach"," 110","Edmonton",51,41,1,60,0,2,0,8,0,163,391
48015,"Edmonton Griesbach/Edmonton Griesbach"," 111","Edmonton",65,42,0,70,0,0,0,5,0,182,453
48015,"Edmonton Griesbach/Edmonton Griesbach"," 112","Edmonton",77,57,0,57,0,3,1,6,0,201,420
48015,"Edmonton Griesbach/Edmonton Griesbach"," 113","Edmonton",42,40,0,75,0,1,0,7,0,165,439
48015,"Edmonton Griesbach/Edmonton Griesbach"," 114","Edmonton",33,31,1,58,0,1,0,1,1,126,375
48015,"Edmonton Griesbach/Edmonton Griesbach"," 115","Edmonton",32,46,0,84,0,3,1,6,4,176,423
48015,"Edmonton Griesbach/Edmonton Griesbach"," 116","Edmonton",49,36,1,114,0,1,3,14,8,226,497
48015,"Edmonton Griesbach/Edmonton Griesbach"," 117","Edmonton",57,42,3,80,0,2,2,8,1,195,454
48015,"Edmonton Griesbach/Edmonton Griesbach"," 118","Edmonton",57,56,1,132,0,2,0,16,0,264,572
48015,"Edmonton Griesbach/Edmonton Griesbach"," 119","Edmonton",48,65,3,91,0,3,0,4,1,215,446
48015,"Edmonton Griesbach/Edmonton Griesbach"," 120","Edmonton",55,44,0,83,1,3,2,12,1,201,469
48015,"Edmonton Griesbach/Edmonton Griesbach"," 121","Edmonton",42,49,0,72,0,0,17,0,0,180,425
48015,"Edmonton Griesbach/Edmonton Griesbach"," 122","Edmonton",43,47,2,83,0,4,0,8,0,187,467
48015,"Edmonton Griesbach/Edmonton Griesbach"," 123","Edmonton",54,54,4,60,1,2,0,5,1,181,443
48015,"Edmonton Griesbach/Edmonton Griesbach"," 124","Edmonton",43,51,3,77,1,2,1,4,1,183,462
48015,"Edmonton Griesbach/Edmonton Griesbach"," 125","Edmonton",36,46,3,97,2,0,0,11,1,196,428
48015,"Edmonton Griesbach/Edmonton Griesbach"," 126","Edmonton",59,60,8,50,0,1,0,7,0,185,461
48015,"Edmonton Griesbach/Edmonton Griesbach"," 127","Edmonton",37,50,3,96,0,0,0,6,3,195,448
48015,"Edmonton Griesbach/Edmonton Griesbach"," 128","Edmonton",46,43,5,109,1,2,0,6,2,214,418
48015,"Edmonton Griesbach/Edmonton Griesbach"," 129","Edmonton",49,52,1,95,0,2,1,1,1,202,449
48015,"Edmonton Griesbach/Edmonton Griesbach"," 130","Edmonton",47,63,3,64,3,1,0,7,0,188,438
48015,"Edmonton Griesbach/Edmonton Griesbach"," 131","Edmonton",30,33,1,52,2,4,0,0,1,123,367
48015,"Edmonton Griesbach/Edmonton Griesbach"," 132A","Edmonton",15,25,0,25,1,0,1,2,0,69,180
48015,"Edmonton Griesbach/Edmonton Griesbach"," 132B","Edmonton",17,40,2,51,2,7,0,3,0,122,394
48015,"Edmonton Griesbach/Edmonton Griesbach"," 133","Edmonton",28,65,3,57,1,3,1,4,0,162,441
48015,"Edmonton Griesbach/Edmonton Griesbach"," 134","Edmonton",25,61,2,47,1,1,0,3,0,140,398
48015,"Edmonton Griesbach/Edmonton Griesbach"," 135A","Edmonton",25,37,2,34,0,0,0,4,1,103,290
48015,"Edmonton Griesbach/Edmonton Griesbach"," 135B","Edmonton",26,44,0,41,0,0,1,2,1,115,287
48015,"Edmonton Griesbach/Edmonton Griesbach"," 136A","Edmonton",45,32,0,24,0,0,2,6,0,109,164
48015,"Edmonton Griesbach/Edmonton Griesbach"," 136B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510,,,,,,,,,,296
48015,"Edmonton Griesbach/Edmonton Griesbach"," 137","Edmonton",56,44,1,36,0,0,0,3,1,141,462
48015,"Edmonton Griesbach/Edmonton Griesbach"," 138A","Edmonton",30,38,2,57,0,0,0,2,0,129,458
48015,"Edmonton Griesbach/Edmonton Griesbach"," 138B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,,,97
48015,"Edmonton Griesbach/Edmonton Griesbach"," 139A","Edmonton",50,29,0,39,0,0,0,3,0,121,257
48015,"Edmonton Griesbach/Edmonton Griesbach"," 139B","Mobile poll/Bureau itinérant",74,22,3,30,1,1,1,2,1,135,210
48015,"Edmonton Griesbach/Edmonton Griesbach"," 140","Edmonton",54,30,5,82,0,1,0,7,1,180,450
48015,"Edmonton Griesbach/Edmonton Griesbach"," 141","Edmonton",17,42,2,30,0,1,0,2,1,95,386
48015,"Edmonton Griesbach/Edmonton Griesbach"," 142","Edmonton",56,64,1,70,0,1,1,7,0,200,448
48015,"Edmonton Griesbach/Edmonton Griesbach"," 143","Edmonton",56,30,3,122,1,1,0,9,0,222,406
48015,"Edmonton Griesbach/Edmonton Griesbach"," 144","Edmonton",67,28,2,82,0,3,0,3,0,185,419
48015,"Edmonton Griesbach/Edmonton Griesbach"," 145","Edmonton",61,39,1,97,0,0,0,7,0,205,376
48015,"Edmonton Griesbach/Edmonton Griesbach"," 146","Edmonton",87,39,3,89,0,1,0,6,0,225,386
48015,"Edmonton Griesbach/Edmonton Griesbach"," 147","Edmonton",90,37,2,99,0,2,0,4,0,234,408
48015,"Edmonton Griesbach/Edmonton Griesbach"," 148","Edmonton",82,43,1,124,0,1,0,7,0,258,422
48015,"Edmonton Griesbach/Edmonton Griesbach"," 149","Edmonton",96,34,3,59,0,1,2,6,0,201,386
48015,"Edmonton Griesbach/Edmonton Griesbach"," 150","Edmonton",44,28,0,68,0,1,0,2,0,143,367
48015,"Edmonton Griesbach/Edmonton Griesbach"," 151","Edmonton",43,31,3,78,0,0,1,3,2,161,400
48015,"Edmonton Griesbach/Edmonton Griesbach"," 152","Edmonton",74,57,2,81,0,2,0,6,0,222,360
48015,"Edmonton Griesbach/Edmonton Griesbach"," 153","Edmonton",63,29,4,68,0,1,0,9,0,174,372
48015,"Edmonton Griesbach/Edmonton Griesbach"," 154","Edmonton",57,50,0,69,1,0,1,4,0,182,417
48015,"Edmonton Griesbach/Edmonton Griesbach"," 155","Edmonton",98,36,3,55,0,0,0,5,0,197,347
48015,"Edmonton Griesbach/Edmonton Griesbach"," 156","Edmonton",81,51,0,49,0,0,0,2,0,183,364
48015,"Edmonton Griesbach/Edmonton Griesbach"," 157","Edmonton",75,39,5,88,0,1,0,8,0,216,418
48015,"Edmonton Griesbach/Edmonton Griesbach"," 158","Edmonton",123,33,2,78,0,1,1,2,2,242,434
48015,"Edmonton Griesbach/Edmonton Griesbach"," 159","Edmonton",80,29,1,63,0,1,0,5,1,180,432
48015,"Edmonton Griesbach/Edmonton Griesbach"," 160","Edmonton",87,37,2,92,0,2,0,6,0,226,412
48015,"Edmonton Griesbach/Edmonton Griesbach"," 161","Edmonton",124,45,1,44,1,0,0,11,2,228,397
48015,"Edmonton Griesbach/Edmonton Griesbach"," 162","Edmonton",104,38,0,55,0,0,0,3,2,202,370
48015,"Edmonton Griesbach/Edmonton Griesbach"," 163","Edmonton",71,45,1,52,0,0,1,1,1,172,408
48015,"Edmonton Griesbach/Edmonton Griesbach"," 164","Edmonton",66,32,3,69,0,2,2,2,1,177,388
