Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arnold Chan,Bin Chang,Jude Coutinho,Laura Patrick,Debra Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 1","Scarborough",76,54,1,2,0,0,133,271
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 2","Scarborough",91,83,1,7,2,2,186,463
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 3","Scarborough",93,100,2,7,0,0,202,487
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 4","Scarborough",90,92,0,8,2,1,193,440
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 5","Scarborough",73,89,0,3,3,0,168,410
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 6","Scarborough",86,72,0,12,1,1,172,452
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 7","Scarborough",48,42,0,7,1,1,99,272
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 8","Scarborough",133,70,0,18,7,2,230,486
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 9","Scarborough",89,40,0,26,4,1,160,399
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 10","Scarborough",78,57,1,13,1,6,156,371
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 11","Scarborough",72,63,3,10,1,0,149,399
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 12","Scarborough",131,43,4,18,3,0,199,513
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 13A","Scarborough",43,42,0,3,0,0,88,233
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 13B","Scarborough",54,52,2,3,1,3,115,314
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 14","Scarborough",40,30,1,13,1,0,85,284
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 15","Scarborough",54,58,0,5,0,1,118,316
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 16","Scarborough",79,44,3,8,0,1,135,326
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 17","Scarborough",91,73,1,18,1,0,184,422
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 18","Scarborough",43,48,1,12,1,2,107,280
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 19","Scarborough",62,47,2,6,3,0,120,303
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 20","Scarborough",85,56,1,6,2,0,150,361
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 21","Scarborough",75,78,1,10,1,1,166,366
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 22","Scarborough",102,120,1,17,0,3,243,493
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 23","Scarborough",94,53,3,7,3,0,160,331
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 24","Scarborough",103,81,1,9,1,1,196,441
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 25","Scarborough",93,89,0,4,1,0,187,498
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 26","Scarborough",105,93,2,17,2,0,219,473
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 27","Scarborough",102,101,1,13,4,2,223,497
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 28","Scarborough",33,35,1,17,3,0,89,229
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 29","Scarborough",64,51,1,2,2,1,121,297
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 30","Scarborough",88,47,2,8,0,3,148,341
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 31A","Scarborough",73,49,3,12,1,0,138,312
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 31B","Scarborough",Merged with No./Fusionné avec le n°410,,,,,,,137
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 32","Scarborough",130,83,1,14,1,3,232,480
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 33","Scarborough",99,76,2,12,4,0,193,525
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 34","Scarborough",75,58,2,8,8,2,153,355
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 35","Scarborough",98,92,1,14,3,0,208,447
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 36","Scarborough",87,75,2,20,3,2,189,359
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 37","Scarborough",127,67,0,22,2,0,218,477
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 38","Scarborough",94,57,0,15,4,0,170,362
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 39","Scarborough",92,59,0,9,1,2,163,283
