Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Robert Mellalieu,Karley Scott,Angelique Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 186A","Keremeos",80,8,44,55,0,187,423
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 186B","Mobile poll/Bureau itinérant",15,5,14,13,0,47,16
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 187","Keremeos",75,7,61,47,1,191,413
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 188","Keremeos",77,21,75,65,0,238,503
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 189","Keremeos",52,6,43,37,0,138,219
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 190","Cawston",66,8,58,79,1,212,370
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 191","Cawston",73,11,45,98,1,228,378
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 500","Mobile poll/Bureau itinérant",40,2,22,19,2,85,115
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 501","Mobile poll/Bureau itinérant",20,3,19,9,1,52,164
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 502","Mobile poll/Bureau itinérant",51,2,22,18,2,95,108
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 503A","Mobile poll/Bureau itinérant",39,5,32,14,0,90,127
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 503B","Mobile poll/Bureau itinérant",122,3,94,30,0,249,184
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 505","Mobile poll/Bureau itinérant",75,7,34,22,1,139,227
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 506","Mobile poll/Bureau itinérant",50,7,35,30,3,125,269
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 507","Mobile poll/Bureau itinérant",51,9,33,18,2,113,157
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 600","Thompson-Nicola",218,16,89,157,0,480,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 601","Merritt",435,42,191,251,1,920,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 602","West Kelowna",404,21,266,121,2,814,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 603","Kelowna",264,29,289,227,2,811,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 604","Kelowna",592,32,411,192,3,1230,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 605","Kelowna",450,44,397,210,0,1101,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 606","West Kelowna",541,19,321,148,1,1030,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 607","West Kelowna",640,33,383,172,0,1228,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 608","West Kelowna",490,24,304,160,3,981,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 609","West Kelowna",468,33,339,163,1,1004,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 610","Peachland",480,32,252,125,1,890,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 611","Princeton",375,35,233,252,0,895,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 612","Summerland",475,35,376,252,0,1138,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 613","Summerland",379,43,315,242,1,980,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 614","Keremeos",389,39,222,246,2,898,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola",,"Group 1/Groupe 1",37,5,48,29,10,129,100
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola",,"Group 2/Groupe 2",958,69,624,494,55,2200,
