Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Akhtar Ayub,Toyin Dada,Anna Di Carlo,Kirsty Duncan,Faisal Hassan,George Szebik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35029,"Etobicoke North/Etobicoke-Nord"," 1","Etobicoke",8,42,0,162,25,1,0,238,543
35029,"Etobicoke North/Etobicoke-Nord"," 2","Etobicoke",3,19,1,100,17,0,0,140,336
35029,"Etobicoke North/Etobicoke-Nord"," 3","Etobicoke",1,35,3,147,16,1,1,204,570
35029,"Etobicoke North/Etobicoke-Nord"," 4","Etobicoke",2,35,0,98,13,0,0,148,381
35029,"Etobicoke North/Etobicoke-Nord"," 5","Etobicoke",2,58,4,169,5,0,1,239,469
35029,"Etobicoke North/Etobicoke-Nord"," 6","Etobicoke",4,43,0,128,12,0,0,187,355
35029,"Etobicoke North/Etobicoke-Nord"," 7","Etobicoke",2,55,0,97,16,0,0,170,377
35029,"Etobicoke North/Etobicoke-Nord"," 8","Etobicoke",0,47,0,136,14,0,0,197,374
35029,"Etobicoke North/Etobicoke-Nord"," 9","Etobicoke",2,59,0,172,21,0,1,255,408
35029,"Etobicoke North/Etobicoke-Nord"," 10","Etobicoke",4,31,2,171,12,2,0,222,480
35029,"Etobicoke North/Etobicoke-Nord"," 11","Etobicoke",0,28,0,147,9,0,3,187,335
35029,"Etobicoke North/Etobicoke-Nord"," 12","Etobicoke",2,52,5,158,21,0,4,242,514
35029,"Etobicoke North/Etobicoke-Nord"," 13","Etobicoke",2,51,1,162,18,3,0,237,457
35029,"Etobicoke North/Etobicoke-Nord"," 14","Etobicoke",2,36,2,169,10,0,3,222,423
35029,"Etobicoke North/Etobicoke-Nord"," 15","Etobicoke",0,43,1,135,15,0,0,194,381
35029,"Etobicoke North/Etobicoke-Nord"," 16","Etobicoke",0,50,4,184,17,0,0,255,534
35029,"Etobicoke North/Etobicoke-Nord"," 17","Etobicoke",3,62,1,176,27,1,0,270,535
35029,"Etobicoke North/Etobicoke-Nord"," 18","Etobicoke",0,63,2,168,39,1,3,276,525
35029,"Etobicoke North/Etobicoke-Nord"," 19","Etobicoke",4,55,1,165,23,0,1,249,485
35029,"Etobicoke North/Etobicoke-Nord"," 20","Etobicoke",1,20,0,143,16,0,0,180,389
35029,"Etobicoke North/Etobicoke-Nord"," 21","Etobicoke",1,37,0,119,16,0,2,175,460
35029,"Etobicoke North/Etobicoke-Nord"," 22","Etobicoke",1,51,0,96,6,1,0,155,391
35029,"Etobicoke North/Etobicoke-Nord"," 23","Etobicoke",0,45,0,140,21,1,2,209,397
35029,"Etobicoke North/Etobicoke-Nord"," 24","Etobicoke",1,21,0,93,3,0,2,120,307
35029,"Etobicoke North/Etobicoke-Nord"," 25","Etobicoke",1,29,1,95,44,1,1,172,422
35029,"Etobicoke North/Etobicoke-Nord"," 26","Etobicoke",2,52,0,105,5,0,0,164,419
35029,"Etobicoke North/Etobicoke-Nord"," 27","Etobicoke",0,48,1,67,9,0,1,126,377
35029,"Etobicoke North/Etobicoke-Nord"," 28","Etobicoke",2,43,3,70,12,0,0,130,408
35029,"Etobicoke North/Etobicoke-Nord"," 29","Etobicoke",1,42,0,78,19,1,2,143,387
35029,"Etobicoke North/Etobicoke-Nord"," 30","Etobicoke",3,59,2,141,13,0,1,219,532
35029,"Etobicoke North/Etobicoke-Nord"," 31","Etobicoke",1,40,1,115,9,1,0,167,444
35029,"Etobicoke North/Etobicoke-Nord"," 32","Etobicoke",1,43,0,101,20,2,1,168,312
35029,"Etobicoke North/Etobicoke-Nord"," 33","Etobicoke",4,54,4,140,26,0,1,229,422
35029,"Etobicoke North/Etobicoke-Nord"," 34","Etobicoke",0,57,6,167,16,0,1,247,425
