Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mauril Bélanger,Coreen Corcoran,Nira Dookeran,Christian Legeais,David Piccini,Emilie Taman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35078,"Ottawa--Vanier/Ottawa--Vanier"," 1","Gloucester",127,1,10,2,48,36,0,224,404
35078,"Ottawa--Vanier/Ottawa--Vanier"," 2","Gloucester",146,0,9,0,62,25,1,243,436
35078,"Ottawa--Vanier/Ottawa--Vanier"," 3","Gloucester",132,1,8,0,94,24,2,261,443
35078,"Ottawa--Vanier/Ottawa--Vanier"," 4","Gloucester",133,1,5,0,71,32,0,242,446
35078,"Ottawa--Vanier/Ottawa--Vanier"," 5","Gloucester",110,0,8,0,48,35,0,201,370
35078,"Ottawa--Vanier/Ottawa--Vanier"," 6","Gloucester",129,1,6,0,63,42,3,244,415
35078,"Ottawa--Vanier/Ottawa--Vanier"," 7","Gloucester",85,0,10,0,57,41,0,193,368
35078,"Ottawa--Vanier/Ottawa--Vanier"," 8","Gloucester",103,0,5,1,42,21,2,174,307
35078,"Ottawa--Vanier/Ottawa--Vanier"," 9","Gloucester",115,2,5,0,56,25,2,205,371
35078,"Ottawa--Vanier/Ottawa--Vanier"," 10","Gloucester",112,3,7,0,73,27,0,222,387
35078,"Ottawa--Vanier/Ottawa--Vanier"," 11","Gloucester",133,1,4,0,65,39,1,243,460
35078,"Ottawa--Vanier/Ottawa--Vanier"," 12","Gloucester",103,3,7,0,46,34,1,194,399
35078,"Ottawa--Vanier/Ottawa--Vanier"," 13","Gloucester",127,1,3,0,73,35,2,241,447
35078,"Ottawa--Vanier/Ottawa--Vanier"," 14","Gloucester",142,3,6,1,59,33,1,245,559
35078,"Ottawa--Vanier/Ottawa--Vanier"," 15","Gloucester",132,0,5,1,60,33,0,231,395
35078,"Ottawa--Vanier/Ottawa--Vanier"," 16","Gloucester",87,5,10,1,66,37,1,207,360
35078,"Ottawa--Vanier/Ottawa--Vanier"," 17","Gloucester",108,1,12,0,56,41,0,218,380
35078,"Ottawa--Vanier/Ottawa--Vanier"," 18","Gloucester",112,2,4,0,32,35,1,186,361
35078,"Ottawa--Vanier/Ottawa--Vanier"," 19","Gloucester",120,1,3,0,43,32,1,200,409
35078,"Ottawa--Vanier/Ottawa--Vanier"," 20","Gloucester",84,1,2,0,40,7,0,134,283
35078,"Ottawa--Vanier/Ottawa--Vanier"," 21","Gloucester",105,1,5,0,43,21,0,175,337
35078,"Ottawa--Vanier/Ottawa--Vanier"," 22","Gloucester",95,1,6,0,54,31,0,187,398
35078,"Ottawa--Vanier/Ottawa--Vanier"," 23","Gloucester",138,4,3,0,70,23,2,240,477
35078,"Ottawa--Vanier/Ottawa--Vanier"," 24","Gloucester",153,6,4,0,64,33,3,263,372
35078,"Ottawa--Vanier/Ottawa--Vanier"," 25","Gloucester",Merged with No./Fusionné avec le n°24,,,,,,,,164
