Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Braid,Bardish Chagger,Diane Freeman,Emma Hawley-Yan,Richard Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35112,"Waterloo/Waterloo"," 135","Waterloo",76,140,32,1,9,0,258,467
35112,"Waterloo/Waterloo"," 136","Waterloo",102,136,32,2,3,1,276,494
35112,"Waterloo/Waterloo"," 137","Waterloo",37,119,36,0,6,3,201,440
35112,"Waterloo/Waterloo"," 138A","Waterloo",63,88,18,0,2,0,171,280
35112,"Waterloo/Waterloo"," 138B","Waterloo",46,79,16,1,3,2,147,254
35112,"Waterloo/Waterloo"," 139","Waterloo",86,70,22,0,2,0,180,353
35112,"Waterloo/Waterloo"," 140A","Waterloo",76,76,14,1,4,0,171,293
35112,"Waterloo/Waterloo"," 140B","Waterloo",71,81,8,0,5,0,165,302
35112,"Waterloo/Waterloo"," 141","Waterloo",85,88,15,0,9,0,197,398
35112,"Waterloo/Waterloo"," 142","Waterloo",95,116,25,2,3,1,242,470
35112,"Waterloo/Waterloo"," 143","Waterloo",98,104,38,1,9,2,252,425
35112,"Waterloo/Waterloo"," 144","Waterloo",54,97,33,0,4,0,188,378
35112,"Waterloo/Waterloo"," 145","Waterloo",71,86,19,0,0,0,176,375
35112,"Waterloo/Waterloo"," 146","Waterloo",72,108,42,0,6,0,228,398
35112,"Waterloo/Waterloo"," 147A","Waterloo",53,71,17,1,3,0,145,268
35112,"Waterloo/Waterloo"," 147B","Waterloo",57,85,25,0,3,0,170,271
35112,"Waterloo/Waterloo"," 148","Waterloo",74,115,35,0,3,0,227,424
35112,"Waterloo/Waterloo"," 149","Waterloo",39,116,64,1,6,1,227,450
35112,"Waterloo/Waterloo"," 150","Waterloo",99,100,26,1,8,1,235,459
35112,"Waterloo/Waterloo"," 151","Waterloo",90,92,10,0,2,0,194,334
35112,"Waterloo/Waterloo"," 152","Waterloo",53,105,41,0,4,8,211,404
35112,"Waterloo/Waterloo"," 153","Waterloo",70,128,41,1,4,1,245,413
35112,"Waterloo/Waterloo"," 154","Waterloo",86,118,15,0,5,0,224,461
35112,"Waterloo/Waterloo"," 155","Waterloo",102,102,14,0,3,0,221,356
35112,"Waterloo/Waterloo"," 156","Waterloo",53,150,59,4,10,0,276,519
