Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joyce Bateman,Jim Carr,Matt Henderson,Andrew Park,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 1","Winnipeg",17,69,23,9,0,118,293
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 2","Winnipeg",19,42,10,7,0,78,210
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 3","Winnipeg",13,152,31,7,0,203,402
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 4","Winnipeg",41,237,58,15,2,353,673
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 5","Winnipeg",17,94,18,3,0,132,290
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 6","Winnipeg",36,168,39,6,0,249,451
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 7","Winnipeg",26,158,24,13,0,221,419
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 8","Winnipeg",51,174,26,11,0,262,473
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 9","Winnipeg",45,146,17,5,0,213,315
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 10","Winnipeg",50,215,27,9,1,302,516
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 11","Winnipeg",88,210,45,21,1,365,656
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 12","Winnipeg",18,56,9,2,1,86,148
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 13","Winnipeg",34,193,36,6,0,269,490
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 14","Winnipeg",88,170,25,7,0,290,537
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 15","Winnipeg",29,156,31,9,0,225,418
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 16","Winnipeg",10,76,12,10,0,108,208
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 17","Winnipeg",27,108,22,8,2,167,344
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 18","Winnipeg",30,146,42,9,0,227,437
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 19","Winnipeg",11,60,16,11,1,99,267
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 20","Winnipeg",29,153,30,9,0,221,417
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 21","Winnipeg",23,115,29,2,0,169,345
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 22","Winnipeg",79,126,10,11,0,226,369
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 23","Winnipeg",67,171,16,3,0,257,472
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 24","Winnipeg",82,175,20,13,1,291,604
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 25","Winnipeg",17,108,20,6,0,151,276
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 26","Winnipeg",31,149,27,3,0,210,411
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 27","Winnipeg",51,135,11,6,0,203,364
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 28","Winnipeg",117,175,14,4,1,311,492
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 29","Winnipeg",68,174,24,9,1,276,453
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 30","Winnipeg",41,209,11,7,0,268,428
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 31","Winnipeg",72,191,10,7,0,280,468
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 32","Winnipeg",66,162,24,10,0,262,418
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 33","Winnipeg",59,174,16,10,0,259,414
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 34","Winnipeg",40,178,25,14,0,257,383
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 35","Winnipeg",61,162,10,5,2,240,384
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 36","Winnipeg",56,169,13,6,0,244,363
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 37","Winnipeg",42,166,16,7,0,231,389
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 38","Winnipeg",54,173,10,7,1,245,436
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 39","Winnipeg",68,148,13,2,0,231,393
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 40","Winnipeg",54,168,10,5,0,237,339
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 41","Winnipeg",72,186,12,5,0,275,427
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 42","Winnipeg",78,149,24,3,0,254,381
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 43","Winnipeg",62,163,24,3,0,252,412
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 44","Winnipeg",46,123,20,7,0,196,329
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 45","Winnipeg",52,134,18,3,1,208,343
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 46","Winnipeg",56,168,14,8,0,246,376
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 47","Winnipeg",80,132,13,1,1,227,387
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 48","Winnipeg",90,128,6,4,2,230,413
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 49","Winnipeg",75,90,13,9,0,187,418
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 50","Winnipeg",119,89,5,2,0,215,378
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 51","Winnipeg",80,72,5,1,0,158,371
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 52","Winnipeg",53,126,24,10,0,213,476
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 53","Winnipeg",82,144,10,5,0,241,374
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 54","Winnipeg",104,122,9,7,0,242,335
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 55","Winnipeg",109,107,4,5,1,226,358
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 56","Winnipeg",84,85,14,9,0,192,473
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 57","Winnipeg",48,46,7,5,2,108,213
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 58","Winnipeg",65,112,13,5,0,195,521
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 59","Winnipeg",135,129,10,7,0,281,576
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 60","Winnipeg",164,77,3,2,0,246,440
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 61","Winnipeg",133,91,3,4,1,232,414
