Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elaine Marie Hughes,Brooke Taylor Malinoski,Doug Ottenbreit,Cathay Wagantall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville /Yorkton--Melville "," 131","Langenburg",7,40,40,129,0,216,326
47014,"Yorkton--Melville /Yorkton--Melville "," 132","Waldron - Atwater",0,13,5,67,0,85,260
47014,"Yorkton--Melville /Yorkton--Melville "," 133","Yarbo",1,15,21,52,1,90,158
47014,"Yorkton--Melville /Yorkton--Melville "," 134","Esterhazy",7,38,35,73,0,153,289
47014,"Yorkton--Melville /Yorkton--Melville "," 135","Esterhazy",4,25,29,93,1,152,249
47014,"Yorkton--Melville /Yorkton--Melville "," 136","Esterhazy",7,38,45,101,0,191,416
47014,"Yorkton--Melville /Yorkton--Melville "," 137","Esterhazy",3,29,31,112,1,176,273
47014,"Yorkton--Melville /Yorkton--Melville "," 138","Esterhazy",8,28,31,147,0,214,425
47014,"Yorkton--Melville /Yorkton--Melville "," 139","Esterhazy",1,26,27,57,0,111,196
47014,"Yorkton--Melville /Yorkton--Melville "," 140","Esterhazy",6,26,23,88,0,143,309
47014,"Yorkton--Melville /Yorkton--Melville "," 141","Dubuc",4,9,14,53,0,80,130
47014,"Yorkton--Melville /Yorkton--Melville "," 142","Grayson",6,40,56,152,2,256,482
47014,"Yorkton--Melville /Yorkton--Melville "," 143","Killaly",6,20,16,56,2,100,198
47014,"Yorkton--Melville /Yorkton--Melville "," 144","Duff",3,12,10,59,0,84,134
47014,"Yorkton--Melville /Yorkton--Melville "," 145","Neudorf",6,41,37,125,1,210,310
47014,"Yorkton--Melville /Yorkton--Melville "," 146","Lemberg",7,37,18,163,0,225,337
47014,"Yorkton--Melville /Yorkton--Melville "," 147","Stockholm",12,36,41,114,0,203,281
47014,"Yorkton--Melville /Yorkton--Melville "," 148","Stockholm",3,30,34,102,0,169,225
47014,"Yorkton--Melville /Yorkton--Melville "," 149","Tantallon",6,22,37,106,0,171,321
47014,"Yorkton--Melville /Yorkton--Melville "," 150","Spy Hill",10,33,38,122,0,203,284
47014,"Yorkton--Melville /Yorkton--Melville "," 151","Ebenezer",3,15,19,113,1,151,277
47014,"Yorkton--Melville /Yorkton--Melville "," 152","Yorkton",8,37,30,82,1,158,378
47014,"Yorkton--Melville /Yorkton--Melville "," 153","Yorkton",2,46,73,110,0,231,418
